DATE	SOURCE	MESSAGE
2022-09-04 12:59:05.155765	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 12:59:15.403132	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 12:59:25.674902	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 12:59:35.936576	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 12:59:46.172713	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 12:59:56.560379	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:00:06.930575	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:00:17.146444	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:00:27.435854	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:00:37.675406	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:00:47.949902	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:00:58.213461	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:01:08.427022	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:01:18.657389	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:01:28.927762	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:01:39.160541	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:04:03.073898	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:04:13.380069	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:04:23.662721	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:04:33.911260	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:06:57.151181	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:07:07.455102	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:07:17.707399	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:07:27.926400	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:07:38.127668	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:07:48.375886	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:07:58.969525	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:08:09.245284	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:08:19.506129	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:08:29.766449	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:08:39.983017	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:11:02.857488	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:11:13.128274	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:11:23.410090	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:13:46.769977	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:13:57.031060	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:14:07.286856	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:14:17.529443	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:14:27.820140	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:14:38.013908	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:14:48.248027	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:14:58.542431	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:15:08.768569	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:17:32.024215	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:17:42.411291	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:20:05.599365	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:20:16.052463	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:20:26.309466	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:20:36.535561	Wall Street Journal Business	'NoneType' object is not subscriptable
