DATE,TITLE,SUMMARY
2021-08-04 18:52:57,'The Suicide Squad' lets James Gunn take another shot at DC's team of supervillains,"""The Suicide Squad"" is a rather ironic title for a do-over, taking another stab at the team of super-villains five years after a prior effort. On the plus side, writer-director James Gunn's movie is superior to its predecessor on most every level."
2021-08-04 18:34:55,Spirit Airlines apologizes as widespread cancellations stretch into fourth day,"Spirit Airlines apologized on Wednesday for disruptions that have upended its flight schedule for three days and counting. As of mid-day Wednesday, more than 50% of the airline's schedule had already been canceled"
2021-08-04 18:31:32,"If you're not vaccinated, protect other people","It is absolutely a person's right to refuse vaccination, writes Jill Filipovic, but it is not a person's fundamental right to go to the club or eat inside at the restaurant of their choice, if their doing so poses a health risk to those around them, NY Mayor de Blasio's requiring proof of vaccination in the form of a health pass is a necessary step. Why aren't other blue state and city leaders doing the same?"
2021-08-04 18:30:43,US stocks slip in early trading,Here's the latest news on what stocks are doing.
2021-08-04 18:26:01,Meet the new meme stock: Robinhood soars 82%,Robinhood cashed in on the meme stock craze. Now Robinhood itself is turning into the next plaything for the retail trading crowd.
2021-08-04 18:24:18,"After winning big in California, gig companies take their worker classification fight to Massachusetts","Last year, Uber, Lyft, DoorDash and Instacart succeeded in getting Californians to vote in favor of a ballot measure exempting them from classifying drivers and delivery workers as employees. Now, the companies are in the early stages of taking a similar approach in Massachusetts."
2021-08-04 18:19:33,It'll be tough for restaurants to card for vaccines. But they're happy to do it,"One of the world's biggest food capitals just made a bold move when it comes to vaccine mandates -— and it's one that some restaurant owners say they can get behind, even though it may result in fewer customers."
2021-08-04 18:19:23,Dr. Sanjay Gupta: Think you don't want to get vaccinated? Think again,"I still remember the feeling I had on December 13, 2020 -- the date the first vaccines rolled out of the Pfizer facility in Michigan, destined for hospitals and vaccination centers in every state in the country. Typically reserved scientists described it as the ""medical moonshot"" we had all been waiting for: a powerful tool against the new virus that had paralyzed the world for almost a year. Those first doses shipped out across America were supposed to signal the next phase of this pandemic -- and it felt as if the whole country could soon let out a collective sigh of relief."
2021-08-04 18:16:44,Olympic sprinter Kristina Timanovskaya lands in Austria after refusing to fly back to Belarus,"Belarusian Olympic sprinter Kristina Timanovskaya, who refused to fly home fearing she would be arrested, has arrived on a flight to the Austrian capital Vienna after leaving Japan on Wednesday morning."
2021-08-04 18:12:49,Lawyers sanctioned for 'conspiracy theory' election fraud lawsuit,"Lawyers who attempted a class action lawsuit claiming voter fraud in the 2020 election were sanctioned by a federal judge in Colorado on Wednesday for the frivolous, meritless case, a major condemnation of pro-Donald Trump allies' attempts to use the courts to vet right-wing conspiracies."
2021-08-04 18:05:03,Boeing set to retry test flight in bid to take on SpaceX,"After several delays, Boeing is now slated to launch its long-anticipated Starliner spacecraft — which is built to carry NASA astronauts — on an uncrewed test flight to the International Space Station, a follow-up to the company's botched first attempt 18 months ago. It will be a decisive moment for Boeing and NASA, as the traditional aerospace giant seeks to join SpaceX in ferrying people to the station."
2021-08-04 17:58:56,Pentagon identifies police officer killed in attack outside Pentagon metro station,"Pentagon police officer George Gonzalez died Tuesday after sustaining injuries during a violent incident outside of the Pentagon building, according to a release from the Pentagon Force Protection Agency."
2021-08-04 17:58:12,"Should you pay $3,000 for a gaming laptop? This one's worth it",The Razer Blade 15 Advanced Model delivers excellent gaming performance within a design you'll actually want to take everywhere.
2021-08-04 17:58:01,Suspect in Pentagon attack identified as Austin William Lanz of Georgia,"The suspect in the violent attack outside the Pentagon on Tuesday that resulted in a death of a Pentagon police officer has been identified as 27-year-old Austin William Lanz of Georgia, according to a law enforcement official and Lanz's former attorney Lisa Wells. Lanz died from injuries sustained in the attack, Wells told CNN."
2021-08-04 17:57:44,Environment groups plan pro-climate pressure campaign during August recess,"The League of Conservation Voters and Climate Power announced a multi-state tour in August featuring at least 31 events in states including Arizona -- home of moderate Democratic Sen. Kyrsten Sinema -- Georgia, Michigan, New Hampshire and Nevada."
2021-08-04 17:52:46,"Real estate tycoon Robert Durst, accused of killing his close friend, expected to take the stand today","Robert Durst, the multimillionaire subject of the HBO crime documentary ""The Jinx,"" is expected to take the witness stand in his defense Wednesday, his legal team told CNN, heaping more drama onto an already sensational murder trial."
2021-08-04 17:49:47,The speed of the US economic recovery has been record-breaking. It won't last,Our analysis anticipates that the economy will keep decelerating in the coming months.
2021-08-04 17:38:01,The cutest and comfiest twin XL bedding to make your dorm truly unique,"Bedding is always a must no matter what type of housing you're living in for college. We've compiled a list of our favorite bedding essentials, like bedding sets, mattress toppers and more."
2021-08-04 17:33:42,"Judge to Capitol riot defendant: 'Patriotism is loyalty to country, loyalty to the Constitution'",A federal judge rejected the argument that US Capitol rioters held in jail are being prosecuted for their political views and disavowed attempts to downplay the magnitude of the deadly insurrection during a sentencing on Wednesday.
2021-08-04 17:26:08,Cuomo's lieutenant governor walks fine line as boss's political future is in doubt,"In March, when New York Gov. Andrew Cuomo was facing intense public pressure from fellow Democrats to resign in the wake of numerous sexual harassment allegations, his lieutenant governor, Kathy Hochul, would only issue a call to first let an investigation run its course."
