DATE,TITLE,SUMMARY
2021-08-04 15:01:00,"After winning big in California, gig companies take their worker classification fight to Massachusetts","Last year, Uber, Lyft, DoorDash and Instacart succeeded in getting Californians to vote in favor of a ballot measure exempting them from classifying drivers and delivery workers as employees. Now, the companies are in the early stages of taking a similar approach in Massachusetts."
2021-08-04 15:01:00,Boeing set to retry test flight in bid to take on SpaceX,"After several delays, Boeing is now slated to launch its long-anticipated Starliner spacecraft — which is built to carry NASA astronauts — on an uncrewed test flight to the International Space Station, a follow-up to the company's botched first attempt 18 months ago. It will be a decisive moment for Boeing and NASA, as the traditional aerospace giant seeks to join SpaceX in ferrying people to the station."
2021-08-04 15:01:00,Boeing delays Starliner spacecraft launch again over technical issues,"The long-awaited test flight of Boeing's Starliner, which is designed to carry astronauts and compete with SpaceX's Crew Dragon spacecraft, is once again delayed. It's just one more setback in a series of them for a trial that NASA and Boeing desperately want to go off without any major issues like the ones they had during their first launch attempt, back in December 2019."
2021-08-04 15:01:00,Analysis: China's biggest private companies are in chaos. It's all part of Beijing's plan,China's crackdown on private enterprise has wiped out more than $1.2 trillion in market value for many powerful Chinese companies and stoked fears about the future of innovation in the world's second largest economy.
2021-08-04 15:01:00,Activision Blizzard quarterly revenue jumps to $2.3 billion as it faces harassment allegations,Activision Blizzard is raking in the cash even as the fallout over a harassment and discrimination lawsuit threatens its enormous business.
2021-08-04 15:01:00,The Activision Blizzard lawsuit could be a watershed moment for the business world. Here's why,"Even if you're not an avid gamer, there's a good chance you've heard of ""Call of Duty,"" ""World of Warcraft"" or ""Candy Crush."" Those games, which are played by hundreds of millions of people around the world and have in some cases attained the status of cultural phenomena, all belong to one California company helmed by one of America's longest-serving CEOs."
2021-08-04 15:01:00,"Amazon union election results should be set aside due to misconduct, NLRB officer recommends",A National Labor Relations Board official is recommending that the results of the milestone union election at an Amazon warehouse in Alabama held earlier this year be scrapped and that a new election be held due to illegal misconduct on the part of the e-commerce giant.
2021-08-04 15:01:00,"Citizen, real-time crime alert app, is now selling access to its on-demand safety agents","Next time you're walking alone at night or meeting up with a stranger for a first date, one startup, the real-time crime alert app Citizen, would like to listen in -- with the goal of protecting you."
2021-08-04 15:01:00,"Square to acquire Afterpay, Australian buy now, pay later platform for $29 billion","Jack Dorsey's Square is spending $29 billion on an Australian buy now, pay later firm — a massive purchase that will help his company build out its global payments empire."
2021-08-04 15:01:00,Bill and Melinda Gates have finalized their divorce,"Bill Gates and Melinda French Gates are officially divorced, after a judge approved their split on Monday."
2021-08-04 15:01:00,Pixel 6 and Pixel 6 Pro mark new smartphone era for Google,"Google on Monday kicked off smartphone season by previewing its new Pixel 6 and Pixel 6 Pro smartphones. But it also signaled a new era for the Pixel, shifting it away from a mid-tier line with a niche user base to premium status, in a move that could position it to better take on Apple and Samsung."
2021-08-04 15:01:00,Zoom settles 'zoombombing' and data privacy lawsuit for $85 million,"Zoom Video Communications agreed to pay $85 million in a preliminary lawsuit settlement filed Saturday afternoon. The deal is in response to a class action lawsuit over users' concerns over the company allegedly having shared personal data with Facebook, Google and LinkedIn as well as instances of ""zoombombing,"" when an unwanted hacker joins a call."
2021-08-04 15:01:00,"Elon Musk asked Tim Cook to make him CEO of Apple, new book claims","As if Elon Musk isn't running enough companies, he once may have suggested taking over as CEO of America's most valuable business, Apple."
2021-08-04 15:01:00,Rover promises a network of 'trusted sitters and dog walkers.' That wasn't enough to save these pets,"Like many new pandemic pet owners, Nia Morgan knew her puppy, Zorro, had grown very attached to her due to all the time she spent at home with him. So she was understandably hesitant about leaving him for the first time with a sitter she'd hired through Rover, a popular platform for booking dog and cat sitters."
2021-08-04 15:01:00,Amazon hit by record $887 million EU privacy fine,"Amazon faces a record-breaking €746 million (roughly $887 million) fine after a European Union data privacy regulator said the e-commerce giant had violated the bloc's signature privacy law, known as GDPR, in an advertising-related decision."
2021-08-04 15:01:00,Amazon sales growth slows as new CEO takes over,Amazon's final quarter with Jeff Bezos as CEO proved to be a disappointment for Wall Street.
2021-08-04 15:01:00,International Space Station briefly loses control after new Russian module misfires,"An unusual and potentially dangerous situation unfolded Thursday at the International Space Station, as the newly-docked Russian Nauka module inadvertently fired its thrusters causing a ""tug of war"" with the space station and briefly pushing it out of position, according to NASA flight controllers."
2021-08-04 15:01:00,Facebook doubles profit but braces for hit from Apple privacy changes,"Facebook's business is soaring, but the boom times may not last."
2021-08-04 15:01:00,Google and Facebook will require vaccinations for employees returning to the office,Google and Facebook on Wednesday became two of the first major Silicon Valley firms to say they will require employees to be vaccinated when they return to the company's campuses.
2021-08-04 15:01:00,"Facing an employee walkout, Activision Blizzard CEO says his company's response to lawsuit was 'tone deaf'","Activision Blizzard's CEO Bobby Kotick admitted that the gaming company's response to a California discrimination lawsuit was ""tone deaf"" amid a growing employee backlash and accusations of a ""frat boy"" work culture."
