DATE,TITLE,SUMMARY
2021-08-04 16:11:37,Florida Covid-19 hospitalizations up 13% from previous peak in July 2020,"Coronavirus-related hospitalizations are up 13% from Florida's previous peak on July 23, 2020, according to the Florida Hospital Association."
2021-08-04 00:35:14,Missouri governor pardons St. Louis couple who pointed guns at protesters,"Missouri Republican Gov. Mike Parson on Tuesday announced pardons for Patricia and Mark McCloskey, the St. Louis homeowners who pointed guns at protesters near their home last summer."
2021-08-04 17:49:47,Opinion: The speed of the US economic recovery has been record-breaking. But don't get used to it,"Despite the continued optimism about the country reopening, US economic growth is already starting to slow."
2021-08-04 02:34:18,"More than $170,000 raised in 24 hours for mother and three kids facing eviction","On Monday, Dasha Kelly was facing eviction and didn't know how she was going to pay her back rent. A day later, thanks to strangers, more than $170,000 has been raised so far for her and her three daughters."
2021-08-03 14:22:51,Joe Biden is having the worst week of his presidency so far,"Joe Biden's presidential honeymoon has officially ended, with a series of problems -- led by the ongoing surge of the Delta variant of the coronavirus -- coalescing to make the last few days some of the worst ones he has spent as president."
2021-08-04 10:41:39,A Trump endorsement and the backing of the Democratic establishment were key to Ohio primary election results,"In two Ohio congressional primaries Tuesday, Democratic voters embraced the party's establishment, delivering President Joe Biden another ally and denying the left-wing ""Squad"" its latest member. Republicans, meanwhile, stuck with former President Donald Trump."
2021-08-04 01:45:52,"Mike Carey, endorsed by Trump, will win Ohio GOP special primary","Mike Carey, a coal lobbyist who was endorsed by former President Donald Trump, will win the Republican special primary in Ohio's 15th Congressional District, CNN projects."
2021-08-04 03:13:54,Shontel Brown will win Ohio Democratic special primary,Cuyahoga County Council member Shontel Brown is set to win the Democratic special primary in Ohio's 11th Congressional District after her opponent Nina Turner conceded Tuesday night.
2021-08-04 17:05:52,NBC's Summer Olympics ratings are in free-fall,"After pandemic-fueled delays last year, the Tokyo Olympics have gotten a lot of attention around this summer. Unfortunately for NBC, that attention has not translated to viewership."
2021-08-04 18:26:01,Meet the new meme stock: Robinhood soars 82%,Robinhood cashed in on the meme stock craze. Now Robinhood itself is turning into the next plaything for the retail trading crowd.
2021-08-04 15:08:28,CVS will raise its minimum wage to $15 an hour,"CVS will raise its minimum wage for hourly workers from $11 to $15 by next summer, becoming the latest large US chain to pledge a $15 starting rate as companies compete for workers in a tight labor market."
2021-08-04 05:17:33,China's biggest private companies are in chaos. It's all part of Beijing's plan,China's crackdown on private enterprise has wiped out more than $1.2 trillion in market value for many powerful Chinese companies and stoked fears about the future of innovation in the world's second largest economy.
2021-08-04 15:01:00,Organizers announce dates for this year's Hartford Pride festivities,
2021-08-04 15:01:00,Baldwin County sheriff issues statement on COVID,
2021-08-04 15:01:00,"Gunman dead, 3 injured in shooting",
2021-08-04 15:01:00,Protest expected outside Cuomo's office,
2021-08-04 15:01:00,Iguana found thrashing around toilet in home,
2021-08-04 15:01:00,Voters give Mayor Saliba landslide victory,
2021-08-04 15:01:00,New photos of possible witnesses to park murder,
2021-08-04 15:01:00,Cuomo signs bill ending use of 'inmate' in NY law,
2021-08-04 15:01:00,"Mayor, council urge vaccines at meeting",
2021-08-04 15:01:00,Family remembers 8-year-old girl killed in crash,
2021-08-04 15:01:00,"Pickpockets travel more than 1,000 miles to steal phones at Lollapalooza",
2021-08-04 15:01:00,Graves investigation enters reinterment phase,
2021-08-04 15:01:00,Officer killed in crash while responding to call,
2021-08-04 15:01:00,Tyson Foods employees respond to mandate,
2021-08-04 15:01:00,Lung x-rays show difference vaccination can make,
2021-08-04 15:01:00,Bodycam released in fatal shooting,
2021-08-04 15:01:00,Homeowners looking for Army veteran,
