DATE,TITLE,SUMMARY
2021-08-04 18:54:09,"Biden admin is 'intimately involved' with critical race theory, former Trump official says","The Biden administration backtracked on its promotion of a critical race theory group only after officials were “caught with their hand in the cookie jar,” Russ Vought told Fox News in an exclusive interview."
2021-08-04 18:28:15,"NJ man charged with breaching Capitol, assaulting police officer set to plead guilty","A New Jersey man indicted for his role in the insurrection at the Capitol in Washington, D.C., on Jan. 6 is set to plead guilty, his attorney said Wednesday."
2021-08-04 18:07:00,CRT debate heats up in Nebraska as university professors deride proposal from regent,"The University of Nebraska Board of Regents is set to consider a resolution introduced by Republican Jim Pillen, a regent who is also running for governor. Introduced to a board committee last month, the resolution would oppose ""any imposition of Critical Race Theory in curriculum."""
2021-08-04 17:56:59,3 in fatal Michigan rock-throwing case get probation,Three young Michigan men who were teens when they were part of a rock-throwing incident that killed a motorist on Interstate 75 were put on probation after spending more than three years in custody while their case was stuck in court.
2021-08-04 17:52:29,"Illegal migrants wearing camo steal knives from Texas ranch house, attempt to evade arrest: Border Patrol","A group of undocumented migrants in camouflage clothing burglarized a ranch house in Texas and attempted to evade arrest, authorities said Monday."
2021-08-04 16:42:14,"After decades in woods, New Hampshire man forced from cabin",81-year-old David Lidstone has lived in the woods of New Hampshire along the Merrimack River.
2021-08-04 16:17:47,"Minnesota campaign to replace police department gets $1M in national, local donations","Nearly $1 million in national and local campaign funding is flooding into Minneapolis to support a ballot measure asking voters to decide in November to replace the city’s police department, sparking concerns that outside dollars are drowning out the concerns of local residents as violent crime surges."
2021-08-04 15:38:13,Grandmother says she called Baltimore CPS before 2 grandchildren found dead in aunt's car,A Baltimore grandmother is speaking out after police discovered her two grandchildren dead in their aunt's car during a July 28 traffic stop.
2021-08-04 15:11:53,3 Disney World employees and registered nurse among group arrested in child sex sting: sheriff,"An undercover child sex sting in Florida led to the arrests of over a dozen predators, including three Disney World employees and a registered nurse, investigators said Tuesday."
2021-08-04 15:07:36,"New Jersey dad, two daughters and niece were not wearing seat belts in fatal car wreck","The New Jersey father, his two daughters and another young relative who were killed in a Saturday night car wreck were not wearing seat belts at the time"
2021-08-04 15:04:43,Pentagon officer killed in stabbing attack identified as Army veteran who served in Iraq,"The metro hub outside the Pentagon remained closed early Wednesday, as many questions still surround a burst of violence that happened there a day earlier that left one police officer dead after being stabbed in the neck and a suspect killed by ensuing gunfire from responding law enforcement."
2021-08-04 14:54:15,"NYC woman, 70, raped at gunpoint in stairwell; suspect sought","A 70-year-old woman was raped at gunpoint inside her Bronx apartment building, police said."
2021-08-04 14:50:20,New Yorkers react to Cuomo sexual harassment report,Should Cuomo resign? New York residents told Fox News whether or not they think Cuomo should leave office.
2021-08-04 13:13:00,"Central Rockies facing heavy rain, flash flood risk",The Central Rockies from northern New Mexico to southern Wyoming will continue seeing heavy downpours and the threat for more flash flooding on Wednesday.
2021-08-04 12:25:01,Facebook rejects Florida police charity's ad for children fundraiser over 'sensitive social issues',A pro-police non-profit organization in South Florida is accusing Facebook of refusing to promote its advertisements for an upcoming fundraising event intended to benefit the families of officers who died in the line of duty.
2021-08-04 12:03:38,Ex-Minneapolis police officers charged in George Floyd death request separate federal trial from Derek Chauvin,"Three former Minneapolis police officers charged with violating George Floyd's civil rights are asking that their federal trials be separated from the trial of Derek Chauvin, who has already been convicted on state murder charges for kneeling on Floyd's neck as the Black man pleaded for air."
2021-08-04 11:34:44,Woman says flight attendant threatened to throw her off flight over outfit: 'I've never felt more degraded',A passenger on an Alaska Airlines flight said a flight attendant made her feel “degraded” and “ashamed” for wearing a crop top on the trip.
2021-08-04 08:54:57,"Cuomo apology 'fake' and 'downright weird,' accuser says as Dem faces calls to resign",
2021-08-04 08:51:58,Kentucky mom found dead after getting caught in flash flood in Arizona canyon,"A Kentucky mother was found dead last weekend after she and her family were swept away by a flash flood in a canyon near the Arizona-Utah border, according to reports. "
2021-08-04 08:33:36,Surfside condo collapse: Body camera video from initial response released,"Body camera footage that showed the moments after the Surfside, Florida, condo collapse, which was released by the town, captured some of the confusion that seemed to border on disbelief when police first arrived at the scene."
