INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2021-08-04 15:01:01.581100,2021-08-04 18:19:23,Dr. Sanjay Gupta takes on the top reasons people give for refusing a shot,"I still remember the feeling I had on December 13, 2020 -- the date the first vaccines rolled out of the Pfizer facility in Michigan, destined for hospitals and vaccination centers in every state in the country. Typically reserved scientists described it as the ""medical moonshot"" we had all been waiting for: a powerful tool against the new virus that had paralyzed the world for almost a year. Those first doses shipped out across America were supposed to signal the next phase of this pandemic -- and it felt as if the whole country could soon let out a collective sigh of relief."
1,2021-08-04 15:01:01.581100,2021-08-04 16:22:25,WHO calls for moratorium on booster shots until September,"The World Health Organization is calling for a moratorium on booster shots until at least the end of September, WHO director-general Tedros Adhanom Ghebreyesus said during a news briefing in Geneva on Wednesday."
2,2021-08-04 15:01:01.581100,2021-08-04 14:17:56,'Completely nauseating': Hear why doctor criticizes these GOP governors on Covid-19,"Dr. Jorge Rodriguez, an internal medicine specialist and viral researcher, criticizes GOP governors Greg Abbott and Ron DeSantis for banning mask mandates in schools, calling it the ""wrong thing to do"" as coronavirus case counts rise in the US."
3,2021-08-04 15:01:01.581100,2021-08-04 13:04:07,Rich countries turn to booster shots. Will the US follow suit?,A growing number of countries are turning to booster vaccine shots as the world grapples with the Delta variant and data on the potential for waning immunity.  
4,2021-08-04 15:01:01.581100,2021-08-04 15:01:00,"Covid-19 case increases driven by US and Mexico, PAHO leader says",
5,2021-08-04 15:01:01.581100,2021-08-04 17:12:27,This emergency room physician went from the horrors of the Surfside disaster back into the ER battling Florida's Covid-19 surge,"Dr. Ben Abo, an EMS physician in south Florida, spent the last month helping on the scene of the Surfside condo collapse. Now that he's back working in the emergency room, he says the Covid-19 situation is ""worst it's ever been."""
6,2021-08-04 15:01:01.581100,2021-08-04 10:38:43,Opinion: How to prevent Covid-19 hot spots,"Many Americans have been confused by the messaging of the US Centers for Disease Control and Prevention on what fully vaccinated people can do, in what counties they can do it, why the messages have changed and why key data on which policy recommendations are based, remained partially unpublished when the recommendations were announced."
7,2021-08-04 15:01:01.581100,2021-08-04 15:41:12,"China's spiraling Delta variant outbreak hits Wuhan, as country introduces mass travel restrictions","China's spiraling Delta variant outbreak has reached Wuhan, the original epicenter of the pandemic, prompting citywide coronavirus testing as authorities scramble to contain the city's first reported local infections in more than a year."
8,2021-08-04 15:01:01.581100,2021-08-04 16:44:23,Andrew Cuomo's utterly disastrous response to the AG report findings,• The Cuomo brothers: Report places a new spotlight on a unique relationship
9,2021-08-04 15:01:01.581100,2021-08-04 15:01:49,Trump asks court to end House pursuit of his tax returns from IRS,• Opinion: A big night for Clyburn and Trump 
10,2021-08-04 15:01:01.581100,2021-08-04 17:33:42,"Judge to Capitol riot defendant: 'Patriotism is loyalty to country, loyalty to the Constitution'",A federal judge rejected the argument that US Capitol rioters held in jail are being prosecuted for their political views and disavowed attempts to downplay the magnitude of the deadly insurrection during a sentencing on Wednesday.
11,2021-08-04 15:01:01.581100,2021-08-04 18:34:55,Spirit Airlines apologizes as widespread cancellations stretch into fourth day,Spirit Airlines apologized on Wednesday for disruptions that have upended its flight schedule for three days and counting.
12,2021-08-04 15:01:01.581100,2021-08-04 17:58:01,Suspect in Pentagon attack identified as Austin William Lanz of Georgia,"The suspect in the violent attack outside the Pentagon on Tuesday that resulted in a death of a Pentagon police officer has been identified as 27-year-old Austin William Lanz of Georgia, according to a law enforcement official and Lanz's former attorney Lisa Wells. Lanz died from injuries sustained in the attack, Wells told CNN."
13,2021-08-04 15:01:01.581100,2021-08-04 17:52:46,"Real estate tycoon Robert Durst, accused of killing his close friend, expected to take the stand today","Robert Durst, the multimillionaire subject of the HBO crime documentary ""The Jinx,"" is expected to take the witness stand in his defense Wednesday, his legal team told CNN, heaping more drama onto an already sensational murder trial."
14,2021-08-04 15:01:01.581100,2021-08-04 13:07:49,Avlon: Tucker Carlson is flirting with an authoritarian leader,CNN's John Avlon analyzes Hungarian Prime Minister Viktor Orban's regime as Fox News host Tucker Carlson makes a trip to the country to broadcast his show.
15,2021-08-04 15:01:01.581100,2021-08-04 18:31:32,"Opinion: If you're not vaccinated, protect other people","Months into an aggressive Covid-19 vaccination campaign that had begun to stall as a large segment of Americans refused to get inoculated, there is some evidence that progressive politicians are finally starting to respond to the demands of their fed-up and Covid-vaccinated constituents."
16,2021-08-04 15:01:01.581100,2021-08-04 07:31:15,Bride speaks out 1 year after her wedding video went viral,"It should have been one of the happiest days of their lives. But for Dr. Israa Seblani and Ahmad Sbeih, August 4, 2020 will always be remembered as the day a deadly explosion hit Beirut."
17,2021-08-04 15:01:01.581100,2021-08-04 14:37:42,How safe is it for vaccinated people to return to in-person work? An expert weighs in,The US Centers for Disease Control and Prevention has changed its guidance to once again recommend that even vaccinated people start masking indoors in areas of the country with high and substantial coronavirus spread. Key to their decision was a study that shows that fully vaccinated people can still transmit the Delta variant.
18,2021-08-04 15:01:01.581100,2021-08-04 18:19:33,It'll be tough for restaurants to card for vaccines. But they're happy to do it,"One of the world's biggest food capitals just made a bold move when it comes to vaccine mandates -— and it's one that some restaurant owners say they can get behind, even though it may result in fewer customers."
