INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2021-08-04 15:01:01.647129,2021-08-04 18:41:33,Texas border city puts up temporary shelters to cope with ‘rapidly escalating’ migrant surge,"The Texas border city of McAllen on Wednesday announced it is setting up temporary emergency shelters in response to what it describes as a ""rapidly escalating"" surge in migrants flooding across the border — and warning that the numbers are triggering a crisis in the city."
1,2021-08-04 15:01:01.647129,2021-08-04 18:40:46,Reporter's Notebook: Beware the Ides of August — and maybe December and January too,"The House isn't scheduled to be in session at all this month, but there's a strong likelihood the House will have to return later this month."
2,2021-08-04 15:01:01.647129,2021-08-04 18:32:30,White House silent on Rashida Tlaib's latest 'anti-Semitic dog whistling' remarks,Rep. Rahida Tlaib came under fire from ADL president Jonathan Greenblatt for her comments claiming that people working “behind the curtain” to stop a “free Palestine” are “profiting” off Americans.
3,2021-08-04 15:01:01.647129,2021-08-04 18:26:29,"Biden has 'no plans' to call Cuomo to ask for resignation, won't weigh in on New York impeachment: Psaki","White House press secretary Jen Psaki said Wednesday that President Biden has ""no plans"" to personally call embattled New York Gov. Andrew Cuomo and ask for his resignation."
4,2021-08-04 15:01:01.647129,2021-08-04 18:07:28,"Cuomo avoids public, ignores growing calls to resign after AG report as NYC mayor urges, 'get this over with'",New York Gov. Andrew Cuomo is laying low a day after state Attorney General Letitia James released a report with findings from an independent investigation that said the governor sexually harassed 11 women from 2013 to 2020.
5,2021-08-04 15:01:01.647129,2021-08-04 18:04:22,Missouri Senate GOP primary a race to spotlight loyalty to Trump,Trump ally Rep. Billy Long is the latest Republican to jump into the 2022 Missouri Senate primary campaign.
6,2021-08-04 15:01:01.647129,2021-08-04 17:51:12,"Nina Turner slammed for claiming she 'didn't lose this race,' 'evil money manipulated' election","Nina Turner is facing blowback from both sides of the political aisle after she blamed her special election primary loss Tuesday night in Ohio on ""evil money."""
7,2021-08-04 15:01:01.647129,2021-08-04 17:08:46,"AOC puts on mask for picture, removes it afterward, video shows","Ocasio-Cortez dropped her coronavirus mask after the photo op with protesters in support of the eviction moratorium, where she was joined by fellow progressive Senator Ed Markey, D-Mass."
8,2021-08-04 15:01:01.647129,2021-08-04 17:08:24,Probe of Cuomo lays bare Democratic divide pitting progressives vs. establishment,Tuesday’s bombshell report by the progressive New York Attorney General saying Democratic Gov. Andrew Cuomo sexually harassed multiple women has once again highlighted the growing political divide between the Democratic Party’s left-wing and its establishment.
9,2021-08-04 15:01:01.647129,2021-08-04 16:57:27,Oregon Dem going horseback riding instead of meeting constituents during recess,"Rep. Kurt Schrader, D-Ore., and his wife plan to ride horseback from Maryland to Oregon this month as members of the House of Representatives are expected to return to their districts for August recess."
