INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2021-08-04 15:01:01.670101,2021-08-04 18:11:59,"Afghan translators, families fear Taliban takeover as they try escaping to US",It’s been reported that several hundred Afghans who worked with the U.S. have been killed by the Taliban in recent years.
1,2021-08-04 15:01:01.670101,2021-08-04 14:46:57,"Iraq gets back looted ancient artifacts from US, others","Over 17,000 looted ancient artifacts recovered from the United States and other countries were handed over to Iraq's Culture Ministry on Tuesday, a restitution described by the government as the largest in the country's history."
2,2021-08-04 15:01:01.670101,2021-08-04 14:38:19,Pope resumes public audiences a month after major surgery,"Pope Francis resumed his routine of holding weekly audiences with the general public a month after he underwent bowel surgery, and during the much-awaited appearance Wednesday he recalled the anniversary of the devastating Beirut port explosion and expressed the desire to visit Lebanon."
3,2021-08-04 15:01:01.670101,2021-08-04 08:44:56,"Lebanon, mired in crises, marks 1 year since horrific Beirut blast","Banks, businesses and government offices were shuttered Wednesday as Lebanon marks one year since the horrific explosion at the port of Beirut."
4,2021-08-04 15:01:01.670101,2021-08-04 01:35:55,China claims US report on coronavirus origins based on 'concocted lies and distorted facts',The Chinese government released a statement Tuesday slamming comments by U.S. congressmen that there is a preponderance of evidence showing the coronavirus originated in Wuhan lab.
5,2021-08-04 15:01:01.670101,2021-08-03 23:26:20,Turkey's Erdogan faces mounting criticism over wildfires,"As Turkish fire crews pressed ahead Tuesday with their weeklong battle against blazes tearing through forests and villages on the country's southern coast, President Recep Tayyip Erdogan’s government faced increased criticism over its apparent poor response and inadequate preparedness for large-scale wildfires."
6,2021-08-04 15:01:01.670101,2021-08-03 15:42:30,2 ships off UAE in Gulf of Oman warn they've lost control,The British Navy reported two ships lost control off the coast of UAE. Iran has denied having any part in the 'hijacking' situation
7,2021-08-04 15:01:01.670101,2021-08-03 15:31:40,"Kim Jong Un photographed with mystery spot, bandage on head","Kim Jong Un has appeared in public with a dark spot, at times covered by a small bandage, on the back of his head – stoking more speculation about the slimmed-down North Korean despot’s health."
8,2021-08-04 15:01:01.670101,2021-08-03 09:06:39,China orders mass testing in Wuhan as COVID outbreak spreads,Chinese authorities announced Tuesday mass coronavirus testing in Wuhan as an unusually wide series of COVID-19 outbreaks reached the city where the disease was first detected in late 2019.
9,2021-08-04 15:01:01.670101,2021-08-03 09:05:17,Belarusian activist found hanged in Ukraine,"A Belarusian activist who ran a group in Ukraine helping Belarusians fleeing persecution was found dead in the Ukrainian capital, Kyiv, local police said Tuesday."
10,2021-08-04 15:01:01.670101,2021-08-02 20:55:49,China has placed millions under lockdown as the nation faces the biggest outbreak of the coronavirus in months,China has placed millions under lockdown as the nation faces the biggest outbreak of the coronavirus in months due to the more transmissible delta variant. 
11,2021-08-04 15:01:01.670101,2021-08-02 18:53:44,Coronavirus vaccine shortage: World’s refugees pushed to the back of the line,"Salimullah, a Rohingya refugee, has been living in the Indian capital of New Delhi since 2013 when he fled violence in Myanmar. Stateless, and now homeless after a fire razed his camp, the 35-year-old lives in a tent with as many as 10 other people at a time."
12,2021-08-04 15:01:01.670101,2021-08-02 17:16:28,"Afghan president blames swift US withdrawal for Taliban surge, with key cities under threat","Afghanistan President Ashraf Ghani on Monday blamed the United States’ ""sudden"" decision to withdraw its troops for the rapid collapse of security in the country as Taliban forces close in on three major cities. "
13,2021-08-04 15:01:01.670101,2021-08-02 14:17:48,"German court sets trial date for former Nazi guard, aged 100","A German court has set a trial date for a 100-year-old man who is charged with 3,518 counts of accessory to murder on allegations he served as a Nazi SS guard at a concentration camp on the outskirts of Berlin during World War II."
14,2021-08-04 15:01:01.670101,2021-08-02 13:56:20,"Citing Taliban violence, US expands Afghan refugee program",The Biden administration on Monday expanded its efforts to evacuate at-risk Afghan citizens from Afghanistan as Taliban violence increases ahead there of the U.S. military pullout at the end of the month.
15,2021-08-04 15:01:01.670101,2021-08-02 09:45:18,Death toll jumps to more than 300 in recent China flooding,Chinese authorities have announced a large jump in the death toll from recent floods.
16,2021-08-04 15:01:01.670101,2021-08-02 00:40:48,Germany protesters slam 'unbearable level of arrogance' as lockdown fears loom,"Thousands turned out in Berlin on Sunday to protest the German government’s anti-coronavirus measures despite a ban on the gatherings, leading to clashes with police and the detention of some 600 protesters."
17,2021-08-04 15:01:01.670101,2021-08-01 22:10:09,Wuhan lab report raises further questions about possible COVID-19 lab leak,"As calls to investigate the COVID lab-leak theory gained traction, Chinese government propaganda has become much more aggressive to dispel it."
18,2021-08-04 15:01:01.670101,2021-08-01 18:20:37,"US, UK and Israel blame Iran for attack on Israeli-managed tanker",The United States has joined the United Kingdom and Israel in accusing Iran of carrying out a deadly drone strike that killed two aboard a tanker off Oman.
19,2021-08-04 15:01:01.670101,2021-08-01 07:44:47,Boris Johnson's wife pregnant with second child months after miscarriage,"Carrie Johnson, the wife of British Prime Minister Boris Johnson, announced she is pregnant with the couple’s second child just months after she suffered a miscarriage, according to reports."
