INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2022-08-08 12:29:33.752909,2022-08-08 16:24:06,Weather agency says July Spain's hottest month on record,Spain's weather agency says July was Spain's hottest month on record
1,2022-08-08 12:29:33.752909,2022-08-08 16:20:59,Fire at Cuba oil facility spreads as 3rd tank ignites,A deadly fire that began at a large oil storage facility in western Cuba has spread after flames enveloped a third tank that firefighters had tried to cool as they struggle to fight the massive blaze
2,2022-08-08 12:29:33.752909,2022-08-08 15:57:01,"In South Africa speech, Blinken details US policy for Africa",South Africa&rsquo;s neutral stance on Russia&rsquo;s war in Ukraine was discussed.
3,2022-08-08 12:29:33.747107,2022-08-08 15:56:42,Greek PM 'unaware' of prominent politician's wiretap,Greece&rsquo;s prime minister says was unaware that the country&rsquo;s intelligence service had been bugging the mobile phone of an opposition politician for three months
4,2022-08-08 12:29:33.747107,2022-08-08 15:55:30,"As Israel-Palestinian truce holds, Gaza power plant restarts","With a cease-fire between Israel and Palestinian militants holding after nearly three days of violence, Gaza&rsquo;s sole power plant resumed operations"
5,2022-08-08 12:29:33.747107,2022-08-08 15:23:07,France in midst of 4th heat wave amid historic drought,The country faces what the government warned is its worst drought on record.
6,2022-08-08 12:29:33.747107,2022-08-08 16:04:28,"Talks to revive Iran nuclear deal end, produce 'final text'",Diplomats say that talks to revive Tehran&rsquo;s tattered nuclear accord have ended.
7,2022-08-08 12:29:33.747107,2022-08-08 16:08:03,Israeli ex-minister sentenced over Australia sex abuse case,An Israeli court sentenced a former health minister to probation and a fine.
8,2022-08-08 12:29:33.747107,2022-08-08 14:45:08,Polish pilgrims injured in Croatia bus crash to return home,"Polish authorities are working to bring home people who were injured on the weekend when a bus carrying Polish pilgrims heading to a popular Catholic shrine crashed in Croatia, killing 12 people"
9,2022-08-08 12:29:33.747107,2022-08-08 14:25:57,Efforts to feed Beluga whale in France's Seine fail so far,The animals is dangerously thin.
10,2022-08-08 12:29:33.747107,2022-08-08 14:24:13,Nuclear plant in Ukraine is shelled; Rising dangers feared,Russia and Ukraine are trading accusations that each side is shelling Europe&rsquo;s biggest nuclear power plant in southern Ukraine
11,2022-08-08 12:29:33.747107,2022-08-08 13:19:55,Woman injured by polar bear on Norway’s Svalbard Islands,Authorities say a French woman has been injured when attacked by a polar bear in Norway&rsquo;s remote Arctic Svalbard Islands
12,2022-08-08 12:29:33.747107,2022-08-08 13:10:59,"As summer wanes, water crisis looms for east Ukrainian city",Residents must fill bottles by hand at public pumps throughout the city.
13,2022-08-08 12:29:33.747107,2022-08-08 12:47:29,Protesters block roads in Iraq after third day of power cuts,Demonstrators blocked roads as protests broke out in southern Iraq on Monday after power outages left many without electricity during scorching peak summer heat
14,2022-08-08 12:29:33.747107,2022-08-08 12:48:28,Scholz party rejects bid to expel German ex-leader Schroeder,"Local officials with German Chancellor Olaf Scholz&rsquo;s party rejected a bid to expel former Chancellor Gerhard Schroeder over his close ties to Russia, the news agency dpa reported Monday"
15,2022-08-08 12:29:33.747107,2022-08-08 10:57:39,Hungary fines Ryanair over raising prices to cope with tax,Hungary has accused Ryanair of consumer protection violations after it raised ticket prices to cope with a tax on what the government calls &ldquo;extra profits.&rdquo;
16,2022-08-08 12:29:33.747107,2022-08-08 10:52:56,Officials: Pakistani militant leader killed in Afghanistan,"Pakistani officials and militant figures say that a late night roadside bombing in eastern Afghanistan struck a vehicle carrying several members of the Pakistani Taliban group, killing a senior leader and three other militants traveling with him"
17,2022-08-08 12:29:33.747107,2022-08-08 10:51:41,Myanmar's ambassador to China dies,Myanmar's ambassador to China has died
18,2022-08-08 12:29:33.747107,2022-08-08 10:51:08,Correction: AF-Rwanda-Congo story,"In a story published August 5, 2022, about Rwanda, The Associated Press erroneously quoted a state media report paraphrasing a government spokeswoman and instead described it as a direct statement by her"
19,2022-08-08 12:29:33.747107,2022-08-08 10:43:41,"Chad's junta, rebel groups sign pledge in Qatar before talks",Chad&rsquo;s military government and over 40 rebel groups fighting in the country have signed a pledge in Qatar ahead of planned national reconciliation talks later this month in the African nation
20,2022-08-08 12:29:33.747107,2022-08-08 09:29:11,Fire engulfs historic wooden bridge in southern China,Authorities are investigating the cause of a fire that engulfed a covered wooden bridge with 900 years of history in southeastern China over the weekend
21,2022-08-08 12:29:33.747107,2022-08-08 09:25:44,Analysis: Israeli PM's Gaza gamble seems to have paid off,"Israel&rsquo;s caretaker prime minister appears to have taken a gamble with his preemptive strike against Islamic Jihad militants in Gaza, less than three months before he is to compete in general elections to retain his job"
22,2022-08-08 12:29:33.747107,2022-08-08 08:26:27,Thai pub owner charged in connection with deadly blaze,The owner of a music pub in eastern Thailand where a fire last week killed 15 people and injured more than three dozen others has been released on bail when he was brought to court to hear criminal charges against him
23,2022-08-08 12:29:33.747107,2022-08-08 08:03:13,Australia calls for cooling of Taiwan Strait tensions,Australian Foreign Minister Penny Wong has called for a cooling of tensions after Beijing accused her of &ldquo;finger-pointing&rdquo; in her criticism of China&rsquo;s military exercises in response to U.S. House Speaker Nancy Pelosi&rsquo;s visit to Taiwan
24,2022-08-08 12:29:33.747107,2022-08-08 08:14:23,Analysis: Israeli PM's Gaza gamble seems to have paid off,Israel&rsquo;s caretaker PM took a gamble with a preemptive strike against militants.
