INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2021-08-08 18:29:03.266144,2021-08-08 22:11:18,Fauci hopeful COVID vaccines get full OK by FDA within weeks,He predicted the move will spur a wave of mandates in the private sector.
1,2021-08-08 17:55:36.812471,2021-08-08 21:38:33,"Bobby Bowden, led Florida State football dynasty, dies at 91","Coach Bobby Bowden, who won two national titles at Florida State dies at 91."
2,2021-08-08 16:48:38.585216,2021-08-08 15:57:30,"Some praise, some doubts as Facebook rolls out a prayer tool",Facebook already asks for your thoughts. Now it wants your prayers.
3,2021-08-08 15:31:22.062304,2021-08-08 10:29:21,6 killed in Alaska sightseeing plane crash identified,Six people have been killed in an Alaska sightseeing plane crash identified.
4,2021-08-08 15:31:22.062304,2021-08-08 20:18:15,New Orleans Jazz Fest canceled again due to COVID-19,"With new COVID-19 cases surging , organizers say it won&rsquo;t be returning this year"
5,2021-08-08 15:31:22.062304,2021-08-08 17:49:38,Internal investigation clears S.C. deputies who killed man,An internal investigation found the two were justified in using deadly force.
6,2021-08-08 14:33:45.663967,2021-08-08 17:18:19,Swiss protest court ruling reducing rapist's sentence,Hundreds of people protested in front of a Swiss appeals court.
7,2021-08-08 14:33:45.663967,2021-08-08 18:26:58,More Cubans try dangerous trip to US across Florida Straits,"Cuba is seeing a surge in unauthorized migration, fueled by an economic crisis."
8,2021-08-08 13:31:38.232694,2021-08-08 17:16:42,Sheriff: Caretaker charged with murder in NC woman's death,"The woman was found dead in her home, buried in concrete in the basement."
9,2021-08-08 13:31:38.232694,2021-08-08 16:34:10,Yankees COVID-19 outbreak continues as Rizzo tests positive,Newcomer Anthony Rizzo is the latest Yankees player to test positive.
10,2021-08-08 13:31:38.232694,2021-08-08 05:34:58,Lynyrd Skynyrd guitarist's positive COVID test cancels shows,Lynyrd Skynyrd has pulled out of the Pro Football Hall of Fame concert.
11,2021-08-08 13:31:38.232694,2021-08-07 19:08:37,Dolphins' Shaheen: NFL won't 'strong-arm' him to get vaccine,Dolphins tight end says contact tracing landed him on the COVID-19 reserve list.
12,2021-08-08 12:49:04.660063,2021-08-07 20:58:28,Indiana woman guilty of murder in stepdaughter's slaying,A jury convicted an Indiana woman of strangling her 10-year-old stepdaughter.
13,2021-08-08 12:49:04.660063,2021-08-03 20:32:26,LIVE:  ABC News Live,24/7 coverage of breaking news and live events
14,2021-08-08 08:58:38.869010,2021-08-08 17:04:57,New push to disband Minneapolis police after Floyd's death,Activists are making a second attempt to get rid of the city's police department
15,2021-08-07 21:27:21.450445,2021-08-08 21:43:29,WATCH:  Smoke from western wildfires blankets Denver,"Denver had the worst air quality ranking in the world over the weekend, according to a real-time air pollution information platform."
16,2021-08-07 16:39:18.868315,2021-08-07 22:27:43,WATCH:  Residents watch wildfire rage as they evacuate Greek island,Over a thousand people were forced to evacuate from Evia island by ferry as the devastating wildfires spread.
17,2021-08-06 20:44:48.625817,2021-08-06 22:40:33,WATCH:  Researchers observe Titanic's deterioration,An undersea exploration company planned an annual expedition to the Titanic wreck site to monitor the sunken ocean liner's deterioration.
18,2021-08-06 20:44:48.625817,2021-08-07 14:29:35,WATCH:  Aerial footage shows smoke rise from Dixie Fire,"An airplane passenger recorded enormous plumes of smoke from the Dixie Fire that rose 35,000 feet above Northern California."
19,2021-08-06 20:44:48.625817,2021-08-07 14:24:24,WATCH:  Dixie Fire ravages town in Northern California,The Dixie Fire has destroyed several dozen houses and businesses in the town of Greenville in Plumas County.
20,2021-08-06 20:44:48.625817,2021-08-06 10:59:21,WATCH:  Teen plays multiple instruments without use of both hands,"Jesús Salinas, a 17-year-old burn survivor, doesn’t let his obstacles stop him from pursuing his passion for music."
21,2021-08-06 20:44:48.625817,2021-08-06 11:59:37,WATCH:  Extreme wildfires force thousands to flee,The extreme drought is also forcing the shutdown of a California power plant. ABC News' Andrew Dymburt reports.
22,2021-08-06 20:44:48.625817,2021-08-05 23:16:53,WATCH:  Buffalo stops traffic in Yellowstone National Park,Traffic slowed to a crawl in Yellowstone National Park as motorists had to deal with a particularly slow buffalo strolling down the road.
23,2021-08-06 20:44:48.625817,2021-08-05 23:17:14,WATCH:  Walrus commandeers inflatable boat,Local legend Wally the Wandering Walrus was seen making himself at home on an inflatable raft off the coast of Ireland.
24,2021-08-06 20:44:48.625817,2021-08-05 18:11:48,"WATCH:  This boy turned a pool into an Olympic venue, and we're here for it","Inspired by the Olympics, this 8-year-old decided to kayak in a swimming pool in Norfolk, England."
