INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2021-08-08 15:26:54.734987,2021-08-08 19:25:32,NTSB to recover plane wreckage after deadly Alaska crash,"Federal investigators are aiming to recover the wreckage Sunday of a sightseeing plane that crashed in southeast Alaska, killing six people, but the timing of the recovery depended on the weather"
1,2021-08-08 15:26:54.734987,2021-08-08 19:15:15,NTSB: 3 die when small plane crashes in Minnesota,The federal agency investigating the crash of a single-engine plane in a small southeastern Minnesota city says three people were killed when it crashed and burst into flames
2,2021-08-08 15:26:54.734987,2021-08-08 18:16:50,Man arrested in killings of 3 women on South Texas Island,Police have arrested a 23-year-old man in the killings of three woman at a home in the Texas resort town of South Padre Island
3,2021-08-08 15:26:54.734021,2021-08-08 18:04:00,"1 Chicago officer killed, 1 wounded in traffic stop shooting",Chicago police say a 29-year-old officer died and a second was wounded in an exchange of gunfire during a traffic stop
4,2021-08-08 15:26:54.734021,2021-08-08 17:16:42,Sheriff: Caretaker charged with murder in NC woman's death,"The woman was found dead in her home, buried in concrete in the basement."
5,2021-08-08 15:26:54.734021,2021-08-08 17:49:38,Internal investigation clears S.C. deputies who killed man,An internal investigation found the two were justified in using deadly force.
6,2021-08-08 15:26:54.734021,2021-08-08 15:10:00,"Sheriff: 1 dead, 5 wounded in Houston club shooting",Authorities in Houston are looking for suspected shooters after five people were injured and one man was killed in an exchange of gunfire at a nightclub
7,2021-08-08 15:26:54.734021,2021-08-08 10:29:21,6 killed in Alaska sightseeing plane crash identified,Six people have been killed in an Alaska sightseeing plane crash identified.
8,2021-08-08 15:26:54.734021,2021-08-08 04:00:30,Today in History,Today in History
9,2021-08-08 15:26:54.734021,2021-08-07 23:32:46,Fired officer who wounded unarmed Black man won't be charged,Former St. Paul police officer was fired for a shooting of an unarmed Black man.
10,2021-08-08 15:26:54.734021,2021-08-07 20:58:28,Indiana woman guilty of murder in stepdaughter's slaying,A jury convicted an Indiana woman of strangling her 10-year-old stepdaughter.
11,2021-08-08 15:26:54.734021,2021-08-07 19:20:43,Officials: N. Carolina woman buried in concrete at home,A North Carolina woman missing for several weeks was found dead in her home.
12,2021-08-08 15:26:54.734021,2021-08-07 17:48:08,Life without parole sought for man charged with killing 4,A man is charged in the killing of a woman and her three children.
13,2021-08-08 15:26:54.734021,2021-08-07 17:29:16,Warm waters further threaten depleted Maine shrimp fishery,"Maine&rsquo;s long-shuttered shrimp fishing business has a chance to reopen in the coming winter, but the warming of the ocean threatens to keep the industry shut down"
14,2021-08-08 15:26:54.734021,2021-08-07 14:49:01,Some in US getting COVID-19 boosters without FDA approval,An untold number of Americans have managed to get COVID-19 booster shots even though the U.S. government hasn't approved them
15,2021-08-08 15:26:54.734021,2021-08-07 12:01:28,Warm waters further threaten depleted Maine shrimp fishery,"Maine&rsquo;s long-shuttered shrimp fishing business has a chance to reopen in the coming winter, but the warming of the ocean threatens to keep the industry shut down"
16,2021-08-08 15:26:54.734021,2021-08-07 04:00:31,Today in History,Today in History
17,2021-08-08 15:26:54.734021,2021-08-07 02:44:44,Whale dies 3 months after move from Canada to Connecticut,One of five beluga whales acquired from an aquarium in Canada after a legal fight with animal rights activists has died at its new home in Connecticut
18,2021-08-08 15:26:54.734021,2021-08-07 02:29:30,"Lawsuit: Guards mistook dentures for contraband, beat inmate",A civil rights lawsuit says a man was brutally beaten by corrections officers in New Mexico and denied medical treatment at a county jail after guards mistook dentures for contraband
19,2021-08-08 15:26:54.734021,2021-08-07 02:21:45,Man sentenced to death for killing Texas police detective,A Texas jury has returned a death sentence for a man convicted of killing a San Antonio police detective
20,2021-08-08 15:26:54.734021,2021-08-07 01:02:00,Canadian labor issue brings long delays at border crossings,Commercial truck drivers trying to cross the border into Canada from New York and elsewhere in the United States endured massive delays because of a labor dispute
21,2021-08-08 15:26:54.734021,2021-08-07 00:51:49,'Nothing's safe' as wildfire tears through California town,Staff at the Feather River Land Trust in Northern California have been working to restore the lush natural habitat around Lake Almanor and protect indigenous artifacts there amid wildfires
22,2021-08-08 15:26:54.734021,2021-08-07 00:29:16,Pause on student loan payments extended through January,"The Biden administration has announced that federal student loan payments will remain suspended through January 2022, extending a pause that was scheduled to expire next month"
23,2021-08-08 15:26:54.734021,2021-08-07 00:10:48,Officials: 5 children home alone die in East St. Louis fire,Officials say five siblings under the age of 10 died when a fire swept through their southern Illinois apartment
24,2021-08-08 15:26:54.734021,2021-08-06 23:29:16,EXPLAINER: 5 key takeaways from the July jobs report,"Even in a July jobs report that was nearly universally hailed as a good one, pockets of weakness and concern are still clouding the celebration"
