INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2021-08-06 11:53:19.774330,2021-08-06 15:50:00,Ep. 1313 - Democrats Bang Themselves In The Face With A Hammer Just Because Republicans Said Not To,Missouri Congresswoman Cori Bush has some interesting ideas about the police; and the mass covid hysteria continues despite indicators that the Florida wave may begin to wane soon.
1,2021-08-05 13:25:55.837896,2021-08-05 15:51:00,"Ep. 1312 - Biden Burns The Constitution, But YOLO!","Joe Biden admits that his eviction moratorium is unconstitutional, but hey, what the hell? Plus, Biden attacks Florida Governor Ron DeSantis, who absolutely clocks him."
2,2021-08-05 13:25:55.837896,2021-08-04 15:49:00,Ep. 1311 - Andrew Cuomo Is Here To Grab Ass And Kill The Elderly...And He's All Out Of Elderly,"New York Mayor Bill De Blasio announces life passports for the vaccinated, and bans for everyone else; and New York Attorney General Letitia James blows up New York Governor Andrew Cuomo."
3,2021-08-05 13:25:55.837896,2021-08-03 15:48:00,"Ep. 1310 - We’re Adults, Dammit, So Leave Us Alone",Democrats and the media grow increasingly rabid about new anti-covid measures even though Americans are adults.
4,2021-08-05 13:25:55.837896,2021-08-02 15:50:00,Ep. 1309 - The 'Experts' Want To Scare The Hell Out Of You. Don't Be Frightened.,The media declare new covid panic as the Biden administration tells everyone to mask up again; mayors across the land violate their own covid mandates; and Democrats call for an endless eviction moratorium.
5,2021-08-05 13:25:55.837896,2021-07-30 15:48:00,Ep. 1308 - Biden's Insane New Mask Mandates,President Biden calls on everyone vaccinated to mask again; the CDC links its masking case to a covid outbreak that killed zero people; and the Biden economy is coming up short.
6,2021-08-05 13:25:55.837896,2021-07-29 15:48:00,Ep. 1307 - The Covid Misinformation Is Coming From Inside The White House,The Biden administration seeks new mask and vaccine mandates as they wildly misconstrue the data on the Delta variant surge; and Joe Biden’s got a huge inflation problem.
7,2021-08-05 13:25:55.837896,2021-07-29 01:32:00,Daily Wire Backstage: The Commies Are At It Again,"Will Simone Biles win a Nobel Peace prize for quitting on Americans during the Olympic finals? Will Biden continue to snap at female reporters until they let him sniff their hair? Does the White House teaming up with Facebook on a censorship campaign against ""misinformation"" make anyone else feel like we're living in The Authoritarian Moment?"
8,2021-08-05 13:25:55.837896,2021-07-28 15:50:00,Ep. 1306 - F*** The CDC,The Centers For Disease Control unleashes a new round of evidence-free masking recommendations for the vaccinated; the January 6 commission hearings begin; and Simone Biles pulls out of the Olympics and is treated as a hero.
9,2021-08-05 13:25:55.837896,2021-07-28 01:20:10,Ben Shapiro Book Signing Live Q&A | The Authoritarian Moment,Before it's too late: get your autographed copy of my new book for only $30 by clicking here — https://utm.io/udAtM
10,2021-08-05 13:25:55.837896,2021-07-27 15:48:00,Ep. 1305 - You Will Be Made To Obey,"The Anti-Defamation League and PayPal partner to crack down on ""extremism""; with daily death rates from covid now lower than death rates from Alzheimer’s, the media and Democrats push the panic button; and we examine who’s really skipping the vaccination."
11,2021-08-05 13:25:55.837896,2021-07-26 15:57:00,Ep. 1304 -  Why A Leftist Just Yelled At Tucker Carlson In Front Of His Child,An activist screams at Tucker Carlson in front of his daughter at a fishing store; and the Democrats can’t let America go back to normal.
12,2021-08-05 13:25:55.837896,2021-07-23 15:48:00,Ep. 1303 -  Joe Biden Embraces The Radicals,"The Biden administration grows more radical as it seeks to promote an alleged former eco-terrorist to high office, cram through a massive budget bill, and remask Americans."
13,2021-08-05 13:25:55.837896,2021-07-22 19:00:00,We’re Breaking Establishment Media’s Information Chokehold,"By now you’ve heard of Morning Wire, Daily Wire’s newest podcast delivering the news you need to know - without the spin. We launched Morning Wire just four days ago and it’s… well, it’s been pretty successful, to say the least. How successful, you ask? I think we can be the number one podcast on all of Apple - but we need you. Subscribe today: https://utm.io/udyS9"
14,2021-08-05 13:25:55.837896,2021-07-22 15:51:00,Ep. 1302 -  They’re Going To Tell You To Mask Again. No.,"The Biden administration considers a new mask push, even for the vaccinated…my answer is no."
15,2021-08-05 13:25:55.837896,2021-07-21 15:48:00,Ep. 1301 - The New Private Space Race Is Awesome,"Jeff Bezos travels to space, and redistributionists are fighting mad about it; Rand Paul and Anthony Fauci go to war; and lockdown advocates are eager to stymie freedom thanks to the Delta variant."
16,2021-08-05 13:25:55.837896,2021-07-20 15:50:00,Ep. 1300 - The Endless Covid Power Grab,"The media and politicians break out the covid panic — but do the statistics justify it? Plus, Joe Biden is unwilling to accept the consequences of his own economic agenda."
17,2021-08-05 13:25:55.837896,2021-07-20 10:00:00,Daily Wire’s New Morning News Podcast,"Trust in the media is at an all-time low. And there’s a reason: Hidden agendas. Partisan politics. Feelings over facts. So where can you go for the important, relevant news that you can trust? Introducing Morning Wire, the daily news show you’ve been waiting for - brought to you by one of the nation's fastest growing media companies."
18,2021-08-05 13:25:55.837896,2021-07-19 16:03:00,Ep. 1299 - The Left Targets Social Media -- And The Daily Wire -- For Destruction,President Biden accuses Facebook of killing people by allowing too much free speech; and taxpayer-funded NPR targets the Daily Wire for destruction. 
19,2021-08-05 13:25:55.837896,2021-07-17 10:00:00,Debunked: Systemic Racism in the Police Force,That stats don’t lie. Ben debunks the leftist myth of systemic institutional racism in the Police Force.
20,2021-08-05 13:25:55.837896,2021-07-16 15:50:00,"Ep. 1298 - “You’re All Nazis, So We’re Going To Be Authoritarians”","The Left accelerates its cultural authoritarianism with book bannings, Big Tech targetings, and institutional weaponization — while the Biden administration continues to push forward massive expansion of government. "
21,2021-08-05 13:25:55.837896,2021-07-15 15:49:00,Ep. 1297 - Reminder: BLM Is A Communist Garbage Organization,BLM backs the communist Cuban regime; the Democrats seek to ram through amnesty by attaching it to a budget bill; and the Biden White House blows out the spending amidst an inflationary spiral.
22,2021-08-05 13:25:55.837896,2021-07-14 15:49:00,Ep. 1296 - Biden Declares Half The Country The Enemy,President Biden goes fully radical by declaring half the country akin to Jim Crow racists; Texas Democrats fly private and live in DC style while declaring they’re fighting for the people; and the Biden State Department says we must answer for our racism to the UN.
23,2021-08-05 13:25:55.837896,2021-07-13 15:45:00,"Ep. 1295 - To The Left, Conservative Authoritarians, Not Communist Dictators, Are The Problem",The Biden administration downplays the evil of the communist Cuban regime while simultaneously labeling American conservatives authoritarian racists.
24,2021-08-05 13:25:55.837896,2021-07-12 15:50:00,Ep. 1294 - Foreigners Who Love The American Flag vs. Americans Who Hate It,Massive pro-freedom demonstrations break out in Cuba; the United States continues its ill-advised withdrawal from Afghanistan; and Kamala Harris thinks rural people don’t have photocopiers.
25,2021-08-05 13:25:55.837896,2021-07-10 10:00:00,Debunked: The Southern Switch,Ben debunks the Democratic myth that the GOP became the racist party after the Civil Rights Act.
26,2021-08-05 13:25:55.837896,2021-07-09 15:59:00,Ep. 1293 - Your Yoga Pants Can Never Be Woke Enough,Lululemon comes under fire for lack of diversity despite its woke virtue signaling; Trump sues big tech; and Joe Biden hands Afghanistan over to the Taliban.
27,2021-08-05 13:25:55.837896,2021-07-08 15:49:00,Ep. 1292 - The Bureaucracy-Media Leak Machine,New allegations emerge that Tucker Carlson was caught up in a surveillance sweep and his emails leaked; the media continue to gaslight Americans over critical race theory; and the Left’s only remaining political angle is January 6.
28,2021-08-05 13:25:55.837896,2021-07-07 15:50:00,Ep. 1291 - How To Create An Emergency To Grab Power,Andrew Cuomo declares a “disaster emergency” on gun violence; our most powerful institutions have been hijacked by radicals; and our education system is now rife with critical theory of all sorts.
29,2021-08-05 13:25:55.837896,2021-07-06 15:49:00,"Ep. 1290 - Yes, They Hate The Country","Prominent Leftists in politics, media and culture protest America on Independence Day; the National Education Association pushes Critical Race Theory; and everyone wants to be a member of the intersectional coalition."
30,2021-08-05 13:25:55.837896,2021-07-04 12:00:00,Prelude to Independence,Ben lays out the conditions and key events that lead to the Declaration of Independence and the American Revolution.
31,2021-08-05 13:25:55.837896,2021-07-04 11:00:00,Created Equal,"Ben interviews Michael Pack, director of Created Equal: Clarence Thomas In His Own Words."
32,2021-08-05 13:25:55.837896,2021-07-03 10:00:00,Debunked: Gun Control,Ben breaks down the centuries-old debate around gun control.
33,2021-08-05 13:25:55.837896,2021-07-02 15:49:00,Ep. 1289 - Not Everything Is Rrrrrrrracist,"The Supreme Court says shoring up voting procedures isn’t racist; Nikole Hannah-Jones gets her tenure, and then demonstrates why she should never have been offered it; and Nancy Pelosi launches her January 6 commission with cover from Liz Cheney."
34,2021-08-05 13:25:55.837896,2021-07-01 15:48:00,Ep. 1288 - Kink For The Kiddies,Bill Cosby goes free; a columnist pushes LGBT kink for children in the pages of The Washington Post; and President Biden is caught between a moderate rock and a radical hard place.
35,2021-08-05 13:25:55.837896,2021-06-30 15:48:00,"Ep. 1287 - For The Sexual Left, Confusion Is The Point","According to ESPN, a woman is a he, a she, and a them; ranked choice voting is now systemically racist; and Ibram Kendi tries and fails to explain how he’s not actually a racist."
36,2021-08-05 13:25:55.837896,2021-06-30 13:00:00,New Daily Wire Podcast: America's Forgotten Heroes,"Get ready to unpack the exciting untold history of heroes who saved America in some of its darkest hours. Subscribe NOW to America’s Forgotten Heroes on Apple Podcast, Spotify, and everywhere you listen to podcasts so you don’t miss an episode! "
37,2021-08-05 13:25:55.837896,2021-06-29 15:47:00,Ep. 1286 - The Cold Civil War,California extends its travel ban on state employees to red states with 105 million citizens; Gwen Berry milks her anti-American moment for all it’s worth; and the Supreme Court decides to leave girls unprotected in their locker rooms.
38,2021-08-05 13:25:55.837896,2021-06-28 15:47:00,Ep. 1285 - Democrats Are Set For A Bruising In 2022,New polling shows Democrats behind on nearly every major issue; Democrats can’t stop doubling down on stupid; and America’s spoiled brats are on the march.
39,2021-08-05 13:25:55.837896,2021-06-27 12:00:00,Russell Brand | The Ben Shapiro Show Sunday Special Ep. 116,"Russell’s sharp wit and magnetic persona propelled him to world fame, with international comedy tours and Hollywood movies. But then, around 2012, Russell publicly decided to step back from the limelight and focus on a more spiritual and political journey. From documentaries about his addiction to political activism, Brand has dramatically re-focused his efforts."
40,2021-08-05 13:25:55.837896,2021-06-26 10:00:00,Debunked: Climate Change Hysteria,How bad is climate change? Ben explores the data.
41,2021-08-05 13:25:55.837896,2021-06-25 15:52:00,Ep. 1284 - The Republican Dolts’ Caucus,"Five Senate Republicans play the willing suckers for Joe Biden’s big infrastructure plan; and Biden continues to frighten everyone with bizarre public performances, as Kamala waits in the wings, literally."
42,2021-08-05 13:25:55.837896,2021-06-24 15:52:00,Ep. 1283 - Old Joe Isn’t Afraid To Nuke All You Gun Nuts,Joe Biden threatens to nuke gun-owning Americans; Chairman of the Joint Chiefs General Mark Milley defends teaching critical race theory in the military; and Democrats reap the whirlwind as crime skyrockets.
