INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2022-07-11 13:27:51.096391,2022-07-11 17:01:32,Heckler Interrupts Joe Biden's Gun Control Speech at White House: 'We Have to Do More!',President Joe Biden was interrupted by one of the guests at his gun control speech on Monday who was apparently upset with his failure to do more on the issue.
1,2022-07-11 13:27:51.096391,2022-07-11 16:27:54,Americans Say January 6 Hearings Are Designed to Stop Trump in 2024,"Americans tend to believe the January 6 hearings are partisan in nature, and most believe they are designed to stop former President Donald Trump from running in 2024, July's I&#038;I/TIPP poll released Monday found."
2,2022-07-11 13:27:51.096391,2022-07-11 13:03:47,At Least 28 Shot During Weekend in Mayor Lori Lightfoot's (D) Chicago,"At least 28 people were shot, one of them fatally, during the weekend in Mayor Lori Lightfoot's (D) Chicago."
3,2022-07-11 13:27:51.096391,2022-07-11 03:40:31,Watch-- Children Walk Through Sea of Homeless Drug Addicts in San Francisco: 'Pure Filth',A disturbing video shows a group of children getting off the bus in San Francisco and walking through a sea of homeless drug addicts who appear to be shooting up in the middle of the street.
4,2022-07-11 13:27:51.096391,2022-07-11 16:39:33,Not So Green: Climate Crazy Ministers Found to Take CO2 Spewing Business Class Trips,"Two of Ireland's most senior climate crazy ministers have previously taken high-emission Business class trips instead of opting for greener economy seats, a report has claimed."
5,2022-07-11 13:27:51.096391,2022-07-11 13:03:48,Hail Mary: Amber Heard Lawyers File Motion for Mistrial in Johnny Depp Defamation Case,"FAIRFAX, Va. (AP) — One of the jurors in the Johnny Depp-Amber Heard defamation trial served improperly, an attorney for Heard alleged in a recent filing that asked the court to declare a mistrial and order a new trial."
6,2022-07-11 13:27:51.096391,2022-07-11 12:24:37,"Woke Joke: Hollywood Unlikely to Quit Georgia, Louisiana in Protest over Abortion Due to Lucrative Tax Incentives","Following the Supreme Court's historic reversal of Roe v. Wade, most Hollywood studios wasted little time in condemning the decision, even promising to pay for employees' abortions. Behind the virtue signaling, however, their commitment to the pro-abortion movement is starting to look superficial at best."
7,2022-07-11 13:27:51.096391,2022-07-10 21:52:58,Steve Bannon Offers to Testify at January 6 Committee,"Former White House adviser Stephen K. Bannon offered Saturday to testify before the January 6 Committee after former President Donald Trump waived executive privilege to allow him to do so, reversing a stubborn, months-long stance. Bannon, according to the New York"
8,2022-07-11 13:27:51.096391,2022-07-10 15:41:38,Donald Trump Calls Elon Musk a 'Bullshit Artist' at Alaska Rally,"Former President Donald Trump referred to Tesla CEO Elon Musk as a ""bullshit artist"" at his Alaska rally on Saturday. Referring to Musk pulling out of his deal to buy Twitter and also recent claims of voting for a Republican for the first time, Trump said, ""He's got himself a mess, you know, he said the other day, 'I've never voted for a Republican.' I said I didn't know that. He told me he voted for me. So he's another bullshit artist but he's not going to be buying it, although he might later. Who the hell knows what's going to happen? He's got a pretty rotten contract. I looked at his contract, not a good contract. Sign up for Truth. We love Truth."""
9,2022-07-11 13:27:51.096391,2022-07-11 10:42:51,WashPost: Liberals Must Listen to Trump Voters,"The United States will fail if liberals cannot overcome their contempt and hatred for President Donald Trump's voters, says a liberal author in the Washington Post."
10,2022-07-11 13:27:51.096391,2022-07-11 15:54:24,Poland Marks WW2-Era Massacre by Ukrainian Nationalists,"Poland is among the staunchest allies of Ukraine against Russian aggression, but the violence between 1942 and 1945 is a point of contention."
11,2022-07-11 13:27:51.096391,2022-07-11 12:49:25,"EXCLUSIVE: British Govt Has No Idea How Much It Owes Russia, China, Other Foreign Govts","The British government has insisted it has no idea how much debt it owes to foreign states, including effectively hostile powers such as Russia and Communist China."
12,2022-07-11 13:27:51.096391,2022-07-11 09:20:13,"Russian Gas Pipeline Shut Down for Annual Maintenance, Germany Wonders Whether it Will Ever Turn on Again",Nordstream One shut down for annual maintenance on Monday amid German concern that Russia may not resume the flow of gas as scheduled.
13,2022-07-11 13:27:51.096391,2022-07-10 23:44:26,WATCH - Mom Clings to Hood of Car When Suspect Takes Off with Children: 'I Just Wanted My Kids Back',A New Mexico mother recently threw herself on her vehicle while trying to stop the alleged carjacker who drove away with her two children.
14,2022-07-11 13:27:51.096391,2022-07-10 23:32:45,Police: 14-Year-Old Boy Fatally Stabbed in the Stomach at New York City Subway Station,"A 14-year-old boy was fatally stabbed in the stomach on a subway platform in New York City on Saturday, according to the New York Police Department (NYPD)."
15,2022-07-11 13:27:51.096391,2022-07-10 19:33:19,VIDEO: Florida Woman Accused of Hiding Dead Mother in Freezer to Collect Disability Money,"A Florida woman, who allegedly hid her deceased mother's body to keep receiving her disability money, was arrested this week."
16,2022-07-11 13:27:51.096391,2022-07-10 17:58:48,No Time Capsule Found Underneath Destroyed Georgia Guidestones Following Excavation,"Despite speculation that a time capsule allegedly lay buried underneath the remains of where the mysterious Georgia Guidestones once stood, no artifacts were found by excavation crews."
17,2022-07-11 13:27:51.096391,2022-07-10 01:37:25,Michigan Man Recognized for 'Heroic Actions' for Saving Kayaker from Drowning,A young man was recognized and presented with an award last week for saving a woman earlier this year who fell into icy waters while trying to save her dog.
18,2022-07-11 12:22:23.624565,2022-07-11 15:16:49,Nolte: New York Times Launches Campaign to Dump Joe Biden,The far-left New York Times has just launched a merciless campaign to kick His Fraudulency Joe Biden out of office.
19,2022-07-11 12:22:23.624565,2022-07-11 16:01:58,Poll: Joe Biden Is the Least Popular President in Last 75 Years,"President Joe Biden's approval rating 18 months into his presidency is lower than any president in the last 75 years, according to FiveThirtyEight on Monday."
20,2022-07-11 12:22:23.624565,2022-07-11 15:55:22,Twitter Prepares for Legal Battle with Elon Musk over Failed Buyout,"Twitter has reportedly hired merger law experts Wachtell, Lipton, Rosen &#038; Katz LLP as it plans to sue Tesla CEO Elon Musk over his decision to drop his $44 billion takeover of the company."
21,2022-07-11 12:22:23.624565,2022-07-11 15:55:10,Exclusive -- Tom Cotton: Republicans Can Win Filibuster-Proof Majority in Senate in 2024,"Sen. Tom Cotton (R-AR) said Republicans can win a ""filibuster-proof majority"" in the Senate in November during an interview on SiriusXM's Breitbart News Sunday with host Joel Pollak."
22,2022-07-11 12:22:23.624565,2022-07-11 16:09:56,"Massive Uber Leak Documents Shady Business Practices, Lobbying of Joe Biden","124,000 confidential internal documents from ridesharing giant Uber were recently leaked to The Guardian, revealing that the company attempted to lobby Joe Biden and other world leaders while also hiding information from law enforcement and purposefully putting drivers at risk."
23,2022-07-11 12:22:23.624565,2022-07-11 14:54:46,Chuck Schumer's Coronavirus Infection Stalls Democrat Agenda,"Senate Majority Leader Chuck Schumer (D-NY) has tested positive for coronavirus, which will stall the Senate Democrats' legislative agenda this week as his razor-thin majority returns from a two-week recess."
24,2022-07-11 12:22:23.624565,2022-07-11 15:48:42,"EXCLUSIVE: Migrant Routes, Fuel Theft Points Used by Mexican Narco-Terrorist Exposed",A fearsome narco-terrorist with a history of using car bombs managed to establish drug and human smuggling corridors on top of a lucrative fuel theft operation. The now-jailed crime lord tried to disguise his organization by claiming it was a “self-defense group” to protect local innocents from cartels.
25,2022-07-11 12:22:23.624565,2022-07-11 16:05:23,EXCLUSIVE: 26K Migrants Apprehended in Texas-Based Border Sectors in Six Days,"Border Patrol agents in the five Texas-based border sectors apprehended nearly 26,000 migrants during a six-day period ending on July 9. Nearly 10,000 of those crossed into a single Texas border town. In response to the growing Texas border crisis, Governor Greg Abbott orders law enforcement and National Guard soldiers to arrest migrants and return them to the border."
26,2022-07-11 12:22:23.624565,2022-07-11 14:50:22,Cubans Mark Brutality of Communist Repression a Year After Historic Protests,"Cubans on and off the island marked the anniversary on Monday of nationwide anti-communist protests on July 11 with renewed calls for the fall of the regime and freedom for the political prisoners, many of them children, still behind bars since that day."
27,2022-07-11 12:22:23.624565,2022-07-11 15:34:07,'Woke' Agenda - UK Latin Course Being Revised to Reflect ‘Diversity’ of Roman World,"A famous Latin course printed by Cambridge University Press is to be reworked to contain more ""diversity"" despite criticism that it will damage the subject."
28,2022-07-11 12:22:23.624565,2022-07-11 15:31:23,Woke Oberlin College Faces $4M in Interest After Refusing to Pay Damages to Bakery It Slandered,Oberlin College is facing $4 million in interest charges after refusing to pay $33 million in court-ordered defamation damages to a mom-and-pop bakery that it slandered as racist.
29,2022-07-11 12:22:23.624565,2022-07-11 15:29:20,Chicago Man Accused of Tossing Naked Woman to Her Death: 'I Threw the B*tch Out the Window',A man in Chicago's Uptown area has been accused of throwing a naked woman to her death from an apartment window on Wednesday.
30,2022-07-11 12:22:23.624565,2022-07-11 02:07:50,Pro-Abortion Group Threatens Southern States with 'Floating Abortion Clinic' in Gulf of Mexico,"In 2019, Alabama passed the nation's strictest anti-abortion prohibition into law, offering no exceptions beyond a pregnancy that threatens the mother's life."
31,2022-07-11 12:22:23.624565,2022-07-10 21:40:12,Washington Post Asserts 'Fact' to Unchecked Story of 10-Year-Old's Abortion Based on Viral Repetition,"The Washington Post dramatically altered its definition of ""facts"" in support of an unchecked story about a 10-year-old girl and abortion."
32,2022-07-11 12:22:23.624565,2022-07-11 00:43:20,Actress Kristen Bell's Baby Brand 'Hello Bello' Will Pay for Employee's Abortions,"Actress Kristen Bell's Hello Bello brand makes its money selling products to parents for baby care, and now the company will use the profits from those sales to pay for abortions procured by its employees."
33,2022-07-11 12:22:23.624565,2022-07-10 23:03:54,"VIDEO: Pregnant Woman Ticketed for Driving in HOV Lane Plans to Fight Back, Arguing Unborn Baby Was Passenger","A pregnant woman from Plano, Texas, ticketed for driving alone in the HOV lane says her unborn baby counted as the second passenger."
34,2022-07-11 12:22:23.624565,2022-07-11 15:18:25,U.S. Olympian Kim Glass Reveals Shocking Photos of Injuries Suffered in L.A. Attack,U.S. Olympic volleyball player Kim Glass revealed shocking photos of the injuries she suffered when a homeless man attacked her in LA.
35,2022-07-11 12:22:23.624565,2022-07-11 12:39:23,Texas Tells Consumers to Conserve Electricity as Wind Energy Falls Short,The Electric Reliability Council of Texas (ERCOT) has warned power consumers in Texas to conserve energy on Monday afternoon and evening because there will not be enough wind power to operate the power grid reliably in peak demand.
36,2022-07-11 12:22:23.624565,2022-07-11 10:33:28,World Economic Forum: Gas Prices Must Go Even Higher -- to Save Democracy,"The World Economic Forum (WEF) released a position paper Monday that inexorably links two claimed global crises as one – ""climate change"" and the ""decline of democracy."" It says fighting the former can save the latter as long as consumers stop burning coal, oil, and gas in exchange for green renewables."
37,2022-07-11 12:22:23.624565,2022-07-11 12:20:41,Singer Macy Gray Says She’s ‘Still Trying to Recover’ from the Trauma 2020 Caused,"R&#038;B singer Macy Gray says that America has left her ""traumatized"" following the events that unfolded in 2020, in which Ahmaud Arbery and George Floyd died."
38,2022-07-11 12:22:23.624565,2022-07-11 01:48:28,Carlos Santana Postpones Some Concerts After Health Scare,"DETROIT (AP) — Carlos Santana has postponed his next six shows after collapsing on stage during a concert on Tuesday, temporarily stepping away from the stage “out of an abundance of caution for the artist’s health.” July concerts in Noblesville,"
39,2022-07-11 12:22:23.624565,2022-07-11 01:56:49,"'The Flash' Star Candice Patton Claims CW, Warner Brothers Failed to Shield Her from Racist Fan Comments","Actress Candice Patton, who has starred on The Flash since the show's inception in 2014, laments that she was ""not protected"" against racist comments from fans -- that producers at the CW and Warner Brothers had a ""whatever"" attitude with regards to handling it."
40,2022-07-11 12:22:23.624565,2022-07-11 05:54:19,Rage Against the Machine Calls to ‘Abort the Supreme Court’ in Reunion Tour,"Politically-outspoken rock band Rage Against the Machine blasted the recent SCOTUS decision on abortion during a weekend show, calling to “abort” the Court while criticizing “forced birth” in a country with rampant gun violence, no universal health care or guaranteed paid parental leave, and where “Black birth-givers” experience higher maternal mortality than “white birth-givers.”"
41,2022-07-11 12:22:23.624565,2022-07-11 01:22:53,Snoop Dogg Trolls Biden with 'Sleepy Joe OG' Premium Cannabis,"Rapper Snoop Dogg trolled President Joe Biden this weekend by promoting a premium cannabis brand, ""Sleepy Joe OG,"" that mocks the president's apaprent lack of lucidity."
42,2022-07-11 11:16:56.124203,2022-07-11 03:14:26,David Hogg 'Concerned' Mass Shooters Want 'White and Male-Dominated White Ethnic State',"Sunday on MSNBC, Stoneman Douglas High School shooting survivor and gun control activist David Hogg voiced his concern with what he has suggested could be a ""coordinated mass terror attack"" by white nationalists."
