INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2022-07-30 17:41:36.010843,2022-07-30 12:00:01,From legroom to airfare: How JetBlue's takeover of Spirit could change air travel,JetBlue is setting its sights on getting rid of Spirit's tight seating and basic cabins.
1,2022-07-30 17:41:36.010843,2022-07-30 19:39:30,"Biden tests positive for Covid again, will restart isolation despite no new symptoms","Biden is experiencing no new symptoms and ""continues to feel quite well,"" Dr. Kevin O'Connor said in a memo shared by the White House."
2,2022-07-30 17:41:36.010843,2022-07-27 19:18:45,"McDonald's and Chipotle say customers are trading down, visiting less often as inflation hits budgets",McDonald's and Chipotle Mexican Grill are seeing customers trade down and visit less often as inflation pressures their budgets.
3,2022-07-30 17:41:36.010843,2022-07-28 16:15:08,'Jeopardy!' locks in hosting deals for Mayim Bialik and Ken Jennings,"""Jeopardy!"" has signed on Mayim Bialik and Ken Jennings to be hosts of the show moving forward."
4,2022-07-30 17:41:36.010843,2022-07-27 19:01:44,Gun CEOs call shootings 'local problems' and defend 'inanimate' weapons,"Major gun manufacturers have made over $1 billion in the the last decade selling assault-style weapons, according to the House Oversight panel."
5,2022-07-30 17:41:36.010843,2022-07-27 16:15:03,"The space economy grew at fastest rate in years to $469 billion in 2021, report says","The global space economy grew last year at the fastest annual rate since 2014, according to a report by the Space Foundation."
6,2022-07-29 17:41:35.731449,2022-07-29 19:06:20,Space company Masten files for bankruptcy after struggle with NASA moon contract,"Masten had won a $75 million NASA contract to deliver payloads to the moon's south pole, but the project ran far over budget."
7,2022-07-29 17:41:35.731449,2022-07-29 18:40:33,Mortgage rates fall sharply after negative GDP report and Fed's latest hike,"The average rate on the popular 30-year fixed mortgage fell to 5.22% on Thursday from 5.54% on Wednesday, according to Mortgage News Daily."
8,2022-07-29 17:41:35.731449,2022-07-29 20:19:41,"Higher prices help Procter & Gamble offset commodity costs, but Tide maker warns of more challenges",Procter & Gamble reported mixed quarterly results and warned it expects challenges such as rising commodity costs to persist in its fiscal 2023.
9,2022-07-29 17:41:35.731449,2022-07-29 20:17:12,"Trucking CEOs expect higher prices, potential disruptions in second half of the year","U.S. trucking CEOs expect to maintain pricing power even with volumes softening as retailers, manufacturers and consumers adjust to disruptions."
10,2022-07-29 17:41:35.731449,2022-07-29 12:56:26,JetBlue won the battle for Spirit. Now it has to win over Biden's Justice Department,JetBlue's takeover of Spirit Airlines requires the blessing of the Justice Department.
11,2022-07-29 17:41:35.731449,2022-07-29 16:42:57,"Saudi-backed LIV Golf envisions franchises in its future, executive says","LIV Golf, the Saudi-backed league that has the blessing of former President Trump and Phil Mickelson, aims to build franchises."
12,2022-07-29 17:41:35.731449,2022-07-29 17:52:15,Here are 4 key things to consider if you actually hit the $1.28 billion Mega Millions jackpot,"While the odds are stacked against you snaring the top prize, it's worth giving thought to what you actually would do if you were to win."
13,2022-07-29 17:41:35.731449,2022-07-29 16:46:47,Trump in 2024: Eric Trump teases dad's third election run with golf bag at Saudi-backed tour event,"Donald Trump is considering announcing a campaign for the White House, as he faces criticism from 9/11 families for hosting a Saudi-backed golf event."
14,2022-07-29 17:41:35.731449,2022-07-28 16:14:20,UPS workers rally in New York to protest hot working conditions,"Union leaders at the rally described UPS distribution centers ""infernos"" with limited air conditioning."
15,2022-07-29 17:41:35.731449,2022-07-28 15:03:24,Comcast shares slide after the cable giant fails to add broadband subscribers for first time ever,Comcast beat revenue and profit estimates but failed to deliver broadband subscriber growth. Peacock subscriber numbers were also flat.
16,2022-07-29 17:41:35.731449,2022-07-29 20:14:49,Beyond Meat stock falls after conclusion of McDonald's McPlant test,"Analyst research reported lackluster demand in the U.S. for McDonald's McPlant burger, which is made using Beyond Meat patties."
17,2022-07-29 17:41:35.731449,2022-07-27 21:51:13,"Best Buy cuts its outlook, joining other retailers as inflation pressures shoppers","Best Buy said sales have slowed amid a tougher economic backdrop, as customers contend with inflation."
18,2022-07-29 17:41:35.731449,2022-07-29 16:52:09,A toxic culture and ‘race to the bottom’: Pilots open up on why air travel is in chaos,Pilots for major airlines described opportunism and a desire to cut costs throughout the industry as worsening the situation travelers are facing today.
19,2022-07-28 17:41:35.456204,2022-07-29 05:23:52,New Zealand had one of the world's strictest Covid lockdowns. Now its borders are fully reopening,"After more than two years, New Zealand is lifting its strict border controls and is set to welcome back all international travelers on Sunday."
20,2022-07-28 17:41:35.456204,2022-07-28 23:18:42,Cramer's lightning round: Marqeta is not a buy,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
21,2022-07-28 17:41:35.456204,2022-07-28 23:00:26,Jim Cramer says investors should always avoid this trading strategy,"""The lesson, of course, is that as compelling as it is to believe in someone ... it almost never works over the long haul,"" the ""Mad Money"" host said."
22,2022-07-28 17:41:35.456204,2022-07-28 22:48:42,Jim Cramer warns investors not to miss their window to buy stocks,"""When the Fed gets out of the way, you have a real window and you've got to jump through it,"" the ""Mad Money"" host said."
23,2022-07-28 17:41:35.456204,2022-07-29 00:20:10,Climate groups react to Manchin’s surprise turnaround on reconciliation bill,"If passed and signed into law, the reconciliation bill would be the largest climate investment ever taken by Congress."
24,2022-07-28 17:41:35.456204,2022-07-28 22:41:31,Bausch Health shares tank in what could be a worst-case scenario after a judge order,"Bausch Health said Thursday afternoon it will ""consider all available options to vigorously defend"" its IP and appeal."
25,2022-07-28 17:41:35.456204,2022-07-28 22:21:59,"Amazon records $3.9 billion loss on Rivian investment, bringing markdown for the year to $11.5 billion","Rivian shares plunged 49% in the second quarter after dropping 52% in the first three months of the year, pulling Amazon's stake down by $3.9 billion."
26,2022-07-28 17:41:35.456204,2022-07-29 12:37:29,Health secretary calls on Congress and states to do more to help contain monkeypox outbreak,Health and Human Services Secretary Xavier Becerra said Congress and local authorities need to do more to help end the growing monkeypox outbreak.
27,2022-07-28 17:41:35.456204,2022-07-29 00:21:06,Amazon jumps on revenue beat and rosy guidance for third quarter,Amazon on Thursday reported second-quarter results that beat on the top line and issued rosy sales guidance for the third quarter.
28,2022-07-27 17:41:35.213780,2022-07-29 17:17:24,JetBlue to buy Spirit for $3.8 billion in push to become the fifth-largest US carrier,JetBlue Airways reached a deal to buy Spirit Airlines after the discounter broke off its merger agreement with Frontier Airlines.
29,2022-07-27 17:41:35.213780,2022-07-27 22:30:21,Ford beats expectations and raises dividend as company sells more of its top models,Ford reported second-quarter results that beat Wall Street's estimates for revenue and profit.
