INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2021-08-07 13:46:28.603288,2021-08-07 13:24:06,"Berkshire Hathaway's operating earnings jump 21% as recovering economy boosts railroad, energy units","The conglomerate reported operating earnings of $6.686 billion, up 21% from $5.513 billion a year ago,"
1,2021-08-06 11:00:46.810343,2021-08-06 20:26:16,Norwegian Cruise Line posts mixed results ahead of first U.S. voyage since last year,Norwegian Cruise Line reported mixed second-quarter results as future bookings remained strong ahead of its first cruise in the U.S. since last year.
2,2021-08-06 11:00:46.810343,2021-08-06 09:45:35,Huawei chairman says the ‘aim is to survive’ as revenue slides 29%,"The chairman of Huawei said the Chinese technology company's ""aim is to survive"" as revenue fell almost 30% in the first half of the year."
3,2021-08-06 11:00:46.810343,2021-08-06 15:00:55,The world's largest container shipping firm posts soaring second-quarter earnings,Maersk has posted a sharp increase in second-quarter earnings as congestions and bottlenecks continue to drive up shipping rates.
4,2021-08-05 19:54:53.054784,2021-08-05 20:49:33,Cloud stocks soar to fresh records as Datadog's results help boost Cloudflare and Asana,"Datadog shares jumped 15% on Thursday on better-than-expected results, helping push other cloud stocks to all-time highs."
5,2021-08-05 19:54:53.054784,2021-08-05 22:11:31,"Virgin Galactic reopens ticket sales, with prices starting at $450,000 per seat",Virgin Galactic delivered second-quarter results after the market closed on Thursday and announced the reopening of ticket sales for spaceflights.
6,2021-08-05 19:54:53.054784,2021-08-06 00:40:06,"Beyond Meat's loss widens amid higher costs, shares fall as pandemic clouds outlook",Beyond Meat's shares fell in extended trading Thursday after the company reported a wider-than-expected loss for its second quarter.
7,2021-08-05 19:54:53.054784,2021-08-05 22:13:08,Novavax delays Covid vaccine emergency authorization submission to FDA until fourth quarter,
8,2021-08-05 11:19:26.549844,2021-08-05 21:23:44,Wayfair shares surge after earnings top estimates and sales stay above pre-pandemic levels,"Online furniture retailer Wayfair said active customers grew to 31.1 million, a nearly 20% year-over-year increase."
9,2021-08-05 11:19:26.549844,2021-08-05 13:18:38,Moderna says its Covid vaccine booster produced ‘robust’ immune response against delta,"Moderna said its Covid-19 vaccine booster shot produced a ""robust"" antibody response against the highly contagious delta variant."
10,2021-08-05 11:19:26.549844,2021-08-05 09:12:10,"Singapore's largest bank reports 37% on-year jump in second-quarter profit, beats expectations",DBS Group Holdings' net profit for the April-to-June quarter jumped 37% from a year ago to 1.7 billion Singapore dollars ($1.26 billion).
11,2021-08-05 11:19:26.549844,2021-08-05 07:49:24,Adidas raises outlook despite falling sales in China as boycott there continues,"The German sportswear giant increased its outlook for the year, despite a drop in sales in Greater China."
12,2021-08-05 11:19:26.549844,2021-08-05 01:13:48,Etsy stock plunges as weak guidance suggests pandemic e-commerce boom is stalling,Etsy shares slid in extended trading Wednesday after the company gave third-quarter guidance that suggested a sales slowdown after the pandemic e-commerce bump.
13,2021-08-04 23:00:05.148656,2021-08-05 00:59:11,"Roku stock sinks after company reports tight hardware margins, dramatic fall in streaming viewership",Roku shares fell Wednesday after the company reported earnings that beat expectations but showed a slowdown in streaming TV viewing and tight hardware margins.
14,2021-08-04 23:00:05.148656,2021-08-05 01:55:59,"Uber beats estimates, but core business loses $509 million in Q2",Uber beat estimates on the top and bottom line and turned an unexpected one-time profit during the second quarter.
15,2021-08-04 23:00:05.148656,2021-08-05 14:05:33,Frontier Airlines lowers forecast after delta variant hurt bookings,Budget airline Frontier says the coronavirus delta variant is driving down bookings.
16,2021-08-04 23:00:05.148656,2021-08-04 23:03:53,Royal Caribbean posts wider-than-expected loss as Covid delta variant hurts its ability to fill ships this summer,Royal Caribbean reported second-quarter results with a wider-than-expected loss and a disappointing revenue.
17,2021-08-04 23:00:05.148656,2021-08-04 20:10:32,"General Motors misses Wall Street second-quarter earnings expectations, raises 2021 guidance","GM said quarterly earnings were dragged down by some $1.3 billion in warranty recall costs, including $800 million related to the Chevrolet Bolt EV."
18,2021-08-04 23:00:05.148656,2021-08-05 12:33:10,"CVS Health raises estimates after strong earnings, but shares fall on investment plans","The drugstore chain said its business has begun to normalize, as customers buy more items in the front of the store and pharmacists fill more prescriptions."
