INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2024-01-18 15:24:30.694700,2024-01-18 18:51:45,Fed's Raphael Bostic expects rate cuts to happen in the third quarter,"The Atlanta Fed president said a ""golden path"" economic scenario is getting closer than many Fed officials had expected."
1,2024-01-18 15:24:30.694700,2024-01-18 15:15:50,Weekly jobless claims post lowest reading since September 2022,"Initial filings for unemployment insurance totaled 187,000 for the week ended Jan. 13."
2,2024-01-17 15:24:30.398337,2024-01-17 17:39:47,"Retail sales rose 0.6% in December, topping expectations for holiday shopping","Retail sales increased 0.6% for the month, buoyed by a pickup in clothing and accessory stores as well as online nonstore businesses."
3,2024-01-17 15:24:30.398337,2024-01-16 21:35:39,"Corporate debt defaults soared 80% in 2023 and could be high again this year, S&P says","The number of companies that failed to make required payments on their debt totaled 153 for 2023, up from 85 the year before."
4,2024-01-16 15:24:29.779766,2024-01-16 19:32:56,Fed's Christopher Waller advocates moving 'carefully' with rate cuts,"The comments, delivered during a speech in Washington, D.C., seemed to counter market anticipation for aggressing easing this year."
5,2024-01-15 15:24:29.283691,2024-01-15 10:22:55,Germany skirts recession at the end of 2023 but faces prolonged slump,The estimate is in line with the expectations of analysts polled by Reuters.
6,2024-01-12 15:24:27.643605,2024-01-12 18:17:24,Wholesale prices unexpectedly fall 0.1% in December in positive inflation sign,"The producer price index fell 0.1% for the month and ended 2023 up 1% from a year ago, the Labor Department reported Friday."
7,2024-01-11 15:24:27.278793,2024-01-12 04:30:48,U.S. deficit tops half a trillion dollars in the first quarter of fiscal year,"The budget deficit totaled almost $510 billion, following a shortfall of $129.4 billion in December alone."
8,2024-01-11 15:24:27.278793,2024-01-11 15:35:01,Shipping boss says ongoing Red Sea disruption could have 'significant consequences' for global growth,"Maersk CEO Vincent Clerc said it was unclear whether Red Sea trade would resume in ""days, weeks or months."""
9,2024-01-11 15:24:27.278793,2024-01-12 06:18:26,"Consumer prices rose 0.3% in December, higher than expected, pushing the annual rate to 3.4%","The consumer price index for December was expected to increase 0.2% on a monthly basis and 3.2% from a year ago, according to Dow Jones."
10,2024-01-11 15:24:27.278793,2024-01-11 10:08:34,Turkish lira hits fresh record low against the U.S. dollar,The beleaguered lira has fallen some 37% against the U.S. benchmark over the past year.
