INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2022-07-11 13:08:43.989120,2022-07-11 16:58:26,House January 6 committee will not hold hearing on Thursday,"The House committee investigating the January 6, 2021, Capitol Hill insurrection will not hold a hearing this Thursday, as had previously been under consideration, a source familiar with the committee's plans told CNN."
1,2022-07-11 13:08:43.989120,2022-07-11 16:52:23,Extreme temperatures will challenge the Texas power grid this week,Several days of triple-digit heat will challenge the Texas power grid this week -- and scientists are saying the Lone Star State is on track to have one of the hottest summers on record.
2,2022-07-11 13:08:43.989120,2022-07-11 16:51:07,Women say they were drugged at summer gathering of Germany's ruling party,Nine women have reported they were drugged by an unknown substance after attending the annual summer party of Germany's Social Democratic Party (SPD) -- whose Chancellor Olaf Scholz is a member -- last week.
3,2022-07-11 13:08:43.989120,2022-07-11 16:45:34,"Jen Shah, 'Real Housewives of Salt Lake City' cast member, pleads guilty to telemarketing fraud","Jennifer Shah, a cast member of the ""Real Housewives of Salt Lake City,"" pleaded guilty Monday to defrauding hundreds of victims, including some elderly, in a years-long telemarketing fraud scheme."
4,2022-07-11 13:08:43.989120,2022-07-11 16:39:36,Biden says gun violence has turned America's communities into 'killing fields',"President Joe Biden on Monday said gun violence has turned everyday places in America into ""killing fields"" as he marked the passage of the first significant federal gun safety legislation in 30 years."
5,2022-07-11 13:08:43.989120,2022-07-11 16:34:52,Russia's invasion of Ukraine,Ukraine has launched a counteroffensive against Russian troops in the southern regions of Kherson and Zaporizhzhia. Follow here for live updates
6,2022-07-11 13:08:43.989120,2022-07-11 16:34:41,MLB All-Star Game Fast Facts,"Read CNN's MLB All-Star Game Fast Facts and learn more about the baseball competition that's also known as the ""Midsummer Classic."""
7,2022-07-11 13:08:43.989120,2022-07-11 16:33:55,Faroe Islands sets quota of 500 dolphins to be killed in controversial annual whale hunt,The government of the Faroe Islands has set a catch limit of 500 dolphins for the territory's annual whale hunt this year.
8,2022-07-11 13:08:43.989120,2022-07-11 16:30:48,Chairman of Texas House Committee investigating Uvalde school shooting pushes for release of hallway surveillance video,The chairman of the Texas House committee investigating the Uvalde school shooting pushed to release hallway surveillance video that shows what police were doing as a gunman remained inside adjoining classrooms for about 77 minutes.
9,2022-07-11 13:08:43.989120,2022-07-11 16:30:32,Elon Musk Fast Facts,Read CNN's Fast Facts about Elon Musk and learn about the entrepreneur behind Tesla and SpaceX.
10,2022-07-11 13:08:43.989120,2022-07-11 16:12:01,President Biden will share the Webb Telescope's first image today,President Joe Biden will share the first image from the James Webb Space Telescope on Monday at the White House at 5 p.m. ET. The rest of Webb's first images will be released on Tuesday.
11,2022-07-11 13:08:43.989120,2022-07-11 16:12:00,A crucial Russian gas pipeline has been shut for repairs. Will it ever reopen?,"Since the West hit Russia with bruising sanctions following its invasion of Ukraine, a frightening question has loomed: What if Russia turns off natural gas to Europe?"
12,2022-07-11 12:08:43.380986,2022-07-11 16:37:04,"'Originally there were no options,' says pilot who landed his plane on a North Carolina highway","When the engine on his small plane failed three times, Vincent Fraser had no choice but to make an emergency landing in mountainous terrain just south of Great Smoky Mountains National Park."
13,2022-07-11 12:08:43.380986,2022-07-11 16:30:38,Here's what the January 6 committee has revealed through its 6 hearings,"In its six hearings so far, the House select committee investigating January 6, 2021, has focused squarely on former President Donald Trump, connecting his role in efforts to overturn the 2020 election to the violent attack at the US Capitol."
