INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2022-12-13 18:45:50.629218,2022-12-13 22:43:31,Skeletal remains found in 1991 identified 31 years later using forensic genealogy,"The mystery of skeletal remains hunters found in 1991 on a private farm lane in Pickaway County, Ohio, long remained just that: a mystery."
1,2022-12-13 18:45:50.629218,2022-12-13 21:50:01,Don Lemon and fiancé react to Biden signing same-sex marriage into law,"CNN's Don Lemon reports live alongside his fiancé from the White House where President Joe Biden signed into law the Respect for Marriage Act, granting federal protections for same-sex and interracial couples."
2,2022-12-13 18:45:50.629218,2022-12-13 22:47:50,'Harry & Meghan' is Netflix's most watched documentary debut in its first week,"Netflix's documentary about Prince Harry and Meghan, Duchess of Sussex, debuted with a total of 81.55 million hours watched in its first week, the company said in a press release Tuesday. That's the highest viewing time of any documentary to debut on the streaming service in its premiere week."
3,2022-12-13 18:45:50.629218,2022-12-13 22:28:06,Justice Department has tried to access GOP Rep. Scott Perry's text messages,"The Justice Department has tried to gain access to Republican Rep. Scott Perry's text messages as part of a criminal investigation into 2020 election interference, facing off with his lawyers in a secret court proceeding after seizing his phone, CNN observed at the courthouse and sources familiar with the investigation said."
4,2022-12-13 18:45:50.629218,2022-12-13 23:22:16,Breonna Taylor's boyfriend reaches $2 million settlement with City of Louisville,"Breonna Taylor's boyfriend, Kenneth Walker III, has reached a $2 million dollar settlement with the City of Louisville, resolving lawsuits Walker filed in response to ""the unlawful police raid that led to Ms. Taylor's death,"" a news release from Walker's legal team says."
5,2022-12-13 18:45:50.629218,2022-12-13 23:14:32,NYC mayor: The myths about Black Democrats,"The Democratic Party's proposal to move its first presidential primary to South Carolina is a major shift in the cadence of national politics — but it is an even larger, tectonic change in how Democrats are messaging their priorities as a party. And the message is clear: The party is prioritizing Black voters."
6,2022-12-13 18:45:50.629218,2022-12-13 22:45:27,Top Energy Department official no longer employed after luggage theft accusations,"The Department of Energy official responsible for nuclear fuel and radioactive waste is no longer employed by the federal agency after two alleged airport baggage theft incidents, according to local reports and court records."
7,2022-12-13 18:45:50.629218,2022-12-13 18:45:00,Sam Bankman-Fried denied bail in Bahamas,
8,2022-12-13 18:45:50.629218,2022-12-13 22:36:19,FTX founder indicted on eight criminal charges including fraud and conspiracy,"FTX founder Sam Bankman-Fried was indicted on eight criminal charges including wire fraud and conspiracy by misusing customer funds, according to an indictment from the US Attorney of the Southern District of New York."
9,2022-12-13 18:45:50.629218,2022-12-13 21:15:20,Danish bank pleads guilty to multibillion dollar fraud scheme on US banks,"Federal prosecutors announced a plea deal and $2 billion forfeiture Tuesday with Danske Bank, one of Denmark's largest banks, for illegally allowing foreign actors to funnel money through their branch in Estonia in order to gain unlawful access to the US financial system."
10,2022-12-13 18:45:50.629218,2022-12-13 22:49:28,Arizona governor's immigration stunt isn't fooling anyone,"With his term almost over, outgoing Arizona Gov. Doug Ducey is leaving a monument, of sorts, behind. Ducey's administration has been placing enormous empty shipping containers along an eastern stretch of the Grand Canyon State's border with Mexico. Topped with razor wire, this makeshift barrier is supposed to help stop illegal immigration."
11,2022-12-13 18:45:50.629218,2022-12-13 01:55:36,What helped solve the Lockerbie bombing,"Just days before Christmas in 1998, Pan Am flight 103 flying from London to New York blew up over Lockerbie, Scotland, killing 270 people -- including 190 Americans. Thirty-five victims were Syracuse University students going home for the holidays after studying abroad. It was the most lethal terrorist attack against American civilians until the September 11 attacks of 2001."
12,2022-12-13 18:45:50.624201,2022-12-13 22:17:39,The bill signing comes 10 years after his famous Sunday show answer helped spark a national political transformation on the issue,• Meet the woman steering Biden's bipartisan winning streak on Capitol Hill
13,2022-12-13 18:45:50.624201,2022-12-13 22:12:38,House GOP divided over McCarthy,• US lawmakers introduce bill to ban TikTok
14,2022-12-13 18:45:50.624201,2022-12-01 14:53:16,See McCarthy's stark warning to GOP if he isn't voted speaker,CNN political analyst Jonathan Martin reacts to House Minority Leader Kevin McCarthy warning House Republicans to back his bid for House Speaker and predicts what could happen if he loses.
15,2022-12-13 18:45:50.624201,2022-12-13 21:20:37,US lawmakers introduce bill to ban TikTok,A trio of US lawmakers has introduced new legislation that aims to ban TikTok from operating in the United States.
16,2022-12-13 18:45:50.624201,2022-12-13 03:24:41,Analysis: Right-wing outlets are treating Elon Musk's 'Twitter Files' as a bombshell. Here's the truth,It's a huge bombshell with stunning revelations. Or is it?
17,2022-12-13 18:45:50.624201,2022-12-13 10:49:12,Opinion: It's time for Marjorie Taylor Greene to go,"What should a political party do when one of their elected members to Congress is making comments that sound awfully traitorous? That's the question the Republican Party should be grappling with right now in the aftermath of Rep. Marjorie Taylor Greene of Georgia saying this weekend that, if she had organized the January 6, 2021, riots, the insurrectionists would have won."
