INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2022-10-10 08:08:30.224415,2022-10-10 10:56:32,ISIS-linked militants are threatening huge natural gas reserves the world needs badly right now,"Asmani Dadi had heard rumors about the insurgents. Then, one day, they came true."
1,2022-10-10 08:08:30.219922,2022-10-10 06:38:47,North Korea says missile tests are practice for 'tactical nuclear strikes' on South Korea,"North Korean state media has broken its silence over the country's recent spate of missile tests, claiming they were part of a series of simulated procedures intended to demonstrate its readiness to fire tactical nuclear warheads at potential targets in South Korea."
2,2022-10-10 08:08:30.219922,2022-10-10 07:18:09,Funeral rites begin for victims of mass shooting and stabbing at Thailand nursery,"Buddhist funeral rites have begun in the grieving town of Uthai Sawan in northern Thailand, where families are mourning the loss of children killed in a massacre at a day care center."
3,2022-10-10 08:08:30.219922,2022-10-10 08:47:41,"'No room for compromise' on Taiwan's sovereignty, President Tsai says in National Day speech","Taiwan's President Tsai Ing-wen said Monday there is ""no room for compromise"" over the self-ruled island's sovereignty but she is willing to work with China to find ""mutually acceptable ways"" to maintain peace across the Taiwan Strait."
4,2022-10-10 08:08:30.219922,2022-10-08 12:57:05,How meltdown in a $1 trillion market brought the UK to the brink of a financial crisis,Pension funds are designed to be dull. Their singular goal — earning enough money to make payouts to retirees — favors cool heads over brash risk takers.
5,2022-10-10 08:08:30.219922,2022-10-07 14:21:25,"Facing risk of blackouts this winter, the UK will drill for more oil in the North Sea","The UK government could award oil and gas companies more than 100 new licenses to drill in the North Sea, as it looks for ways to bolster energy security amid a global supply crunch."
6,2022-10-10 08:08:30.219922,2022-10-07 11:36:06,Opinion: The Fed doesn't have a choice anymore. Get ready for a recession,"To many economists and analysts, the US economy has represented a paradox this year. On the one hand, GDP growth has slowed significantly, and some argue, even entered a recession. On the other hand, overall employment growth has been much stronger than normal."
7,2022-10-10 08:08:30.219922,2022-10-07 10:51:38,OPEC's production cut is a win for oil stocks,"The White House isn't very happy with OPEC's decision to slash oil production by 2 million barrels per day. Consumers won't be big fans either, as the move will likely send gas prices higher."
8,2022-10-10 08:08:30.219922,2022-10-06 19:04:49,Toyota finally figured out why wheels were falling off its electric SUV,"Last June, Toyota warned owners of its first mainsteam electric vehicle, the BZ4X, to stop driving their SUVs and have them transported to dealers because of a scary problem: the wheels could fall off after driving even just a few miles."
9,2022-10-10 08:08:30.219922,2022-03-21 19:54:24,"Not only is Lake Powell's water level plummeting because of drought, its total capacity is shrinking, too","Lake Powell, the second-largest human-made reservoir in the US, has lost nearly 7% of its potential storage capacity since 1963, when Glen Canyon Dam was built, a new report shows."
