INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2022-12-14 10:16:30.939000,2022-12-14 13:51:46,"Wife of Grant Wahl, American journalist who died at World Cup, reveals cause of death","Dr. Celine Gounder, wife of deceased soccer journalist Grant Wahl, has made public the cause of her husband's death."
1,2022-12-14 10:16:30.939000,2022-12-14 13:46:44,"Idaho murders: Coroner weighs in on toxicology reports, describes her role in case","Toxicology reports for four slain University of Idaho students are unlikely to offer any new clues in the unsolved murders, the local coroner told Fox News Digital."
2,2022-12-14 10:16:30.939000,2022-12-14 13:44:17,"Alabama women convicted of misdemeanor crimes for feeding, trapping stray cats",Two Alabama women have been convicted for feeding and trapping stray cats. The women have been sentenced to two years of unsupervised probation and fined $100.
3,2022-12-14 10:16:30.939000,2022-12-14 13:39:11,"Chris Rock compares Chris Farley to Michael Jordan, calls late comedian 'unhateable'",It has been almost 25 years since Chris Farley passed away from a drug overdose and Chris Rock is comparing the comedian to athlete Michael Jordan in a new podcast with David Spade and Dana Carvey.
4,2022-12-14 10:16:30.939000,2022-12-14 13:37:02,How to prevent phone scams against older loved ones,"Kurt Knutsson, the ""CyberGuy,"" explains how elderly people can be scammed over the phone, and the steps they can take to stay safe from telephone scammers."
5,2022-12-14 10:16:30.939000,2022-12-14 13:30:49,Biden grilled for claiming restaurants kick people out ‘for being gay’,Joe Biden faced criticism on social media for seeming to suggest there is a mass occurrence of gay people being thrown out of restaurants across the United States.
6,2022-12-14 10:16:30.939000,2022-12-14 13:30:29,Extreme weather hazards continue to impact millions nationwide,"Extreme weather hazards are set to impact tens of millions of Americans across the country, with blowing snow impacting travel conditions in the Plains and Midwest."
7,2022-12-14 10:16:30.939000,2022-12-14 13:18:12,Son of Atlanta grandma murdered in her home issues stark warning: 'None of us are as safe as we think',"The son of murdered Atlanta grandmother, Eleanor Bowles, warned crime is 'happening everywhere' after finding his mother's body in her garage in Buckhead"
8,2022-12-14 10:16:30.939000,2022-12-14 13:12:11,Mississippi set to execute man for killing 16-year-old girl,Mississippi is set to execute a man that pleaded guilty to raping and killing a 16-year old girl after the teen stated she would never want to be a Marine.
9,2022-12-14 10:16:30.939000,2022-12-13 16:52:11,Police raid European Parliament as investigators probe Qatar bribery allegations,European Parliament has been the scene of multiple raids by Belgian police investigating alleged corruption and bribery related to the Qatari government.
