INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2023-01-29 11:49:08.056464,2023-01-29 14:44:23,Tyre Nichols: Arraignment date set for 5 ex-Memphis police officers charged in fatal beating,"Five ex-Memphis officers -- Tadarrius Bean, Demetrius Haley, Desmond Mills Jr., Emmitt Martin III and Justin Smith -- will be arraigned Feb. 17 over Tyre Nichols' deadly beating."
1,2023-01-29 11:49:08.056464,2023-01-29 14:08:51,Three former Texas high school athletes dead after police chase ends in fiery crash: report,Deputies in Texas discovered three former high school student-athletes died in a fiery crash following a police chase last week. The community held a prayer vigil to honor them.
2,2023-01-29 11:49:08.056464,2023-01-29 13:41:31,"Half Moon Bay shooting: Killing of 7 at California farms sparked over $100 repair bill, DA says",Officials in California said accused shooter Chunli Zhao killed seven people in Half Moon Bay after his supervisor insisted he pay for damaged farm equipment.
3,2023-01-29 11:49:08.056464,2023-01-29 13:12:14,Tyre Nichols: Al Sharpton condemns violent protesters for ‘helping the police’ after Times Square arrests,"The Rev. Al Sharpton said the five Memphis officers charged in Tyre Nichols' death ""disgrace our race"" and called for protests to remain peaceful, arguing police want to ""see violence."""
4,2023-01-29 08:49:07.297843,2023-01-29 12:24:27,"Seattle woman returns home to find smashed window, burglary suspect taking bath fully clothed: police","Police in Seattle responded to a report of a burglary at a woman's home Friday evening and found a suspect in the bathroom taking a bath with his clothes on, authorities said."
5,2023-01-29 05:49:06.431537,2023-01-29 10:11:34,Texas man sentenced to 35 years for murdering friend after smoking meth,A Texas man was sentenced to 35 years in prison for shooting and killing his friend after smoking methamphetamine. The man has an extensive criminal history.
6,2023-01-29 05:49:06.431537,2023-01-29 09:38:31,Former Memphis cop charged in Tyre Nichols’ death allegedly beat up inmate in 2015,"One of the five Memphis police officers accused of killing Tyre Nichols allegedly participated in the beating of an inmate eight years ago, according to a 2016 lawsuit."
7,2023-01-29 05:49:06.431537,2023-01-29 09:21:50,"Maryland man convicted in stabbing deaths of little sister, young cousins: 'The justice they deserve'","Antonio Shareek Williams, 30, is facing life in prison without parole after he was convicted of stabbing his 6-year-old sister and two young cousins to death for annoying him."
8,2023-01-29 03:49:05.947517,2023-01-29 07:31:58,"Jackson, Mississippi, preparing to go without water periodically for up to 10 years as crisis continues","Families and businesses continue to go without water as pipe system repairs are underway in Jackson, Mississippi. The city may be plagued by water problems for up to the next 10 years."
9,2023-01-29 02:49:05.653136,2023-01-29 06:42:50,Convicted sex offender arrested in Atlanta after 17 years on the run,A convicted sex offender who has been on the run for 17 years for attempted rape was arrested in Atlanta. He dragged a woman into the woods and tried to rape her in 1995.
