INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2021-08-04 15:11:00.493435,2021-08-03 20:01:06,"Chipmunks in California test positive for the plague, parts of Lake Tahoe closed",The chipmunks that were tested had no contact with any humans and the city's public health services show that the plague is naturally present in some areas of the Golden State.
1,2021-08-04 15:11:00.493435,2021-08-03 14:06:37,Earth's longer days kick-started oxygen growth: study,Scientists have a new idea for how Earth got its oxygen: It’s because the planet slowed down and days got longer.
2,2021-08-04 15:11:00.493435,2021-07-31 20:17:22,Recently-discovered underwater volcano named for this popular franchise,"A group of researchers in Australia has uncovered the remnants of an ancient underwater volcano in the Indian Ocean that resembles J.R.R. Tolkien's ""The Lord of the Rings"" trilogy's ""Eye of Sauron."""
3,2021-08-04 15:11:00.493435,2021-07-31 19:31:09,Scientists find a 'real life' Patrick and Spongebob in ocean expedition,"Scientists have discovered what some are calling the ""real life"" SpongeBob and Patrick: from the timeless and beloved Nickelodeon cartoon ""SpongeBob SquarePants."""
4,2021-08-04 15:11:00.493435,2021-07-31 15:23:16,Apollo 15’s 50th anniversary: Moon landing seen in stunning detail,New images released to Fox News depict the Apollo 15 moon landing in remarkable detail 50 years later.
5,2021-08-04 15:11:00.493435,2021-07-30 02:26:01,International Space Station reports scare after engine trouble with new Russian module,Russia’s Nauka space module caused a scare on the International Space Station Thursday after its engines inexplicably lit up the hours after it docked in orbit.
6,2021-08-04 15:11:00.493435,2021-07-29 20:54:53,Astronomers observe light from behind a black hole for the first time,"The researchers, led by Dan Wilkins of Stanford University, observed light from behind a supermassive black hole located in the center of a spiral galaxy called I Zwicky 1."
7,2021-08-04 15:11:00.493435,2021-07-29 20:35:55,Russian lab module docks with space station after 8-day trip,Russia's lab module successfully docked with the International Space Station on Thursday.
8,2021-08-04 15:11:00.493435,2021-07-29 20:17:25,This fossil could be Earth's earliest known animal,A sponge-like fossil dating back approximately 890 million years may be the oldest prehistoric animal on Earth.
9,2021-08-04 15:11:00.493435,2021-07-28 19:36:37,Twin meteor showers will peak tonight — but viewing may be tricky,Two meteor showers will grace the night skies this week – though the moon may make observing them nearly impossible.
