INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2022-07-31 12:42:00.772725,2022-07-31 15:09:32,Drone detonates explosive at Russia’s Black Sea navy HQ,Russian Navy Day celebrations were cut off Sunday after a drone detonated an explosive device at the headquarters of the nation's Black Sea Fleet on Sunday.
1,2022-07-31 10:42:00.486104,2022-07-31 13:14:45,"Thousands want Boris Johnson to stay in power, but party establishment not going to bite",Boris Johnson also garnered a few thousand signatures in support of providing him with Ukraine citizenship so he could become the next prime minister of the war-torn nation.
2,2022-07-31 09:42:00.314291,2022-07-31 12:51:44,"Vladimir Putin targets US in new Russian navy doctrine, warns of using hypersonic weapons","Russian President Vladimir Putin touted that Russian naval vessels would soon be equipped with hypersonic weapons on Sunday, and targeted the U.S. with a new navy doctrine."
3,2022-07-31 07:41:59.936482,2022-07-31 09:12:20,Ukrainian president declares mandatory evacuation of Donetsk region,The Ukrainian president said Saturday that the government had ordered a mandatory evacuation of the Donetsk region. He urged those in the larger Donbas region to leave as well.
4,2022-07-30 19:41:57.124204,2022-07-30 22:01:18,"Hong Kong authorities to investigate after massive screen falls during concert, injures dancers",Hong Kong officials say they will open an investigation into the concert accident where a giant video screen fell down onto the stage and injured two dancers.
5,2022-07-30 17:41:56.806080,2022-07-30 19:58:50,Iran state-aligned news outlet suggests military strike on resistance group on foreign soil,The U.S. removed the MEK from the State Department's list of Foreign Terrorist Organizations in 2012. The group was one of the first to expose Iran's illegal nuclear program.
6,2022-07-30 17:41:56.806080,2022-07-30 19:33:14,China announces live-fire naval exercises ahead of possible Pelosi Taiwan visit,China announced plans for a series of live-fire naval demonstrations in the Taiwan strait as the world watches House Speaker Nancy Pelosi's Asia trip.
7,2022-07-30 11:41:56.102855,2022-07-30 14:11:57,Iraqi parliament in Baghdad stormed by protesters,"For the second time in a week, thousands of Iraqi protesters breached the parliament in support of Muqtada al-Sadr, but there were no lawmakers present for a parliament session."
8,2022-07-30 10:41:55.724668,2022-07-30 13:51:09,'Red alarm' raised in Italy while threat of Putin's interference hovers over upcoming election,"As Italy prepares for yet another election, allegations have surfaced that Russia actively influenced political parties to leave the governing coalition and collapse the government."
9,2022-07-30 08:41:54.871909,2022-07-30 11:50:46,Pope Francis says he must cut down on travel or consider retirement: 'The door is open',Pope Francis said this latest apostolic journey to Canada was a 'test' that proved the pontiff must slow down on traveling or else risk having to retire.
