INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2022-01-04 14:36:16.844267,2022-01-04 19:33:25,"February WTI oil gains 91 cents, or 1.2%, to settle at $76.99/bbl","This is a Real-time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news."
1,2022-01-04 14:36:16.832267,2022-01-04 18:34:08,"February gold climbs $14.50, or 0.8%, to settle at $1,814.60/oz","This is a Real-time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news."
2,2022-01-04 14:36:16.832267,2022-01-04 17:22:00,: Bed Bath & Beyond stock price target cut to $11.50 from $14.00 at BofA Securities,"This is a Real-time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news."
3,2022-01-04 14:36:16.832267,2022-01-04 17:17:00,: Halliburton upgraded to overweight at Morgan Stanley,"This is a Real-time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news."
4,2022-01-04 14:36:16.832267,2022-01-04 17:15:00,: StoneCo downgraded to neutral from buy at UBS,"This is a Real-time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news."
5,2022-01-04 14:36:16.832267,2022-01-04 17:15:00,: PagSeguro Digital downgraded to neutral from buy at UBS,"This is a Real-time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news."
6,2022-01-04 14:36:16.832267,2022-01-04 17:14:00,: Houlihan Lokey upgraded to buy from neutral at UBS,"This is a Real-time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news."
7,2022-01-04 14:36:16.832267,2022-01-04 17:02:00,: Pfizer to provide 10 mln more treatment courses of oral COVID-19 therapy to U.S. government,"This is a Real-time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news."
8,2022-01-04 14:36:16.832267,2022-01-04 16:41:43,Fed's Kashkari says it is unclear how long the supply-chain issues impacting inflation will last,"This is a Real-time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news."
9,2022-01-04 14:36:16.832267,2022-01-04 16:39:25,Fed's Kashkari says inflation has been higher and has lasted longer than he had expected,"This is a Real-time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news."
