INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2022-12-13 21:39:30.138709,2022-12-07 00:00:00,"Executives at 'fintechs' made hundreds of millions handing out PPP Covid cash, report says","The report says smaller PPP loan applicants were disdained by one fintech, with staff writing, “delete them” and “Who f------ cares "
1,2022-12-13 21:39:30.138709,2022-12-07 00:00:00,Former NBA star Jeremy Lin fined for comments about Covid quarantine while playing in China,"Lin, who plays for the Loong Lions Basketball Club, made “inappropriate remarks about quarantine hotel-related facilities” where the team stayed, the China Basketball Association announced "
2,2022-12-13 21:39:30.138709,2022-12-07 00:00:00,Around 85% of recent Covid deaths were among people over 65. Why have so few gotten boosted?,Experts maintain that the new bivalent booster shot offers important protection. But less than a third of the most vulnerable age group has gotten it 
3,2022-12-13 21:39:30.138709,2022-12-07 00:00:00,China eases controls but gives no sign when ‘zero Covid’ will end,Health experts and economists warn it will be mid-2023 and possibly 2024 before vaccination rates are high enough and hospitals are prepared to handle a possible rash of infections 
4,2022-12-13 21:39:30.138709,2022-12-07 00:00:00,New coronavirus variants rendered the last remaining monoclonal antibody treatment useless,"The FDA rescinded its authorization of bebtelovimab this week, leaving immunocompromised patients with fewer Covid treatment options "
5,2022-12-13 21:39:30.138709,2022-12-07 00:00:00,"Hackers linked to Chinese government stole millions in Covid benefits, Secret Service says","The theft of state unemployment funds is the first pandemic fraud tied to foreign, state-sponsored cybercriminals that the U.S. government has acknowledged publicly "
6,2022-12-13 21:39:30.138709,2022-12-07 00:00:00,"Myocarditis after Covid vaccine low among teens and young adults, large study finds","The heart-related condition usually occurred within four days after the second dose of a Covid vaccine, the study found "
7,2022-12-13 21:39:30.138709,2022-12-07 00:00:00,Twitter inundated with sexually explicit spam drowning out discussions of Chinese protests,"A flood of sexually explicit images followed the outbreak of protests, internet researchers say, in what appears to be a coordinated campaign "
8,2022-12-13 21:39:30.138709,2022-12-07 00:00:00,New Zealand court rules against anti-vax parents of ill baby,The parents refused blood transfusions for the baby unless it came from donors who were unvaccinated against Covid-19. Their legal battle has been embraced by anti-vaccine groups 
9,2022-12-13 21:39:30.138709,2022-11-29 21:39:00,Maps: Track hospital stress levels in your state,Higher numbers of Covid patients limit the ability of hospitals to provide a full range of services 
