INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2022-08-06 15:27:48.326143,2022-08-06 07:00:00,DOD denies D.C. mayor's request for National Guard help with influx of migrants sent north by Texas,The governor is sending migrants on buses paid for by Texas taxpayers to D.C. and New York
1,2022-08-06 15:27:48.326143,2022-08-06 07:00:00,Their children were killed by drugs found on Snapchat. Their activism could push Congress to act.,"Sammy's Law, or the Let Parents Choose Protection Act, is being drafted by Rep. Debbie Wasserman Schultz, adding to other legislative "
2,2022-08-06 15:27:48.326143,2022-08-06 07:00:00,Fetterman to hold first campaign rally since suffering a stroke,"The Pennsylvania Democratic Senate nominee will appear in Erie County next Friday, his campaign said"
3,2022-08-06 15:27:48.326143,2022-08-06 07:00:00,3 dead after lightning strike near White House,"Four people were hospitalized following Thursday night's lightning strike in Lafayette Square, across the street from the White House"
4,2022-08-06 15:27:48.326143,2022-08-06 07:00:00,Jan. 6 rioter who wore jacket with his last name on it pleads guilty,Troy Faulkner of Ohio admitted to destroying government property during last year's attack on the U.S. Capitol
5,2022-08-06 15:27:48.326143,2022-08-06 07:00:00,Sen. Sinema signs off on inflation reduction act,Senator Kyrsten Sinema signed off on Democratic legislation that would provide new spending to mitigate climate change and extend health 
6,2022-08-06 15:27:48.326143,2022-08-06 07:00:00,Indiana on the cusp of passing near-total abortion ban,"Indiana is on the cusp of passing a near-total ban on abortion, the first state to take that step since the Supreme Court overturned Roe v. "
7,2022-08-06 15:27:48.326143,2022-08-06 07:00:00,Indiana Legislature becomes first to approve abortion ban in post-Roe era,Republican Gov. Eric Holcomb has not indicated whether he will sign the legislation
8,2022-08-06 15:27:48.326143,2022-08-06 07:00:00,Indiana lawmakers pass first post-Roe abortion ban,"Indiana lawmakers passed new legislation to ban abortion, making them the first state&nbsp;legislature to do so since Roe v. Wade was "
9,2022-08-06 15:27:48.326143,2022-08-06 07:00:00,"Chinese military drills appear to simulate attack, Taiwan says as fallout from Pelosi visit goes on","Taiwan dispatched air and naval patrols and activated land-based missile systems in response to the situation, the country's defense "
