INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2024-05-29 15:09:22.660711,2024-05-29 09:00:00,Police in one California city are using 'bait houses' to catch burglars,Some residents in affluent Atherton are volunteering their homes to be used in the operation 
1,2024-05-29 15:09:22.660711,2024-05-29 09:00:00,Christie Brinkley details how doctors found skin cancer,The model revealed two months ago that she was diagnosed with basal cell carcinoma 
2,2024-05-29 15:09:22.660711,2024-05-29 09:00:00,Idaho drag performer awarded $1.1 million in defamation suit against blogger,A blogger posted a doctored video of Eric Posey on Facebook in 2022 and falsely claimed he exposed his genitals to a crowd that included children 
3,2024-05-29 15:09:22.660711,2024-05-29 09:00:00,Second American avoids prison time in Turks and Caicos on weapons charge,"Tyler Wenrich, of Virginia, was sentenced to time served and fined $9,000 "
4,2024-05-29 15:09:22.660711,2024-05-29 09:00:00,Suspect in Massachusetts stabbing spree linked to Connecticut death investigation,"A woman who witnessed one of the stabbings compared the attacker's facial expression to Jack Nicholson's in the horror film ""The Shining "
5,2024-05-29 15:09:22.660711,2024-05-29 09:00:00,Former South Dakota mayor charged in triple-murder,"Jay Ostrem, the ex-mayor of Centerville, is being held on $1 million cash bond, the state attorney general said "
6,2024-05-29 15:09:22.660711,2024-05-29 09:00:00,National Park Service clarifies employees will be allowed to join Pride events in uniform,Previous memos to staff caused confusion over the uniform policy weeks before the start of LGBTQ Pride Month 
7,2024-05-29 15:09:22.660711,2024-05-29 09:00:00,Gas leak explosion injures at least 7 in Ohio,"At least seven people were hurt in the Youngstown blast, including one who was in critical condition, a hospital spokesperson said "
8,2024-05-18 07:08:16.631398,2024-05-22 15:09:00,Atlanta officer accused of killing Lyft driver allegedly said victim was ‘gay fraternity’ recruiter,"Koby Minor, 34, was charged with murder following the fatal shooting of 35-year-old Lyft driver Reginald Folks "
9,2024-05-18 07:08:16.631398,2024-05-22 15:09:00,"Pennsylvania man accused of killing roommate, dismembering body and scattering remains","A press conference on the murder of David Hittinger and the charges against Joshua Moser will be streamed live in the video below starting at noon on Friday, May 17 "
