INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2022-12-29 22:25:14.766196,2022-12-29 17:00:00,Chef José Andrés and his daughters go on a Spanish food tour in new TV show,"In “José Andrés and Family in Spain” on Discovery+, the chef embarks on a culinary journey in his homeland alongside his three American-raised daughters "
1,2022-12-29 22:25:14.766196,2022-12-29 17:00:00,"In Mexico, legal struggle to free women jailed for abortion continues","Even though Mexico's Supreme Court decriminalized abortion last year, hundreds of women remain in prison under outdated anti-abortion state laws, advocates said "
2,2022-12-29 22:25:14.766196,2022-12-29 17:00:00,U.S. to require negative Covid test for travelers from China as virus spreads,The new policy comes amid a surge in Covid cases in China and as fears of a new variant emerge 
3,2022-12-29 22:25:14.766196,2022-12-29 17:00:00,Francis calls for prayers for former Pope Benedict’s health,"Pope Francis revealed his predecessor, Benedict XVI, is very sick in a call for prayers during his general audience. The 95-year-old’s condition worsened due to his age, the Vatican says "
4,2022-12-29 22:25:14.766196,2022-12-29 17:00:00,Massive Russian missile barrage pummels cities across Ukraine,Major cities were left without power as Russia launched its biggest wave of strikes in recent weeks 
5,2022-12-29 22:25:14.766196,2022-12-29 17:00:00,Novak Djokovic says there are no hard feelings over deportation as he returns for Australian Open,"Djokovic has won the Australian Open a record nine times, including the last three times he played. Rafael Nadal won the 2022 title in Djokovic’s absence "
6,2022-12-29 22:25:14.766196,2022-12-29 17:00:00,Massive fire at Cambodia hotel casino kills at least 19,Videos posted on social media showed people falling from a roof after they were trapped by the fire at the Grand Diamond City casino and hotel in the town of Poipet 
7,2022-12-19 19:08:30.265366,2022-12-22 22:25:00,American tourists stranded in Machu Picchu as deadly unrest sweeps Peru,"Violent protests erupted following the ousting and detention of President Pedro Castillo, who had sought to dissolve Parliament in a last-minute power grab "
8,2022-12-19 19:08:30.265366,2022-12-22 22:25:00,Argentina wins World Cup on penalty kicks over France: Live updates,Sunday's final capped a month of sporting drama and geopolitical controversy in Qatar 
9,2022-12-19 19:08:30.265366,2022-12-22 22:25:00,Pope Francis wrote resignation note after 2013 election in case of health impediment,"“I have already signed my renunciation,” Francis revealed in an interview published Sunday with Spanish newspaper ABC, noting that he did so early in the papacy "
