INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2023-04-01 16:02:31.720581,2023-04-01 04:00:00,Putin says Russia will station tactical nuclear weapons in Belarus,"Russian President Vladimir Putin listens to Russian Transport Minister Vitaly Savelyev during a meeting in Moscow on Saturday. Gavriil Grigorov/Sputnik, Kremlin Pool Photo via AP "
1,2023-04-01 16:02:31.720581,2023-04-01 04:00:00,A scrappy newscast in Kyiv aimed at Russians counters Putin's propaganda machine,"Ilya Ponomarev is the founder of February Morning, an opposition Russian-language online newscast aimed at viewers in Russia. Behind him is a flag symbolizing the ""free Russia of the future,"" created following Russia's 2022 invasion of Ukraine. Ponomarev calls it the ""Russian tricolor without the blood "
2,2023-04-01 16:02:31.720581,2023-04-01 04:00:00,"On the border with Belarus, Ukrainian troops prep for a long war — and the front line","A howitzer is fired at a training area in the Volyn region. Ukraine is using this region, quiet for the moment, to train troops for the front line in the east "
3,2023-04-01 16:02:31.720581,2023-04-01 04:00:00,Foreign volunteers race to train new Ukrainian troops to be sent to the front,"Magnus Ek, 53, a retired Swedish lieutenant, is teaching a group of Ukrainian conscripts how to fire an AK-47 in eastern Ukraine's Donbas region. Ek, who spent a decade as an instructor in Sweden, is among a group of foreign military volunteers who have gone to train Ukrainians how to defend their country from Russia's invasion "
4,2023-04-01 16:02:31.720581,2023-04-01 04:00:00,Latest in Ukraine: Putin will move tactical nuclear weapons into Belarus (March 27),"An aerial view of Bakhmut, the site of heavy battles with Russian troops in the Donetsk region, Ukraine, Sunday "
5,2023-04-01 16:02:31.720581,2023-04-01 04:00:00,A new wave of pension protest breaks out in France as police brace for violence,"Protesters march with flares during a demonstration in Marseille, southern France, on Tuesday. France's government is unfurling massively ramped-up security measures for a fresh blast of marches and strikes against unpopular pension reforms "
6,2023-04-01 16:02:31.720581,2023-04-01 04:00:00,The 'Ukrainian Banksy' has remained in Kharkiv despite Russian attacks,Soldiers spend time swimming in the pool during the course 
7,2023-04-01 16:02:31.720581,2023-04-01 04:00:00,A rehab center revives traumatized Ukrainian troops before their return to battle,Soldiers spend time swimming in the pool during the course 
8,2023-04-01 16:02:31.720581,2023-04-01 04:00:00,All new cars in the EU will be zero-emission by 2035. Here's where the U.S. stands,"Electric cars charge at a hub in downtown Milan on March 23. Starting in 2035, all cars sold in the European Union will be zero-emission vehicles. Gabriel Bouys/AFP via Getty Images "
9,2023-03-22 16:02:19.287494,2023-03-25 16:02:00,Turkey says it will ratify Finland's bid to join NATO,"Turkish President Recep Tayyip Erdogan, right, and Finland's President Sauli Niinisto shake hands during a welcome ceremony at the presidential palace in Ankara, Turkey, on Friday "
