INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2022-09-26 04:56:36.750082,2022-09-25 16:00:00,These young men catch more than lobsters. They also catch a break,"Cris Silva (left) and Josh Lamour aboard Sea Smoke in Portland, Maine. Vanessa Leroy for NPR"
1,2022-09-26 04:56:36.750082,2022-09-25 16:00:00,A second ancient canoe is found in Wisconsin — this time tracing back to 1000 B.C.,"A woman from the Ho-Chunk Nation smiles as she touches the canoe. Wisconsin Historical Society maritime archaeologists recovered a 3,000-"
2,2022-09-26 04:56:36.750082,2022-09-25 16:00:00,"De fosas comunes a Martha's Vineyard, el sueño americano del migrante está plagado","Afuera del albergue Embajadores de Jesús en Tijuana, personas planean y esperan una nueva vida por delante. Toya Sarno Jordan por NPR"
3,2022-09-26 04:56:36.750082,2022-09-25 16:00:00,Is the American dream worth the risk? These migrants hope so,JesÃºs Ariel and his son JesÃºs Ezequiel consider themselves lucky that they can share a tent. Toya Sarno Jordan for NPR
4,2022-09-26 04:56:36.750082,2022-09-25 16:00:00,The Puerto Rican diaspora leverages lessons from Hurricane Maria to help after Fiona,"This aerial picture taken on Tuesday shows Utuado, Puerto Rico, after Hurricane Fiona struck the island earlier in the week. AFP via Getty "
5,2022-09-26 04:56:36.750082,2022-09-25 16:00:00,Fiona's floods devastated their homes. These residents are ready to start over,The coastal communities of Salinas near the Rio Nigua experienced massive flooding during Hurricane Fiona. Gabriella N. Báez for NPR
6,2022-09-26 04:56:36.750082,2022-09-25 16:00:00,NASA delays the Artemis 1 moon mission for a third time as a tropical storm approaches,"NASA's Artemis 1 Moon rocket sits at Launch Pad Complex 39B at Kennedy Space Center, in Cape Canaveral, Fla., on June 15. Eva Marie "
7,2022-09-26 04:56:36.750082,2022-09-25 16:00:00,The Cherokee Nation is renewing its push for a nonvoting delegate in Congress,"Kimberly Teehee, right, and Cherokee Nation principal chief Chuck Hoskin Jr. speak to the media in 2019 after Hoskin nominated Teehee to be "
8,2022-09-15 15:18:24.786598,2022-09-26 04:56:00,"California sues Amazon, alleging its policies cause higher prices everywhere",California Attorney General Rob Bonta announces a lawsuit against Amazon in San Francisco on Wednesday
9,2022-09-15 15:18:24.786598,2022-09-26 04:56:00,Prosecutors move to vacate Adnan Syed's murder conviction in the 'Serial' podcast case,"Adnan Syed enters a Baltimore courthouse prior to a hearing on Feb. 3, 2016. Baltimore prosecutors asked a judge on Wednesday to vacate his "
