INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2022-08-20 10:41:26.535240,2022-08-20 13:00:22,The woman accused of stealing Pelosi's laptop gets to attend Renaissance Faire,"Riley Williams is typically only allowed to leave home for work, court proceedings or approved outings. This weekend, that may include jousting and a make-believe renaissance wedding."
1,2022-08-20 09:25:39.112653,2022-08-20 13:01:08,"African fashion rules in British museum show, from chic dashikis to mud-dyed cloth","A new exhibit at Victoria and Albert Museum corrects the misperception that high fashion belongs to Western designers. The fierce garments attest to the motto of a Ghanaian: ""West is not always best."""
2,2022-08-20 09:25:39.112653,2022-08-20 12:49:01,Killer whales are 'attacking' sailboats near Europe's coast. Scientists don't know why,"In recent years, orcas have been damaging the rudders of pleasure yachts, mostly along the coasts of Portugal and Spain. Scientists and sailors are struggling to understand the encounters."
3,2022-08-20 09:25:39.112653,2022-08-20 11:31:47,CDC investigates an E. coli outbreak in 4 states after some Wendy's customers fell ill,The CDC said the source has not been determined but said many of the sickened people had reported eating sandwiches with romaine lettuce at Wendy's restaurants in four Midwestern states.
4,2022-08-20 09:25:39.107208,2022-08-20 10:19:22,A chemical tanker and cargo ship crashed near southwestern Japan,"Some oil leaked from the engine area of the cargo ship, which initially started to sink, but it was brought under control, an official with the Kushimoto Coast Guard said."
5,2022-08-20 09:25:39.107208,2022-08-20 09:00:44,A plan to bring the Tasmanian tiger back from extinction raises questions,"The thylacine had trademark stripes and, rare in the animal world, abdominal pouches in both females and males. The last known specimen died in a zoo in 1936."
6,2022-08-20 09:25:39.107208,2022-08-20 09:00:44,The 3 prongs of Liz Cheney's campaign against Trump — will they work?,"Trump touted that the soon-to-be-former Wyoming congresswoman will be heading into ""political oblivion."" But that's hardly true. Her focus is on making sure Trump will never be president again."
7,2022-08-20 09:25:39.107208,2022-08-20 09:00:44,The cartels flexed their power in Tijuana — and now the battle for influence is on,A drug cartel hijacked and burned more than a dozen vehicles across Tijuana and killed innocent bystanders in the region during a spree of violence. But can officials reassure a nervous city?
8,2022-08-20 09:25:39.107208,2022-08-20 07:08:43,Nicaraguan police detained a bishop and other priests in a pre-dawn raid,"President Daniel Ortega's government has moved systematically against voices of dissent, arresting many opposition leaders last year."
9,2022-08-20 09:25:39.107208,2022-08-20 06:28:05,Mexico arrests ex-attorney general in missing students case,"Prosecutors also announced Friday they had issued arrest warrants in the case against 83 army members, local officials, local police officers and state police, as well as gang members."
10,2022-08-20 09:25:39.107208,2022-08-20 05:10:30,Flood-damaged Death Valley will reopen popular sites to the public,Death Valley was hit on Aug. 5 by historic downpours that caused millions of dollars in damage to roads and facilities. Officials cautioned visitors to expect delays and continuing road closures.
11,2022-08-20 09:25:39.107208,2022-08-19 23:03:43,Trump's VOA chief paid 'extravagantly' to investigate critics: Watchdog,"A law firm received $1.6 million in taxpayer money to investigate officials at the U.S. Agency for Global Media. An inspector general has concluded that was a ""gross waste"" of federal resources."
12,2022-08-20 09:25:39.107208,2022-08-19 22:31:42,"A huge blaze engulfs Grossinger's Hotel, the location that inspired 'Dirty Dancing'",Grossinger's Hotel was a legendary vacationing spot in the New York Catskill Mountains. It was also the site that inspired the setting of the 1987 hit movie.
13,2022-08-20 09:25:39.107208,2022-08-19 22:13:40,Finland's prime minister takes a drug test after criticism over her partying,"Calls for Sanna Marin to take a drug test came after leaked videos showed her partying with friends. Marin has said she didn't consume any drugs, but took a test to ""clear up any doubts."""
14,2022-08-20 09:25:39.107208,2022-08-19 22:08:04,A Dragon Ball voice actor loses his appeal of his sexual harassment defamation suit,Vic Mignogna's defamation suit against two women who accused him of sexual misconduct has put a spotlight on sexual harassment in the Japanese animation industry.
