INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2022-05-30 13:40:30.620598,2022-05-30 17:38:48,College hoops star Justin Hardy dead after inspirational battle with stomach cancer,"Justin Hardy, who inspirationally played college basketball while battling stomach cancer, died Sunday at the age of 22, his family announced on social media."
1,2022-05-30 13:40:30.620598,2022-05-30 17:28:03,"Biden goes on anti-gun tirade, suggests there’s ‘no rational basis’ for 9mm pistols","Biden ranted against ownership of what he called ""high-caliber weapons"" while appearing to rule out the possibility of taking major executive action on guns."
2,2022-05-30 13:40:30.620598,2022-05-30 17:27:45,Gas prices hit record highs as Americans take to roads on Memorial Day,Record-high gas prices rudely greeted Americans during the Memorial Day weekend as the average cost of a gallon of fuel hit $4.62 nationwide.
3,2022-05-30 13:40:30.620598,2022-05-30 17:25:06,‘Amazin’ But True’ Podcast Episode 106: Mets find another unlikely hero,Jake Brown and Nelson Figueroa break down the latest on the Mets after they rallied to beat the Phillies.
4,2022-05-30 13:40:30.620598,2022-05-30 17:10:22,Camila Giorgi shares French Open message following dress drama,Camila Giorgi is grateful for her experience at the 2022 French Open.
5,2022-05-30 13:40:30.620598,2022-05-30 17:06:00,"Man, 65, killed when car involved in accident strikes him in Brooklyn: cops","A 65-year-old man was killed when a car involved in an accident slammed into him in Gravesend, Brooklyn on Memorial Day, cops said."
6,2022-05-30 13:40:30.620598,2022-05-30 17:05:59,"Warm, sunny skies dominate Memorial Day in tristate area: ‘Almost perfect’",Throngs of New Yorkers descended onto city beaches and parks to soak up the abundant Memorial Day sunshine – as the unofficial arrival of summer got off to a sizzling start.
7,2022-05-30 13:40:30.620598,2022-05-30 17:04:58,Fans find GIF that sparked Tommy Pham’s fantasy football slap of Joc Pederson,"After Pederson revealed to reporters Saturday an image of the GIF that he sent in a text message group chat for a fantasy football league last year poking fun at the 2021 San Diego Padres’ late-season collapse, Twitter sleuths found the video for all to see."
8,2022-05-30 13:40:30.620598,2022-05-30 16:41:31,Joe Biden honors fallen service members at Arlington Cemetery on Memorial Day,"The president called on Americans to remember the sacrifice of those who have given their lives in combat, saying, ""if we forget...then we forget who we are."""
9,2022-05-30 12:59:49.840672,2022-05-30 16:57:28,Romeo Miller reacts to sister Tytyana’s death: She’s ‘finally at peace’,"Romeo's father, Master P, announced his daughter had died after struggling with mental illness and addiction in his own post to social media on Sunday."
10,2022-05-30 12:59:49.840672,2022-05-30 16:50:35,"Kathy Hochul, Eric Adams commemorate Memorial Day at Intrepid in NYC","New York politicians -- including Mayor Adams and Gov. Hochul -- joined military officials to commemorate Memorial Day at the Intrepid Sea, Air and Space Museum."
11,2022-05-30 12:59:49.840672,2022-05-30 16:46:23,Sunburn blush is big with celebrities like Hailey Bieber and Addison Rae,"The summery, sun-kissed look has been making the rounds on TikTok in a big way, and plenty of stars are on board as well."
12,2022-05-30 12:59:49.840672,2022-05-30 16:41:32,French journalist Frédéric Leclerc-Imhof killed covering Ukraine war,"Frédéric Leclerc-Imhof, 32, was ""covering a humanitarian operation in an armored vehicle” when he was hit with shrapnel."
13,2022-05-30 12:59:49.840672,2022-05-30 16:34:58,"I have ten different personalities – they all have their own names, ages and opinions","Leonard Stockl has been diagnosed with Dissociate Identity Disorder (DID), a rare psychiatric condition that develops in early childhood and is a result of severe trauma."
14,2022-05-30 12:59:49.840672,2022-05-30 16:31:53,Caitlyn Jenner hangs with Kendall after Kourtney Kardashian wedding snub,"The ""I Am Cait"" alum, 72, and supermodel, 26, were photographed after they grabbed a bite to eat on Saturday at Lucky's restaurant in Malibu, where Caitlyn resides."
15,2022-05-30 12:59:49.840672,2022-05-30 16:30:00,Welcome to the ‘life-changing’ New Jersey golf range that’s helping save veterans,"For many of us, golf is a source of satisfaction and stress, but for some U.S. veterans, the game is saving their lives."
16,2022-05-30 12:59:49.840672,2022-05-30 16:27:39,Milky Way galaxy has four ‘malicious’ alien civilizations that could attack Earth: researcher,"There may be four extraterrestrial civilizations in the Milky Way that could attack our planet if humans continue sending messages, a researcher says."
17,2022-05-30 12:59:49.840672,2022-05-30 16:24:20,Celebrities hit the water over Memorial Day Weekend and more star snaps,"Bella Hadid, Addison Rae and Kristin Cavallari pose in bikinis and more star snaps ..."
18,2022-05-30 12:59:49.840672,2022-05-30 16:19:44,"I’m running nearly 25,000 miles around the world for charity","""I don't set out to beat any world record. I'm running with a message,"" he said of his trip, which is equivalent to the circumference of the Earth."
19,2022-05-30 12:19:09.097394,2022-05-30 16:17:07,"Searching for Yankees solutions as Joey Gallo, Aaron Hicks keep getting worse",Aaron Hicks and Joey Gallo are so much worse than the Yankees could have imagined. There's no easy fix with patience running short.
