INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2025-04-17 16:02:19.875782,2025-04-17 18:16:40,Can China Fight Deflation and Trump’s Tariffs at the Same Time?,China is facing a double whammy: corrosive deflation and tariffs that threaten to block trade. Chinese workers will be the biggest casualties.
1,2025-04-17 16:02:19.875782,2025-04-16 21:00:08,Powell Warns Trump Tariffs Could Trigger Higher Inflation and Slower Growth,Jerome H. Powell warned that President Trump’s tariffs could lead to a “challenging scenario” for the central bank.
2,2025-04-17 16:02:19.875782,2025-04-17 17:26:06,Maryland Mental Hospital With Painful History to Rebuild,The former Hospital for the Negro Insane of Maryland was once the state’s most crowded psychiatric institution. Pulling off a plan to redevelop it won’t be easy.
3,2025-04-17 16:02:19.875782,2025-04-17 19:08:06,Trump Administration Aims to Sell Housing Department Headquarters,The building has been added to a list of properties that the administration says it is trying to offload in order to eliminate waste.
4,2025-04-17 16:02:19.875782,2025-04-17 19:26:12,LVMH’s Chief Counted Trump as a Friend. He Still Faces Tariffs.,"The trade war has hurt the Louis Vuitton Moët Hennessy luxury empire. Bernard Arnault, head of the company, said a failure to strike a deal with President Trump would be “the fault of Brussels.”"
5,2025-04-17 16:02:19.875782,2025-04-17 18:44:22,"Meloni Meets With Trump, With Tariffs on the Agenda","Giorgia Meloni has come to the White House representing Italy, but in many ways on behalf of the rest of Europe."
6,2025-04-17 16:02:19.875782,2025-04-17 18:38:02,"Google Is Illegally Monopolizing Online Advertising Tech, Judge Rules",The judge ruled that Google monopolized the market for two of three sets of products. It was the second time in a year that a U.S. court found it had acted illegally to remain dominant.
7,2025-04-17 16:02:19.875782,2025-04-17 16:08:56,White House Eyes Overhaul of Federal Housing Aid to the Poor,The Trump administration has considered sharply curtailing vouchers as part of its budget for the 2026 fiscal year.
8,2025-04-17 16:02:19.875782,2025-04-17 15:54:16,LVMH Names Jonathan Anderson as Dior Men’s Artistic Director,"A one-sentence statement served as the notice that Mr. Anderson, who reimagined LVMH’s Loewe brand, would lead men’s wear design at Dior."
9,2025-04-17 16:02:19.875782,2025-04-17 14:00:06,IMF Warns Trump Tariffs Will Weaken Economy and Increase Inflation,"Kristalina Georgieva, the managing director of the International Monetary Fund, warned in a speech that protectionism erodes productivity."
