INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2023-01-29 10:47:30.572307,2023-01-29 15:13:21,"Time for ‘national conversation’ on policing, Durbin says",The Illinois senator spoke of a possible revival of legislation crafted after the death of George Floyd but never passed.
1,2023-01-29 10:47:30.572307,2023-01-29 14:31:58,Warner and Rubio together call for document oversight for national security,"“We are united in we have to find a way to do our job. That means we need these documents,” Sen. Mark Warner said."
2,2023-01-29 10:47:30.567331,2023-01-27 20:08:54,AOC in line to become her party's No. 2 on Oversight panel,She’s expected to play a larger role — as high as vice ranking member — given her close relationship with top committee Democrat Rep. Jamie Raskin.
3,2023-01-29 10:47:30.567331,2023-01-27 20:06:58,Campaign finance regulator asks Santos to clarify who's in charge of his political accounts,"Santos' campaign changed its treasurer in new filings this week, but a lawyer for the person listed said he wasn't actually involved."
4,2023-01-29 10:47:30.567331,2023-01-27 16:16:15,Eric Adams calls for Santos to step down,"“I believe it’s time for him to leave,” the New York mayor said."
5,2023-01-29 10:47:30.567331,2023-01-27 09:30:00,"‘I have no enemies, at least’: Where Santos really stands in the House GOP","During conversations with House Republicans, a picture emerged of someone more reserved among his colleagues than his recent spotlight-seeking suggests."
6,2023-01-29 10:47:30.567331,2023-01-27 09:30:00,"As Santos digs in, both parties ramp up campaign plans for his demise",The freshman fabricator is showing no signs of a departure that would trigger a special election. But his GOP and Democrats are preparing anyway.
7,2023-01-29 10:47:30.567331,2023-01-27 01:19:55,"Musk wishes McCarthy happy birthday, and talks Twitter too",It was apparently Musk’s first visit to the Capitol in the 118th Congress.
8,2023-01-29 10:47:30.567331,2023-01-26 18:32:20,Schumer asks FTC to investigate ‘JR-15’ rifle marketed to children,
9,2023-01-29 10:47:30.567331,2023-01-26 17:40:10,McConnell tears into Manchin on Senate floor for trying to cut EV tax credits,
10,2023-01-29 10:47:30.567331,2023-01-26 17:18:01,Dems urge Biden to ‘reverse course’ on Title 42,
11,2023-01-29 10:47:30.567331,2023-01-26 16:59:21,‘Revenge tour’: Jeffries slams McCarthy over threat to remove Omar from committee,
12,2023-01-29 10:47:30.567331,2023-01-26 15:23:39,"Sanders: GOP won’t ‘get away with’ cuts to Social Security, Medicare and Medicaid",
13,2023-01-29 10:47:30.567331,2023-01-26 09:30:00,Here is how Ruben Gallego believes he can win Arizona’s Senate seat,A three-way race creates some interesting strategic questions. The newly announced candidate answers them here.
14,2023-01-29 10:47:30.567331,2023-01-26 09:30:00,Veterans of the Obama-era debt ceiling standoff on the current one: We may be doomed,"Financial experts and political operatives experiencing debt ceiling déjà vu fear this time around, the ending could be catastrophic."
15,2023-01-29 10:47:30.567331,2023-01-25 23:29:24,Cotton vows to block Biden nominees over classified documents flap,The Arkansas GOP senator emerged from a briefing with Biden officials and accused the administration of “stonewalling” Congress over material found at the president's home.
16,2023-01-29 10:47:30.567331,2023-01-25 22:11:22,Rep. Auchincloss reads AI-generated speech on House floor,
17,2023-01-29 10:47:30.567331,2023-01-25 21:13:15,"Rand Paul eyes cuts to military, welfare spending ahead of debt limit talks",
18,2023-01-29 10:47:30.567331,2023-01-25 19:29:08,Omar: Policy differences are not cause for committee removal,
19,2023-01-29 10:47:30.567331,2023-01-25 16:28:06,"McCarthy broaches Santos, Omar and other panel dramas in closed-door meeting","Asked whether he believed he had the speaker’s support after the GOP conference meeting on Wednesday, the headline-grabbing New York Republican evaded the question."
20,2023-01-29 10:47:30.567331,2023-01-25 16:07:33,"Scalise: House will investigate Covid origin, nursing home deaths",
21,2023-01-29 10:47:30.567331,2023-01-25 15:38:06,McCarthy ‘standing by’ Santos amid Ethics investigation,
22,2023-01-29 10:47:30.567331,2023-01-25 14:23:04,'Political vengeance': Swalwell responds after McCarthy ousts him from committee,
23,2023-01-29 10:47:30.567331,2023-01-25 09:30:00,Why the Senate GOP's McDaniel for RNC caucus is surprisingly small,"Many Republican senators no longer see the RNC as a critical power player, and couldn't even say when the upcoming election for chair would take place."
24,2023-01-29 10:47:30.567331,2023-01-25 02:20:23,Dems mobilize to defend Omar in face of GOP defections,"McCarthy plans to hold a House vote to remove her from the Foreign Affairs panel, but it’s unclear that he’ll have enough support in his conference."
25,2023-01-29 10:47:30.567331,2023-01-25 02:00:25,McCarthy taps GOP members to investigate Covid policies,"The panel, which will include Rep. Marjorie Taylor Greene, is expected to investigate the origins of the virus and pandemic restrictions."
26,2023-01-29 10:47:30.567331,2023-01-25 01:29:07,McCarthy names GOP members to run sweeping investigative panel,"As expected, Rep. Jim Jordan will run the subcommittee. It will also include a handful of the speaker's allies and two of his detractors."
27,2023-01-29 10:47:30.567331,2023-01-25 00:26:29,Ticketmaster takes hot seat over antitrust scrutiny at Senate hearing,
28,2023-01-29 10:47:30.567331,2023-01-24 22:40:24,New GOP senator irks colleagues with Judiciary committee push,"First-term Missouri Sen. Eric Schmitt wants a spot on the coveted panel, and is even calling his colleagues asking if they'll step aside."
29,2023-01-29 10:47:30.567331,2023-01-24 18:32:38,"Sen. Cornyn: Debt ceiling debate is between Biden and House GOPs, not Senate",
