INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2023-10-14 03:39:55.238288,2023-10-13 09:00:00,UAW promises more pain for Big Three: 'We're not messing around',The new strategy UAW President Shawn Fain announced Friday signaled the strike could start having broader implications for the economy.
1,2023-10-14 03:39:55.230562,2023-10-06 17:33:20,Biden dodges on why Americans are still unhappy with the economy,
2,2023-10-14 03:39:55.230562,2023-09-29 09:00:00,Dems pressure White House to change economic message,Democrats are loving the Biden economy. They're less certain about his economic message.
3,2023-10-14 03:39:55.230562,2023-09-20 19:18:50,Fed holds interest rates steady for second time this year,
4,2023-10-14 03:39:55.230562,2023-09-19 20:03:26,Heidi Shierholz raises concern over AI and power imbalance in labor,
5,2023-10-14 03:39:55.230562,2023-09-15 11:38:22,"Major business group, GOP blames Biden for UAW strike","The United Auto Workers announced a strike at three plants — one each at Ford, General Motors and Stellantis — overnight."
6,2023-10-14 03:39:55.230562,2023-09-09 11:00:00,What an unprecedented Biden ad blitz says about his reelection fight,A super PAC affiliate is spending $13 million far ahead of the normal advertising timeline.
7,2023-10-14 03:39:55.230562,2023-09-04 17:44:09,Biden is selling an economy on the rise. Voters aren't buying it so far.,"The president leaned into his achievements at a Labor Day event in Philadelphia, but a new poll reflects widespread disapproval."
8,2023-10-14 03:39:55.230562,2023-09-03 13:38:59,Gina Raimondo says she complained to Chinese officials about being hacked,"“It's a complicated relationship,"" she said of the U.S. and China."
9,2023-10-14 03:39:55.230562,2023-09-01 12:59:29,"U.S. employers added a solid 187,000 jobs in August in sign of a still-resilient labor market","The unemployment rate rose from 3.5 percent to 3.8 percent, the highest level since February 2022 though still low by historical standards."
10,2023-10-14 03:39:55.230562,2023-08-31 16:21:37,A looming child care funding crisis threatens Biden’s economic recovery,About 3 million children could lose child care after funding expires at the end of next month.
11,2023-10-14 03:39:55.230562,2023-08-18 08:30:00,'Pathetic': Voters of color slam Biden's performance on the economy,"“Our economy is the lowest it's been."""
12,2023-10-14 03:39:55.230562,2023-08-17 15:00:04,"Biden’s approval rating for the economy remains at about a third, poll finds","The Biden administration has hit hard the president’s economic policy, known as “Bidenomics,” amid falling inflation, steady job growth and diminished talk of a forthcoming recession."
