INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2022-01-03 11:20:04.526664,2022-01-03 11:20:00,Sturgeon cancels Hogmanay events,
1,2022-01-03 11:20:04.526664,2022-01-03 11:20:00,Cameron: 'PM shouldn't bypass the media',
2,2022-01-03 11:20:04.526664,2022-01-03 11:20:00,'Balance right' on COVID restrictions,
3,2022-01-03 11:20:04.526664,2022-01-03 11:20:00,"No further restrictions in England before Christmas, Boris Johnson says",
4,2022-01-03 11:20:04.526664,2022-01-03 11:20:00,Police watchdog will not investigate complaint over Met's handling of Downing Street 'Christmas party',
5,2022-01-03 11:20:04.526664,2022-01-03 11:20:00,Review of the political year,
6,2022-01-03 11:20:04.526664,2022-01-03 11:20:00,Christmas potentially saved for thousands as self-isolation cut for those who have negative tests,
7,2022-01-03 11:20:04.526664,2022-01-03 11:20:00,Cameron on Johnson: 'He's always been able to get away with things that mere mortals can't',
8,2022-01-03 11:20:04.526664,2022-01-03 11:20:00,PM and Starmer issue solemn Christmas messages in nod to COVID sorrow,
9,2022-01-03 11:20:04.526664,2022-01-03 11:20:00,Govt will 'look at data available' on Monday to make post-Christmas restrictions decision - UKHSA boss,
