INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2022-09-27 17:23:20.823193,2022-09-27 11:00:00,"Boy, three, dies after aunt 'pushed him into lake and watched as he sank'",
1,2022-09-27 17:23:20.823193,2022-09-27 11:00:00,Gangster 'hacked to death in revenge for birthday party attack',
2,2022-09-27 17:23:20.823193,2022-09-27 11:00:00,The story behind Napalm Girl - 50 years on,
3,2022-09-27 17:23:20.823193,2022-09-27 11:00:00,"'This is a Labour moment', Starmer declares; action taken against MP over 'vile' chancellor comment | Politics latest",
4,2022-09-27 17:23:20.823193,2022-09-27 11:00:00,Bank of England 'will not hesitate to change interest rates as necessary' after pound's fall,
5,2022-09-27 17:23:20.823193,2022-09-27 11:00:00,Mortgage repayments could rise 50% under current forecast | Cost of living latest,
6,2022-09-27 17:23:20.823193,2022-09-27 11:00:00,Tom Daley's husband reveals he suffered 'serious head injury',
7,2022-09-27 17:23:20.823193,2022-09-27 11:00:00,"'Embarrassment' Putin 'could be ousted by ultra-nationalists'; 98,000 fleeing Russians arrive in Kazakhstan | Ukraine latest",
8,2022-09-27 17:23:20.823193,2022-09-27 11:00:00,The good news is the pound has rallied. The bad news is why | Ed Conway,
9,2022-09-27 17:23:20.815612,2022-09-27 17:23:00,Protests break out in Iran after 22-year-old woman dies following morality police arrest,
