INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2022-05-26 09:22:02.286550,2022-05-26 08:35:00,LaLiga criticises 'scandalous' deal to make Kylian Mbappe world's highest paid footballer,
1,2022-05-26 09:22:02.286550,2022-05-26 08:35:00,"Monkeypox is a 'concern for everybody', Biden warns - as country reports its first case",
2,2022-05-26 09:22:02.286550,2022-05-26 08:35:00,Johnny Depp v Amber Heard: Kate Moss and other key moments from the latest evidence in court,
3,2022-05-26 09:22:02.286550,2022-05-26 08:35:00,Inside a city torn apart by war - where even those who live together are turning against one another,
4,2022-05-26 09:22:02.286550,2022-05-26 08:35:00,Russians have turned to a deadly tactic to advance in the Donbas and the intensity is merciless,
5,2022-05-26 09:22:02.286550,2022-05-26 08:35:00,Sunak goes further than expected; Martin Lewis response; every measure announced listed | Cost of living latest,
6,2022-05-26 09:22:02.286550,2022-05-26 08:35:00,Putin's obsession: Why Russia's leader is so fixated on taking Ukraine&nbsp;,
7,2022-05-26 09:22:02.286550,2022-05-26 08:35:00,Texas gunman had 'domestic disturbance' before shooting - what we know so far,
8,2022-05-26 09:22:02.286550,2022-05-26 08:35:00,Russia 'may target Slovakia next'; Putin's 'elite' airborne forces involved in 'several tactical failures'; 150 bodies put in mass grave | Ukraine live,
9,2022-05-26 09:22:02.286550,2022-05-26 08:35:00,Millions to get £400 discount off their energy bills as Sunak reveals further cost of living help | Politics live,
