INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2022-09-28 17:07:03.196016,2022-09-28 14:00:00,The Great Senate Stalemate,"The map of competitive Senate elections is shrinking—and not just for November.
Though Republicans began the year expecting sweeping "
1,2022-09-23 17:00:57.745649,2022-09-23 00:00:00,What Does the Philadelphia D.A. Do Now?,Larry Krasner has been at the forefront of the progressive-prosecutor movement since becoming Philadelphia’s district attorney in 2017. 
2,2022-09-21 16:58:32.589602,2022-09-28 17:07:00,The Honey Badger Don’t Care—But I Do,A few questions come to mind now that Steve Bannon is back in the news. After surrendering to New York authorities earlier this month to 
3,2022-09-20 16:58:17.252037,2022-09-28 17:07:00,John Roberts’s Decades-Long Quest to Dismantle the Voting Rights Act,"The Supreme Court delivered appalling decisions in June—on abortion, guns, and environmental regulation—but the conservative "
4,2022-09-18 15:10:42.866834,2022-09-28 17:07:00,Has Trumpism Run Out of Steam?,"JAY, Maine—Services at the New Life Baptist Church had just wrapped up, and in the parking lot outside its tiny chapel, Paul LePage was "
5,2022-09-15 15:08:10.249500,2022-09-28 17:07:00,The Abortion vs. Inflation Election,"The two major factors shaping the 2022 midterm elections collided in tumultuous fashion on Tuesday morning.
First came the government report"
6,2022-09-09 15:06:13.476225,2022-09-28 17:07:00,What the Student-Loan Debate Overlooks,A core conservative critique of President Joe Biden’s executive action on student-debt forgiveness is that the plan requires blue-collar 
7,2022-09-06 15:05:15.316414,2022-09-28 17:07:00,The Val Demings Gamble,"On a hot D.C. Wednesday in the middle of July, an 11-foot statue honoring Mary McLeod Bethune—carved out of marble extracted from the same"
8,2022-09-04 15:00:27.486177,2022-09-28 17:07:00,Fear and Loathing in Pennsylvania,"WILKES-BARRE, Pa.—Donald Trump’s rally on Saturday night was his first major public appearance since the FBI searched his Florida home"
9,2022-09-02 20:54:29.619945,2022-09-28 17:07:00,How Abortion Will Affect the California Midterms,"CERRITOS, Calif.—Abortion rights dominated the message when the Democratic congressional candidate Jay Chen sent off a small group who had"
