INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2022-05-29 15:05:37.819535,2022-05-27 00:00:00,The Crypto Crash Feels Amazing,It could have been me. I’m glad it wasn’t me
1,2022-05-29 15:05:37.819535,2022-05-27 00:00:00,The Viral Online Challenge Is Never Coming Back,We used to come together on social media. Now we come apart
2,2022-05-29 15:05:37.819535,2022-05-27 00:00:00,How to Fix Twitter—And All of Social Media,The online-speech debate pretends that we must choose between absolute freedom and centralized control. Let’s try something else
3,2022-05-29 15:05:37.811379,2022-05-29 15:05:00,Steelmaking Cannot Go On This Way,Roughly a tenth of global carbon emissions comes from the steel industry. Doing something about that is easier said than done
4,2022-05-29 15:05:37.811379,2022-05-29 15:05:00,Why the Internet Hates Amber Heard,Notes on the paranoid style in online fandom
5,2022-05-29 15:05:37.811379,2022-05-29 15:05:00,Why Hunter Biden’s Laptop Will Never Go Away,Could anything that happens with this laptop bring us closure?&nbsp;&nbsp;
6,2022-05-29 15:05:37.811379,2022-05-29 15:05:00,Shadowbanning Is Big Tech’s Big Problem,"Social-media companies deny quietly suppressing content, but many users still believe it happens. The result is a lack of trust in the "
7,2022-05-29 15:05:37.811379,2022-05-29 15:05:00,The Truth About Slushies Must Come Out,Every slushie is different. Every slushie is the same
8,2022-05-29 15:05:37.811379,2022-05-29 15:05:00,Please Ignore My Last 577 Tweets,The internet has become strangely nostalgic for life in the Middle Ages
9,2022-05-29 15:05:37.811379,2022-05-29 15:05:00,What Did Medieval Peasants Know?,The internet has become strangely nostalgic for life in the Middle Ages
