INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2023-01-29 10:47:55.260445,2023-01-29 11:00:00,"Week In Review: January 29, 2023",
1,2023-01-29 10:47:55.256047,2023-01-27 20:35:00,Zelensky Calls On U.S. To Send Totally Psycho Marine,
2,2023-01-29 10:47:55.256047,2023-01-27 20:35:00,Onion Sports’ NFL Conference Championships Picks,
3,2023-01-29 10:47:55.256047,2023-01-27 20:30:00,Onion Sports’ NFL Conference Championships Picks,
4,2023-01-29 10:47:55.256047,2023-01-27 20:05:00,"Facebook, Instagram End Trump’s Suspension From Platforms",
5,2023-01-29 10:47:55.256047,2023-01-27 20:00:00,Drop Box Outside National Archives Allows Ex-Presidents To Anonymously Return Classified Documents,
6,2023-01-29 10:47:55.256047,2023-01-27 17:13:00,Dog That Only Barks At Black People Named New RNC Chair,
7,2023-01-29 10:47:55.256047,2023-01-27 16:40:00,U.S. Officials Announce Plans To Continue Pretending Brutal State-Sponsored Violence Not Supposed To Happen,
8,2023-01-29 10:47:55.256047,2023-01-27 12:00:00,Dolphin Trained To Kill By U.S. Military In ’60s Now Lying Destitute In Street,
9,2023-01-29 10:47:55.256047,2023-01-27 11:45:00,Brain Surgeon Holds Little Mirror Behind Patient’s Head So She Can See How It Looking So Far,
10,2023-01-29 10:47:55.256047,2023-01-27 11:30:00,Conservatives Explain Why They Oppose An AP African American History Course,
11,2023-01-29 10:47:55.256047,2023-01-27 11:15:00,Anti-Racist Reading List Quietly Deleted From Notes App,
12,2023-01-29 10:47:55.256047,2023-01-27 11:00:00,Expectant Couple Hoping For Human Baby,
13,2023-01-29 10:47:55.256047,2023-01-26 21:32:00,Justin Bieber Sells Rights To Music Catalog For $200 Million,
14,2023-01-29 10:47:55.256047,2023-01-26 20:00:00,Trump Returns To Facebook After 2 Years To Find Everyone Engaged And Having Babies,
15,2023-01-29 10:47:55.256047,2023-01-26 19:55:00,Police Urge Calm In Light Of Unspeakable Evil They Committed,
16,2023-01-29 10:47:55.256047,2023-01-26 19:45:00,Dianne Feinstein Receives Primary Challenge From Buzzard Currently Circling Her,
17,2023-01-29 10:47:55.256047,2023-01-26 19:30:00,Pope Francis Declares Nothing Wrong With Guy Giving Buddy Tug Job After Few Drinks,
18,2023-01-29 10:47:55.256047,2023-01-26 16:30:00,Man Doing ‘Dry January’ Feels Like He’s Been Abusing Family Way Less,
19,2023-01-29 10:47:55.256047,2023-01-26 16:19:43,"Uh Oh, You’ve Encountered The TikTok Bad Boys Gang",
20,2023-01-29 10:47:55.256047,2023-01-26 15:24:00,"Trump, Biden, Pence, Probably Fucking Dan Quayle At This Point, And Classified Documents: What You Need To Know",
21,2023-01-29 10:47:55.256047,2023-01-26 12:15:00,Man Buys Slice Of Honey-Roasted Ham For Attractive Woman At Other End Of Deli Counter,
22,2023-01-29 10:47:55.256047,2023-01-26 12:00:00,"Water From Splash Mountain Selling For Up To $1,000 On eBay After Ride Closes",
23,2023-01-29 10:47:55.256047,2023-01-26 11:45:00,Our Annual Parenting Edition: How Much Wine Is Too Much Wine For Your Infant And Other Questions Answered,
24,2023-01-29 10:47:55.256047,2023-01-26 11:30:00,Things To Never Google After You Commit A Crime,
25,2023-01-29 10:47:55.256047,2023-01-26 11:15:00,Overhauled Foster Care System Now Drops Off Children In Dark Alley,
26,2023-01-29 10:47:55.256047,2023-01-26 11:00:00,Biden Impregnates Popular Musician In Effort To Boost Approval Numbers,
27,2023-01-29 10:47:55.256047,2023-01-25 21:28:00,Doomsday Clock Moves 10 Seconds Closer To Midnight,
28,2023-01-29 10:47:55.256047,2023-01-25 18:45:00,Google Employees React To Company Layoffs,
29,2023-01-29 10:47:55.256047,2023-01-25 16:59:42,"Nation’s 56,000 Acres Of Spinach Crops Cooked Down To Single Half-Cup Serving",
