INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2022-12-13 18:51:49.866243,2022-12-13 23:26:06,Title 42 ending: DHS chief says White House exploring 'host' of solutions to prevent border crisis,"Homeland Security Secretary Alejandro Mayorkas visited El Paso and said the Biden administration is working with Mexico as Title 42 is set to end<div class=""fbz_enclosure"" style=""clear: left;"">"
1,2022-12-13 18:51:49.866243,2022-12-13 23:07:05,Biden signs same-sex marriage bill into law,"President Joe Biden signed the Respect for Marriage Act into law Tuesday before a crowd of thousands on the White House South Lawn in a jubilant ceremony that reflected the growing acceptance of same-sex unions. (Dec. 13)<div style=""clear: both; padding-top: 0.2em;"">"
2,2022-12-13 18:51:49.866243,2022-12-13 23:01:29,Witness who helped convict man: Case haunts him,"A witness whose testimony helped send a man to prison for a killing decades ago has testified his role in the case of Lamar Johnson haunts him. (Dec. 13)<div style=""clear: both; padding-top: 0.2em;"">"
3,2022-12-13 18:51:49.866243,2022-12-13 22:46:13,AP Top Stories December 13 P,"Here's the latest for Tuesday, December 13: Cryptocurrency CEO arrested; Energy Sec. announces major breakthrough in the quest to harness fusion; A massive fire breaks out in NY; Panda predicts Argentina will win semi-final World Cup match<div style=""clear: both; padding-top: 0.2em;"">"
4,2022-12-13 18:51:49.866243,2022-12-13 22:41:11,Two active Hawaii volcanoes have stopped erupting,"U.S. scientists on Tuesday declared two active Hawaii volcanoes — one where lava destroyed hundreds of homes in 2018 and another where lava recently stalled before reaching a crucial Big Island highway — have stopped erupting. (Dec. 13)<div style=""clear: both; padding-top: 0.2em;"">"
5,2022-12-13 17:39:49.202598,2022-12-13 23:12:31,"5 injured in Texas, blizzard warnings in 6 states as massive winter storm rocks nation","A massive winter storm roaring across the West prompted blizzard warnings in six states and fueled concerns of possibly severe tornadoes in the South.<div class=""fbz_enclosure"" style=""clear: left;"">"
6,2022-12-13 17:39:49.202598,2019-01-04 17:56:23,Know what's up before you finish your cup. Sign up to get the Daily Briefing.,"Sign up for USA TODAY's Daily Briefing<div class=""fbz_enclosure"" style=""clear: left;"">"
7,2022-12-13 16:27:48.495647,2022-12-13 22:35:06,"Scientists achieve major advance in fusion energy that could provide clean, carbon-free power","The fusion breakthrough could mean carbon-free power, but not soon. And it's not going to be like 'Mr. Fusion' from 'Back to the Future II.'<div class=""fbz_enclosure"" style=""clear: left;"">"
8,2022-12-13 16:27:48.495647,2022-12-13 22:07:20,"'We feel more secure': As Respect for Marriage Act passes, same-sex couples share tentative enthusiasm","For some same-sex couples, the law is a bright spot at a time of rising anti-LGBTQ rhetoric and legislation.<div class=""fbz_enclosure"" style=""clear: left;"">"
9,2022-12-13 16:27:48.495647,2022-12-13 21:57:32,"Toilet study shows what goes where, and how high, after you flush","Engineers from the University of Colorado Boulder used laser lights to see just what happens when you flush a public toilet.<div class=""fbz_enclosure"" style=""clear: left;"">"
10,2022-12-13 16:27:48.495647,2022-12-13 21:26:48,New FTX CEO: It was 'old-fashioned embezzlement',"The new CEO of the crypto exchange FTX appeared before a House committee detailing the lack of oversight and financial controls at the company. (Dec. 13)<div style=""clear: both; padding-top: 0.2em;"">"
11,2022-12-13 16:27:48.495647,2022-12-13 21:22:28,The biggest meteor shower of 2022 is here: How to watch the Geminids meteor shower peak,"Tonight's Geminids meteor shower will dazzle the December sky with bright and intensely colored meteors travelling at 78,000 miles per hour.<div class=""fbz_enclosure"" style=""clear: left;"">"
12,2022-12-13 16:27:48.495647,2022-12-13 21:21:23,FTX's Bankman-Fried charged with scheme to defraud,"The U.S. government charged Samuel Bankman-Fried, the founder and former CEO of cryptocurrency exchange FTX, with a host of financial crimes on Tuesday, alleging he intentionally deceived customers and investors to enrich himself and others. (Dec. 13) (AP video by Ted Shaffrey)<div style=""clear: both; padding-top: 0.2em;"">"
13,2022-12-13 16:27:48.495647,2022-12-13 21:11:20,"Fort Lauderdale basks in winter, hosts boat parade","Fort Lauderdale, sometimes referred to as the ""Venice of America,"" hosted the annual Winterfest boat parade amid balmy December temperatures (Dec. 13)(AP Video: Daniel Kozin)<div style=""clear: both; padding-top: 0.2em;"">"
14,2022-12-13 15:15:47.780642,2022-12-13 13:27:42,The day in pictures,"A look at the day's best photographs from around the world.<div class=""fbz_enclosure"" style=""clear: left;"">"
15,2022-12-13 15:15:47.780642,2022-12-13 20:56:49,The AP Interview: Hutchinson on the GOP's future,"Arkansas Gov. Asa Hutchinson told The Associated Press in an interview that he thinks the midterm elections showed the need for new voices and that he's measuring how much financial support he'd have for mounting a presidential bid. (Dec. 13)(AP video: Dan Huff and Mike Pesoli)<div style=""clear: both; padding-top: 0.2em;"">"
16,2022-12-13 13:39:54.854794,2022-12-13 20:46:15,Researchers announce fusion milestone,"Scientists announced Tuesday that they have for the first time produced more energy in a fusion reaction than was used to ignite it — a major breakthrough in the decades-long quest to harness the process that powers the sun. (Dec. 13)<div style=""clear: both; padding-top: 0.2em;"">"
17,2022-12-13 13:39:54.854794,2022-12-13 19:51:57,US pressured to deliver at African leaders summit,"President Joe Biden hosts dozens of African leaders in a 3 day summit this week in Washington, as he looks to narrow a gaping trust gap with Africa — one that has grown wider over years of frustration about America's commitment to the continent. (Dec. 13)<div style=""clear: both; padding-top: 0.2em;"">"
18,2022-12-13 12:21:16.911615,2022-12-13 18:36:46,Biden hails inflation report as 'welcome news',"President Joe Biden hailed the latest government data showing that inflation in the United States slowed again last month, saying that while there is still more work to do, it's yet another indicator that his economic policies are working. (Dec. 13)<div style=""clear: both; padding-top: 0.2em;"">"
19,2022-12-13 11:01:50.548559,2022-12-13 18:24:12,"Asylum seekers, migrants cross en masse at Texas-Mexico border as Title 42 nears end","Hundreds of migrants huddled Sunday in hopes of seeking asylum in the U.S. It was one of the largest mass crossings this border has seen in decades.<div class=""fbz_enclosure"" style=""clear: left;"">"
20,2022-12-13 11:01:50.548559,2022-12-13 21:58:57,What happens when you flush a public toilet? See the invisible plume of germs in a whole new light,"Engineers used laser lights to illuminate  particles invisible to the naked eye that spread after a public restroom toilet is flushed.<div class=""fbz_enclosure"" style=""clear: left;"">"
21,2022-12-13 11:01:50.548559,2022-12-13 17:52:44,Bald eagle shot in Wisconsin dies days later; authorities seek information,"The bird was found Wednesday with broken wing and beak. It died just under a week later, the Wisconsin Humane Society announced Tuesday morning.<div class=""fbz_enclosure"" style=""clear: left;"">"
22,2022-12-13 11:01:50.548559,2022-12-13 16:05:57,Mars rover captures 1st ever sound of dust devil,"NASA's Perseverance rover had its microphone on when a whirling tower of red dust passed directly overhead. It captured rumbling gusts of up to 25 mph and the pinging of hundreds of dust particles. (Dec. 13)<div style=""clear: both; padding-top: 0.2em;"">"
