DATE,TITLE,SUMMARY
2021-07-30 13:17:39,Key inflation indicator up 3.5% year over year in June for fastest gain since 1991,"An inflation indicator that the Fed uses as its key guide rose 3.5% in June, a sharp acceleration that was nonetheless right around expectations."
2021-07-29 14:16:20,"U.S. GDP rose 6.5% last quarter, well below expectations","While the GDP gain would have been strong prior to the pandemic, it was considerably less than the 8.4% Dow Jones estimate."
2021-07-30 18:13:55,Pending home sales drop in June — more evidence of a housing turnaround,"After rising in May, signed contracts on existing homes fell in June due to sky-high prices."
2021-07-29 00:42:04,"Fed holds rates near zero, says economy has gotten better even with pandemic worries",The Federal Reserve on Wednesday held its benchmark interest rate near zero and said the economy continues to progress despite concerns over the pandemic spread.
2021-07-28 11:02:11,"Mortgage rates just dropped to a six-month low, and refinances shoot higher","Applications to refinance a home loan jumped 9% last week from the previous week, according to the Mortgage Bankers Association."
2021-07-26 18:08:51,The rapid growth the U.S. economy has seen is about to hit a wall,"The U.S. economy is expected to post another roaring growth spurt in the second quarter, before a slow and steady dose of reality starts to sink in."
2021-07-27 18:03:30,The Fed could sound more worried about the virus and less ready to tighten policy,"When the Fed emerges from its July meeting on Wednesday, it may sound a bit more dovish than expected just a few weeks ago."
2021-07-27 13:23:12,"Home prices broke records in May, according to S&P Case-Shiller","Home prices were 16.6% higher than in May 2020, the highest reading in the S&amp;P CoreLogic Case-Shiller report's 30-plus years."
2021-07-28 06:49:51,IMF warns that inflation could prove to be persistent and central banks may need to act,"For the most part, the Washington-based institution sees these price pressures as transitory. However, it warned that ""uncertainty remains high."""
2021-07-27 00:31:10,Housing boom is over as new home sales fall to pandemic low,"After a year of frenzied buying and price gains in the double digits, newly built homes are now out of reach for much of the demand that remains in the market."
2021-07-23 21:12:43,Yellen urges Congress to raise or suspend the debt limit by Aug. 2,"Treasury Secretary Yellen warned her department will start ""extraordinary measures"" on Aug. 2 if lawmakers don't raise the debt ceiling."
2021-07-22 16:56:45,"U.S. jobless claims show surprise gain, well above expectations","Weekly jobless claims totaled 419,000 for the week ended July 17, above the 350,000 estimate."
2021-08-16 11:20:53,There's growing support within the Fed to announce the tapering of bond purchases in September,Interviews with officials along with their public comments show growing support for a faster taper timeline than markets had expected a month ago.
2021-08-13 19:41:24,"Consumer sentiment measure falls to pandemic-era low, sees one of largest drops on record",The University of Michigan consumer sentiment index dropped more than 13% in its preliminary August reading.
2021-08-12 13:28:57,"U.S. jobless claims total 375,000, falling for a third straight week","Jobless claims numbers have come down sharply since the spring as the economy has recovered, and they have settled near the 400,000 level in recent weeks."
2021-08-11 18:13:19,"Fed should announce bond taper in September, begin it in October, says Dallas Fed President Kaplan",Dallas Fed President Robert Kaplan said that the central bank should begin to taper its monthly purchases of Treasury bonds in October.
2021-08-11 18:13:40,"July consumer prices jump 5.4%, but core inflation rises less than expected","Prices that Americans pay for everyday goods and services accelerated in July, but about where economists had expected."
2021-08-09 17:18:34,"Job openings surge above 10 million for first time ever, Labor Department says","The jump came as the quits increased while the layoffs and discharges rate was unchanged, reflecting increased bargaining power for workers."
2021-08-06 20:23:57,"Biden skips victory lap after strong July jobs report, warns of economic peril from rising Covid cases","President Joe Biden said the strong July jobs numbers were no cause for celebration, because rising Covid cases pose an urgent threat."
2021-08-06 14:18:02,Here's where the jobs are — in one chart,"The hiring blitz at bars, restaurants and hotels continued in July and led the U.S. to yet another robust month of employment gains."
2021-08-06 16:22:50,Unemployment rate falls for every group but is higher for Black and Hispanic workers,"Black and Hispanic unemployment dropped in the July jobs report, but the figures are high compared with the jobless rate for whites and Asians."
2021-08-06 17:12:57,July’s strong jobs report could prepare the Federal Reserve to dial back its bond-buying program,"The latest jobs report from the Labor Department reflects progress, which could put the central bank on track to dial back its bond purchases."
