DATE,TITLE,SUMMARY
2022-12-13 15:19:55,CFTC piles on with new charges against Bankman-Fried,"The Commodity Futures Trading Commission has unveiled new charges against Sam Bankman-Fried, alleging that FTX commingled customer funds and that Bankman-Fried violated the Commodities Exchange Act."
2022-12-13 18:18:25,"Stocks making the biggest moves midday: Moderna, First Solar, Pinterest, Norwegian Cruise Line and more",These are the stocks posting the largest moves in midday trading.
2022-12-13 21:59:18,"CFTC piles on with new charges against Bankman-Fried, FTX and Alameda",The Commodity Futures Trading Commission alleged that FTX commingled customer funds and that ex-CEO Sam Bankman-Fried violated the Commodities Exchange Act.
2022-12-14 14:57:30,Photos show disgraced FTX founder Sam Bankman-Fried cuffed in Bahamas on his way to jail,Sam Bankman-Fried was photographed handcuffed Tuesday night after a judge denied him bail and remanded him to Bahamas' Fox Hill jail until Feb. 2023.
2022-12-14 13:40:57,Bank of England seen hiking by a half-point as inflation shows signs of peaking,"The Bank of England faces the unenviable task of navigating a slowing economy, sky-high inflation and an extremely tight labor market."
2022-12-14 12:52:28,"Stocks making the biggest moves premarket: Delta, Tesla, Moderna and others",These are the stocks posting the largest moves before the bell.
2022-12-14 20:12:35,The Fed projects raising rates as high as 5.1% before ending inflation battle,The Federal Reserve expects it will hike interest rates as high as 5.1% in 2023 before the central bank ends its fight against runaway inflation.
2022-12-14 19:04:23,Here's what changed in the new Fed statement,This is a comparison of Wednesday's Federal Open Market Committee statement with the one issued after the Fed's previous policymaking meeting on Nov. 2.
2022-12-14 20:51:28,Fed raises interest rates half a point to highest level in 15 years,"The Federal Reserve raised its benchmark interest rate to the highest level in 15 years, indicating the fight against inflation is not over yet."
2022-12-14 20:27:59,"New FTX CEO is getting paid $1,300 an hour, and customers will foot the bill","Overall, Ray and his three-person team are taking home $4,225 an hour."
2022-12-14 18:27:25,"Health insurance is helping cool inflation. But 'it's not a very good reflection' of what people pay, cautions economist","Health insurance prices deflated the last two months, per the consumer price index, and are poised to fall more. That may not reflect what consumers pay."
2022-12-14 19:45:36,"Stocks making the biggest moves midday: SoFi Technologies, Charter Communications, Delta and more",These are the stocks posting the largest moves midday.
2022-12-15 02:56:38,Elon Musk sells another huge chunk of Tesla shares,The transactions took place between Monday and Wednesday this week according to the filings with the Securities and Exchange Commission.
2022-12-15 08:35:39,Swiss central bank hikes interest rates by 50 basis points to counter 'further spread of inflation',"The Swiss National Bank has increased its benchmark interest rate for the third time this year, taking it to 1%."
2022-12-15 08:25:09,Recession fears could trigger a 'lipstick' effect on deal activity next year,Global deal volume and size decreased this year amid macro headwinds. Recession fears could see buyers increasingly focus on smaller deals.
2022-12-15 13:49:23,Watch live: ECB President Christine Lagarde speaks after rate decision,European Central Bank President Christine Lagarde is giving a press conference following the bank's latest monetary policy decision.
2022-12-15 12:46:08,"Stocks making the biggest moves premarket: Tesla, Warner Bros. Discovery, Lennar and more",These are the stocks posting the largest moves before the bell.
2022-12-15 13:44:08,Swiss central bank lifts interest rates by 50 basis points to counter 'further spread of inflation',"The Swiss National Bank has increased its benchmark interest rate for the third time this year, taking it to 1%."
2022-12-15 18:43:53,"Long Covid medical costs average $9,500 in first six months, as patients become 'health-system wanderers'","Long-haul symptoms of Covid-19 can be expensive for the average person to have diagnosed and treated, according to a new study by Nomi Health."
2022-12-15 17:57:37,"Stocks making the biggest moves midday: Netflix, Snap, Warner Bros. Discovery, AT&T, Novavax and more",These are the stocks posting the largest moves in midday trading.
2022-12-15 17:57:27,Binance CEO Zhao brushes off $2.1 billion FTX clawback concerns,"Binance CEO Changpeng ""CZ"" Zhao brushed off questions about whether the exchange would be able to handle a potential $2.1 billion clawback of FTX funds."
2022-12-16 01:04:33,China’s sudden ‘reopening’ reveals new challenges as infections soar,"Mainland China's swift rollback of many Covid-related restrictions has been unexpectedly sudden, revealing a new set of economic challenges."
2022-12-16 11:46:48,Neobanks battle to lure UK savers with juicy yields as interest rates rocket to a 14-year high,Online banks in the U.K. are bumping up the yields on their savings accounts after the Bank of England increased interest rates for the ninth time in a year.
2022-12-16 18:08:45,"Stocks making the biggest moves midday: Meta, Maxar Technologies, Ford, Goldman Sachs and more",These are the stocks posting the largest moves in midday trading.
2022-12-16 16:26:24,88% of employers offer a Roth 401(k) — almost twice as many as a decade ago. Here’s who stands to benefit,An increasing share of employers are making Roth 401(k) plan savings available to workers. But the accounts don't necessarily make sense for everyone.
2022-12-16 17:01:35,Former FTX spokesman Kevin O'Leary defends endorsement of Bankman-Fried's crypto firm,"Kevin O'Leary appeared on CNBC's ""Squawk Box"" to address his Senate testimony and his sponsorship deal with FTX, trading barbs with CNBC's anchors."
2022-12-16 17:32:43,Goldman Sachs is planning to cut up to 8% of its employees in January,"The planning is ongoing, and the round could be smaller than that, according to the person, who declined to be identified speaking about personnel decisions."
2022-12-16 12:56:23,"Stocks making the biggest moves premarket: Accenture, Winnebago, Maxar Technologies and more",These are the stocks posting the largest moves before the bell.
2022-12-16 21:42:37,"Binance's native BNB token plunges to lowest since July as concerns mount about withdrawals, FTX ties","Crypto exchange giant Binance, the firm that would potentially bail out FTX, is facing its own questions now, and investors are selling out of its native coin."
2022-12-17 23:52:51,Sam Bankman-Fried will now surrender himself for extradition before Bahamian court Monday: Source,Founder and former FTX CEO Sam Bankman-Fried will not contest extradition to the U.S. in an about face just days after being remanded to Bahamas prison.
2022-12-19 12:47:10,"Stocks making the biggest moves premarket: Aerojet Rocketdyne, Tesla, Mesa Air and others",These are the stocks posting the largest moves before the bell.
2022-12-19 10:34:05,"Sam Bankman-Fried will now surrender himself for extradition before Bahamian court Monday, says source",Founder and former FTX CEO Sam Bankman-Fried will not contest extradition to the U.S. in an about face just days after being remanded to Bahamas prison.
2022-12-19 18:59:38,21% of investors don't think they pay investing-related fees. Here's why they're wrong — and how it costs them,"Twenty-one percent of people incorrectly believe they don't pay fees to invest in non-retirement accounts, the FINRA Investor Education Foundation has found."
2022-12-19 17:57:13,"Stocks making the biggest moves midday: Disney, Tesla, Mesa Air and more",These are the stocks posting the largest moves midday.
2022-12-20 09:19:06,New British banknotes featuring portrait of King Charles III revealed,The Bank of England released images of the first bank notes to feature the portrait of King Charles III.
2022-12-20 17:14:14,"Jim Cramer's Investing Club meeting Tuesday: Wells Fargo settles, market oversold, buying the dip","The Investing Club holds its ""Morning Meeting"" every weekday at 10:20 a.m. ET."
2022-12-20 17:39:20,Wells Fargo agrees to $3.7 billion settlement with CFPB over consumer abuses,"The resolution lifts one overhang for the bank, which has been led by CEO Charlie Scharf since October 2019."
2022-12-20 12:39:12,"Stocks making the biggest moves in the premarket: General Mills, Steelcase, Lucid and more","The stocks making the biggest moves in premarket trading include General Mills, Steelcase, Lucid, and more."
2022-12-20 19:04:59,Bill Gross says markets are headed for 'potential chaos' if interest rates keep going up,The famed investor expects a mild recession could take a turn for the worse on tightening monetary policy.
2022-12-20 17:36:31,"Stocks making the biggest moves midday: Gilead Sciences, Moderna, Tesla and more",These are the stocks posting the largest moves midday.
2022-12-21 01:25:03,FTX founder Sam Bankman-Fried will fly from Bahamas to U.S. Wednesday to face criminal charges,"Sam Bankman-Fried is set to return to the U.S., where he faces multiple criminal charges tied to the collapse of his crypto exchange FTX."
2022-12-21 06:17:38,"Investments are set to flow back into China as tech giants avoid U.S. delisting, government pledges policy support, says investment manager","As Chinese tech companies avoid U.S. delisting risk, investment dollars could flow back into these names, says investment manager KraneShares."
2022-12-21 12:42:02,"Stocks making the biggest moves premarket: Rite Aid, Nike, FedEx and others",These are the stocks posting the largest moves before the bell.
2022-12-21 17:11:49,"Stocks making the biggest moves midday: Rite Aid, Nike, Six Flags and more",These are the stocks posting the largest moves in midday trading.
2022-12-22 00:14:41,FTX founder Sam Bankman-Fried will fly to New York after days of courtroom chaos,"Disgraced FTX founder Sam Bankman-Fried is aboard a federal plane en route to New York, after a day of courtroom chaos in the Bahamas over his extradition."
2022-12-21 22:19:39,"Stocks making the biggest moves after hours: Under Armour, Micron Technology and more",See which stocks are posting big moves after the bell.
2022-12-22 02:55:56,China's economy looks different than it was going into the pandemic,The Chinese economy of 2023 almost definitely won't look like the Chinese economy of 2019.
2022-12-22 04:52:26,"FTX's Gary Wang, Alameda's Caroline Ellison plead guilty to federal charges, cooperating with prosecutors","Ellison, 28, and Wang, 29, become the second and third individuals to be charged in connection with FTX's multibillion-dollar collapse"
2022-12-22 14:59:09,Bankman-Fried execs likely to be freed on bail after FTX fraud pleas,"Sam Bankman-Fried's senior executives Caroline Ellison and Gary Wang cut a deal with prosecutors for $250,000 bail in return for guilty pleas in FTX's collapse."
2022-12-22 12:54:56,"Stocks making the biggest moves premarket: CarMax, Micron, Under Armour and others",These are the stocks posting the largest moves before the bell.
2022-12-22 21:17:39,"Stocks making the biggest moves midday: AMC Entertainment, Tesla, Micron, Under Armour and more",These are the stocks posting the largest moves in midday trading.
2022-12-23 06:55:13,"From $250,000 to $10,000 price calls: How market watchers got it wrong with bitcoin in 2022","From Tim Draper to top crypto bosses, the market was awash with pundits predicting new record highs for bitcoin in 2022."
2022-12-23 12:56:56,"Stocks making the biggest moves premarket: Tesla, Nutanix, Meta and more",These are the stocks posting the largest moves before the bell.
2022-12-23 19:35:29,Families can make a tax-free rollover from 529 plans to Roth individual retirement accounts starting in 2024,Lawmakers say new rules would rescue funds from tax penalties and promote more college savings. Others think the measure amounts to a tax break for wealthy.
2022-12-23 18:43:57,"Stocks making the biggest moves midday: Mission Produce, Nutanix, Alphabet, Tesla and more",These are the stocks posting the largest moves in midday trading.
