DATE,TITLE,SUMMARY
2022-08-02 11:20:00,TikTok's ties to China are once again under fire in Washington. Here's why,"Two years after then-President Donald Trump said he would ban TikTok in the United States through an executive order, the short-form video platform is once again under scrutiny in Washington. And the underlying issue remains largely the same: TikTok's ties to China through its parent company, Bytedance."
2022-08-02 13:20:00,AI made these stunning images. Here's why experts are worried,A million bears walking on the streets of Hong Kong. A strawberry frog. A cat made out of spaghetti and meatballs.
2022-08-02 13:20:00,Uber's business is booming even with high gas prices and inflation,Even higher gas prices and soaring inflation aren't slowing down Uber's rebound from the worst days of the pandemic.
2022-08-02 16:20:00,Airbnb says demand is soaring even amid economic uncertainty,Demand for Airbnb bookings continues to soar even as high gas prices and inflation weigh on consumers and the economy.
2022-08-02 16:20:00,Private astronaut missions to the ISS will soon require an experienced astronaut chaperone,"Private astronaut missions to the International Space Station will have to be chaperoned by a former NASA astronaut, per new proposed requirements from the US space agency."
2022-08-02 21:20:00,"Robinhood to cut 23% of its workforce, revenue sinks 44%","Just months after cutting 9% of its workforce, Robinhood on Tuesday announced plans to lay off another 23%."
2022-08-03 15:20:00,Tinder's first female CEO out after less than a year,"Tinder's newest CEO is out after less than a year on the job, marking the second high-profile female executive to depart its parent company, Match Group, in a matter of months."
2022-08-03 15:20:00,"Pelosi's flight to Taiwan was the most-tracked of all time, Flightradar 24 says","US House Speaker Nancy Pelosi's flight to Taiwan, which bolstered American support for the island nation but angered China, was the single most heavily tracked flight in the history of the online flight tracking site Flightradar24."
2022-08-03 15:20:00,Another crypto bridge attack: Nomad loses $190 million in 'chaotic' hack,"Heists continue to plague the crypto world, with news of large sums stolen from digital currency firms seemingly every month. But while crypto exchanges were once the main point of attack, hackers now appear to have a new target: blockchain bridges."
2022-08-03 18:20:00,Likely debris from a SpaceX capsule found in Australia,"Chunks of space debris were reportedly found on farmland in the Australia mountains, and on Wednesday NASA confirmed that at least one of the objects is ""likely"" a scrap of hardware from a SpaceX Dragon capsule that was intentionally jettisoned as the spacecraft reentered the Earth's atmosphere last May."
2022-08-04 16:20:00,Twitter subpoenas Elon Musk's associates as legal battle heats up,"Twitter has subpoenaed a number of Elon Musk's associates, according to court filings and public statements, as the company moves forward with its legal fight against the Tesla billionaire over his attempt to terminate their $44 billion acquisition deal."
2022-08-04 16:20:00,Debris from a SpaceX capsule found in Australia,"Chunks of space debris were reportedly found on farmland in the Australia mountains, and this week NASA and Australian authorities confirmed that the objects are ""likely"" a scrap of hardware from a SpaceX Dragon capsule that was intentionally jettisoned as the spacecraft reentered the Earth's atmosphere last May."
2022-08-05 09:20:00,Amazon to buy the company behind the Roomba in a $1.7 billion deal,"Amazon has agreed to buy iRobot, the maker of the popular Roomba vacuum, in an all-cash deal valued at about $1.7 billion, including debt, the two companies announced Friday."
2022-08-05 09:20:00,"First, they banned facial recognition. Now they're not so sure","Over the past few years, a number of cities and some states enacted rules banning or restricting local police use of facial-recognition software. Now, in a handful of locations around the country, the controversial technology is making a comeback."
2022-08-05 17:20:00,Elon Musk's legal team has publicly filed its official response to Twitter's lawsuit,Elon Musk's legal team on Friday made public its official response to Twitter's lawsuit attempting to force him to complete their $44 billion acquisition deal.
2022-08-05 18:20:00,Tesla shares are about to get a lot cheaper with three-for-one stock split,"Tesla officially announced a three-for-one stock split, meaning the company's stock price — which has jockeyed between $600 and $1,000 for a year — is about to get more affordable for investors."
2022-08-08 07:21:00,SoftBank posts record $23 billion loss on Vision Fund pain,"SoftBank unveiled a $23 billion quarterly net loss on Monday, its biggest ever, as a market sell-off upended tech stocks and shredded valuations at its sprawling Vision Fund unit."
