DATE,TITLE,SUMMARY
2022-09-03 13:43:28,"Memphis mom, 1-year-old abducted outside Target at midday; police hunt suspects",Memphis Police are looking for two men allegedly involved in the abduction and robbery of a mother and her 1-year-old this week. It happened in a Target parking lot.
2022-09-03 13:40:43,"Tupelo, Mississippi pilot threatening to crash plane into Walmart, police say","A pilot has threatened to crash into a Walmart in Tuleop, Mississippi authorities warned Saturday as they evacuated the area."
2022-09-03 06:00:07,Artemis moon launch: Americans weigh in on whether NASA program is worth $93B cost,Americans sound off on whether they support paying for NASA's Artemis mission objective of landing astronauts on the lunar surface for the first time in decades.
2022-09-02 23:24:19,"Nine migrants found dead at Texas border, 53 apprehended trying to cross Rio Grande","The bodies of nine migrants were found Thursday and another 53 were caught trying to enter the United States from through the Rio Grande, authorities said."
2022-09-03 13:40:43,"Tupelo, Mississippi pilot who threatened to ram plane into Walmart is down, in custody","A pilot has threatened to crash into a Walmart in Tuleop, Mississippi authorities warned Saturday as they evacuated the area."
2022-09-03 15:40:37,Liza Fletcher abduction: Timeline of the Memphis teacher's disappearance,"Here is a timeline of events surrounding the disappearance of.Memphis teacher Eliza Fltecher, who was abducted Friday morning while on a jog near the University of Memphis."
2022-09-03 15:33:33,Followers of social media spirituality influencer accused of 2 murders in Alabama: 'I am a god',Three followers of social media influencer Rashad Jamal and his cult-like group have been accused of two separate murders in Alabama. Jamal is currently in prison.
2022-09-03 16:52:57,"California wildfire sets homes ablaze, forces evacuations","A California wildfire has threatened northern communities, injuring several people and forcing evacuations. Multiple homes were destroyed in Mill Fire on Friday."
2022-09-03 17:40:18,"Mississippi man who threatened to crash plane into Walmart charged with grand larceny, terroristic threats",The man who stole a plane in Mississippi and threatened to crash it into a Walmart has been charged with grand larceny and making terrorist threats
2022-09-03 18:54:16,"Florida 75-foot yacht catches fire, man hospitalized with burns","Police and firefighters in Aventura, Florida, responded to the scene of a yacht fire on Friday night. A person was injured in the blaze and is being treated."
2022-09-03 18:39:58,Abducted Eliza Fletcher: Memphis teacher's husband spotted day after her disappearance,"As the search for abducted Memphis teacher Eliza Fletcher continued Saturday, her husband was spotted outside their home. She was abducted Friday morning while on a run."
2022-09-03 20:34:59,Eliza Fletcher abduction: former homicide detective says teacher's disappearance may have been 'pre-planned',"Ted Williams, a former homicide detective, says the abduction of Memphis teacher Eliza Fletcher may have been 'pre-planned.' Video of the suspect vehicle will lead to answers."
2022-09-03 20:13:47,Tupelo pilot: Who is Cory Patterson?,"Cory Patterson, the Tupelo pilot who stole an aircraft, worked at the regional airport for ten years as a lineman and it does not appear that he has a pilots license."
2022-09-03 23:01:13,NYC sucker punch suspect says he 'blacked out' during the attack and is not a 'violent person',"A homeless Vietnamese refugee accused of sucker punching a New York City man and putting him in a coma says that he ""blacked out"" during the August attack."
2022-09-03 21:28:11,"Abducted Eliza Fletcher: Memphis police say 'vehicle of interest' located, male detained, Eliza still missing","Memphis police say that they have located a ""vehicle of interest"" and also said that one person has been arrested, but the missing mother has not been found."
2022-09-04 04:30:14,Wisconsin homicide suspect shot and killed by police following high-speed chase,"Wisconsin homicide suspect Ernest Blakney, 47, was shot and killed by police in Milwaukee on Friday. He was wanted for the homicide of his ex-girlfriend."
2022-09-04 03:46:44,"Maryland shooting at a 7-Eleven leaves 1 dead, 3 injured","Prince George's County Police responded to the scene of a fatal shooting on Saturday night inside a 7-Eleven, where they found four victims. All were transported to local hospitals."
2022-09-04 05:09:11,Memphis church hosts vigil for missing Eliza Fletcher: 'Pray for Liza',"A Memphis church hosted a prayer vigil for Eliza Fletcher, the missing mother of two on Saturday afternoon and prayed for a safe return."
2022-09-04 06:51:09,"Mass panic, early closure at Minnesota State Fair following brawl",A fight broke out at the Minnesota State Fair Saturday evening. The brawl and the police response led to a mass crowd panic and an early closure of the fairgrounds.
2022-09-04 06:16:10,US Navy sailor pleads guilty to texting minors for sexual photos then extorting for additional materials,"US Navy sailor Biagio Ambrosino, 20, pleaded guilty to producing child pornography and extorting his victims for additional explicit content. He faces up to 20 years in prison."
2022-09-04 08:20:35,"Border Patrol issues warning following 9 migrant deaths, asks migrants to 'please avoid crossing illegally'",U.S. Customs and Border Protection has called on migrants to avoid illegally crossing the U.S.-Mexico border as ongoing storms have caused traversing the terrain to be particularly dangerous.
2022-09-04 09:37:27,"Eliza Fletcher missing: Cleotha Abston charged with kidnapping in connection to case, Memphis police say",Eliza Fletcher was abducted early Friday morning while on a jog
2022-09-04 11:23:11,"Norfolk, Virginia off-campus mass shooting leaves 7, including college students, wounded","Norfolk, Virginia, police responded to a mass shooting off-campus early Sunday that left seven people, including Norfolk State University students, injured."
2022-09-04 13:57:12,Ex-MIT researcher arrested for Yale student's murder after months-long manhunt to appear in court,"Qinxuan Pan, a former MIT researcher, is scheduled to appear Tuesday on the murder charge in connection to the February 2021 killing of Yale grad student and Army veteran Kevin Jiang."
2022-09-04 13:27:58,"Shooting in Charleston, South Carolina leaves at least 5 wounded","Police in Charleston, South Carolina, are investigating a shooting after gunfire wounded five adults in the city's downtown early Sunday, authorities said."
2022-09-04 15:33:50,Seattle rocked by deadliest month in recent history in wake of defund police movement,"Seattle recorded 11 homicides for the month of August, making it the deadliest month the city has had since at least 2008, according to police data."
2022-09-04 15:29:48,Eliza Fletcher missing: Kidnapping suspect Cleotha Abston abducted Memphis attorney at gunpoint decades ago,"Cleotha Abston, the kidnapping suspect arrested in the disappearance of Memphis teacher Eliza Fletcher, decades ago abducted prominent attorney and former prosecutor Kemper Durand."
2022-09-04 15:26:06,"Migrant bus arrives in New York City, greeted with handshakes, blankets","Yet another migrant bus arrived in New York City on Sunday, with mayor Eric Adams there to greet the new arrivals. Texas has sent dozens of buses amid an ongoing border crisis."
2022-09-04 15:24:23,Abducted Eliza Fletcher: Family of missing mother makes plea for public's help in locating Eliza,"The family of missing Eliza Fletcher made a plea to the public on Saturday, asking individuals who know anything about the disappearance of the mother of two to come forward."
2022-09-04 15:11:03,Black Lives Matter leader accused of stealing $10M from organization: 'Unjust enrichment',The umbrella organization for 26 local Black Lives Matter chapters sued the national BLM organization and accused one of its board members of stealing $10 million for personal use.
2022-09-04 15:06:58,Colorado climber dies after falling 900 feet from Capitol Peak,"Rescuers recovered the body of a woman who was solo hiking the Capitol Peak in Colorado when a rock she was holding onto gave way, causing her to fall 900 feet to her death."
2022-09-04 16:26:00,Catastrophic flooding in Georgia submerges cars after heavy rainfall,"Flooding in Chattooga and Floyd counties in northwest Georgia left roadways impassible and cars submerged early Sunday after hours of heavy rainfall, reports said."
