DATE,TITLE,SUMMARY
2022-09-03 14:00:36,"Vulnerable Democrats avoid Biden's anti-MAGA speech, Trump-backed candidates fire back at divisive remarks","President Joe Biden gave a speech Thursday, where he called MAGA Republicans ""extreme threats to the democracy."""
2022-09-03 15:34:02,Democrats are tactically ‘ignoring’ the rule of the law: Rep. Byron Donalds,"Rep. Byron Donalds criticized President Biden's controversial speech on Thursday evening, arguing that it was a ""dumb"" political move by Democrats."
2022-09-03 16:34:47,Michigan House Dem candidate 'honored' to appear alongside show host who made antisemitic comments after 9/11,"Carl Marlinga, a Democrat running to represent Michigan's 10th Congressional District, recently appeared on a Facebook Live program with a host who has made antisemitic remarks."
2022-09-03 17:56:02,"Support for legal abortion grew after Dobbs ruling, which could affect midterm election turnout: WSJ Poll","American voters' support for legal abortion increased after the Supreme Court overturned Roe, and abortion is a major motivator for Democrats ahead of midterms, a WSJ poll found"
2022-09-03 17:32:18,Latest migrant deaths in Rio Grande highlight extreme dangers facing border crossers,The deaths of multiple migrants in the Rio Grande this week highlights the perils facing those seeking to enter the U.S. via the southern land border by foot.
2022-09-03 17:21:46,"RNC investing millions to engage with Asian Pacific American voters, other minorities ahead of midterms","The RNC is investing millions in outreach to Asian American Pacific voters ahead of the midterm elections, opening its most recent community center in Issaquah, Washington."
2022-09-03 16:55:52,Arizona Democratic lawmaker who just won Senate primary resigns,The Senate seat for southwest Phoenix is vacant after Diego Espinoza announced his resignation following his recent victory. He had served four terms in the House.
2022-09-03 18:24:10,Ted Cruz returning to New Hampshire to support Leavitt in GOP primary in crucial House race,Sen. Ted Cruz of Texas is heading to New Hampshire this week on a 2022 mission that will also spark more speculation about his national ambitions in 2024
2022-09-03 20:16:36,"Border Patrol agents arrest dozens of illegal immigrant criminals, gang members","Border Patrol agents in the Rio Grande Valley Sector have stopped multiple gang members and criminals, including those with convictions for sex offenses."
2022-09-04 01:59:11,"Trump slams 'Third World' raid on his home, says FBI agents rifled through Barron's, Melania's belongings",Former President Donald Trump blasted the Biden administration Saturday night calling the recent FBI raid on his home a trampling of his rights and liberties.
2022-09-04 00:52:44,Trump blasts Biden's anti-MAGA speech: 'He's the enemy of the state',"Former President Donald Trump criticized President Biden's ""soul of a nation"" speech by calling it the most ""hateful"" speech ever delivered by an American president."
2022-09-04 06:00:00,Social media users' competition for online clout is having real-world ramifications,Journalist Leighton Woodhouse believes social media has become one big social status competition that has gone off the rails and bled its way into the real world.
2022-09-04 11:46:35,"2024 Watch: Pence, Pompeo, Cruz, heading to New Hampshire this month","Mike Pence and Mike Pompeo, two potential contenders for the next race for the Republican presidential nomination, head back this month to New Hampshire, the first primary state"
2022-09-04 15:57:21,Top Biden official says anti-MAGA speech's 'optimism' calls 'out to all of us' regardless of party,White House senior adviser Keisha Lance Bottoms defended President Biden's anti-MAGA speech in Philadelphia as one that spoke to all Americans regardless of political party.
2022-09-04 15:55:36,Dem election committee chair: ‘We’re on a roll’ despite country facing ‘serious problems’,"Democratic Congressional Campaign Committee chair Rep. Sean Patrick Maloney said Democrats are ""on a roll,"" even with the party facing problems like high inflation and crime."
2022-09-04 15:31:26,"Josh Shapiro bets tough message on crime, economy will outrun red wave in Pennsylvania",Democratic Attorney General Josh Shapiro is not running from the issues of crime or the economy this year in his bid to be elected governor of Pennsylvania.
2022-09-04 15:19:23,Doug Mastriano says Afghan elections were more secure than Pennsylvania's because of voter ID,GOP gubernatorial nominee Doug Mastriano claims elections in Afghanistan after the U.S. invasion were more secure than some recently held in Pennsylvania.
2022-09-04 16:49:58,"President Biden ‘does not care’ that his border policies victimize children, argues Rep. Beth Van Duyne","During an exclusive interview, Rep. Beth Van Duyne slammed the Biden administration for their ""hypocritical"" commentary on the persistent border crisis."
2022-09-04 16:07:55,"Biden believes ‘extreme’ MAGA ideology has ‘taken over’ Republican party, Jean-Pierre says","White House press secretary Karine Jean-Pierre said Sunday that President Biden believes there is a difference between ""mainstream"" Republicans and ""MAGA"" Republicans."
2022-09-04 18:03:27,NRCC chair Emmer: Midterms all about ‘security’ problems caused by ‘failed Democrat policies’,"In a ""Fox News Sunday"" interview, National Republican Congressional Committee chair Rep. Tom Emmer said the midterm elections are about ""security,"" both economic and physical."
2022-09-04 17:44:24,"Jackson, Mississippi water crisis: FEMA administrator says its unclear when water will be safe to drink","More than 150,000 residents of Jackson, Mississippi don't have access to clean drinking water, after severe flooding caused problems at the city's two water treatment plants."
2022-09-04 17:39:55,"US Ambassador to Russia, John Sullivan, leaves post",John Sullivan is stepping down as U.S. Ambassador to the Russian Federation after nearly three years in the role and decades in public service that spanned four decades.
2022-09-04 17:38:55,Michigan sec of state says election officials most worried about ‘violence and disruption on Election Day’,Michigan Sec. of State Jocelyn Benson said officials are worried about violence at the polls on Election Day but that voters can be assured the election will be free and fair.
2022-09-04 19:58:27,Senate health and education chair defends decisions to keep children home from school during pandemic,"Sen. Patty Murray would not say it was wrong to close schools during the COVID-19 pandemic, after the Department of Education showed declines in test scores."
2022-09-04 17:39:55,"US ambassador to Russia, John Sullivan, leaves post",John Sullivan is stepping down as U.S. ambassador to the Russian Federation after nearly three years in the role and a public-service career that spanned four decades.
2022-09-05 06:00:19,"Wisconsin mothers defend, criticize school board’s ban on pride, BLM flags","Two parents shared their views on a Wisconsin school board's vote to keep a policy banning political messaging from schools, including LGBTQ pride flags."
2022-09-05 10:39:08,"Murphy defends Biden student loan handout, admits higher education 'too out of control and too out of reach'","New Jersey Democratic Gov. Phil Murphy said President Biden's student loan handout benefits more than a million New Jerseyans but recognizes higher education is ""too out of reach."""
2022-09-05 14:27:35,Hillary Clinton reveals reason for staple pantsuit was 'suggestive' photos from Brazil state trip,"Former First Lady and Secretary of State Hillary Clinton revealed she chose to wear pantsuits after ""suggestive"" photos showing part of her underwear were snapped during a Brazil trip."
2022-09-05 15:57:13,Federal judge orders appointment of special master to review seized Trump records,"An independent special master will be appointed to review records the FBI seized during its raid of former President Trump's Mar-a-Lago home, a federal judge ruled Monday."
2022-09-05 18:06:04,Trump helps NY GOP candidate for governor Zeldin raise additional $1.5M as polls against Hochul tighten,Former President Donald Trump headlined an event to help New York Republican gubernatorial candidate Lee Zeldin raise $1.5 million for his campaign against Democrat Gov. Kathy Hochul.
2022-09-05 18:30:29,"Trump medical records, tax documents seized in FBI raid: judge",Former President Trump’s medical records and documents related to his accounting information and taxes were seized during the FBI’s raid of Mar-a-Lago.
2022-09-05 19:20:15,"Biden again attacks 'MAGA' GOP members of Congress, 'full of anger, violence and hate,' in Labor Day speech","President Biden used a Labor Day speech in Wisconsin to attack ""extreme MAGA Republicans"" who Biden said ""have chosen to go backwards, full of anger, violence, hate and division."""
2022-09-05 20:24:32,"New UK Prime Minister Liz Truss won't be 'afraid of picking a fight' with Biden, experts say","New United Kingdom Prime Minister Liz Truss may be more willing to pick a fight with President Biden, particularlly over economic issues, experts say."
2022-09-05 23:24:07,Biden takes aim again at 'MAGA Republicans' in Pennsylvania: 'This is a totally different party',"President Joe Biden criticized ""MAGA Republicans"" in two Labor Day speeches on Monday in the battleground states of Wisconsin and Pennsylvania."
2022-09-06 06:00:18,"Democrats try to rewrite history around school closings, reopenings amid learning loss","Democrats have started to reframe school reopening policies across the country, arguing it was Republicans who opposed efforts leading to students returning to in-person instruction."
2022-09-06 11:00:37,"Massachusetts primary election results 2022: Republicans and Democrats vote on nominees for governor, US House",Results for Massachusetts primaries for the Democratic and Republican nominees for governor and U.S. House races. The winners will appear on the November midterm election ballot.
2022-09-06 10:16:39,"Gay marriage bill, other major issues sit in limbo as Senate returns from August recess","Lawmakers face gay marrige bill, government funding, Electoral Count Act reform and more in final weeks of session before key November midterm elections."
2022-09-06 12:00:26,"Colorado GOP Senate nominee O'Dea aims to target federal bureaucracy, push border security, energy dominance","Colorado GOP Senate nominee Joe O'Dea says if elected, he'd push to cut the federal bureaucracy, beef up the U.S.-Mexico border, tackle crime, and restore America's energy dominance"
2022-09-06 14:40:21,Dems plan to restart Big Oil hearings as gas prices cool: 'Sham investigation',"House Democrats have tentatively scheduled a hearing as part of their Big Oil investigation, marking the resumption of the probe that started a year ago."
2022-09-06 14:30:29,Senate Democrats may include gay marriage legislation in government funding package,"Gay marriage is one of several issues before the Senate in its final work period before the midterms, including time-consuming appeals court nominations."
2022-09-06 13:40:47,Trump's political clout on the line again in Massachusetts GOP gubernatorial showdown,"Former President Trump's immense clout over the GOP is once again on the line today, as Republicans in Massachusetts vote in the GOP gubernatorial primary"
2022-09-06 18:05:30,"WH appears to send mixed messages on 'MAGA Republicans,' stating it's not 'most' GOP, but party is 'overrun'","The Biden administration has simultaneously claimed that the Republican Party has been taken over by extremists, and also that most Republicans are not among them."
2022-09-06 17:56:02,White House press secretary grilled on tweet calling 2016 election 'stolen',"Fox News' Peter Doocy grilled White House press secretary Karine Jean-Pierre about her claim that Donald Trump had stolen the 2016 election. She said he was being ""ridiculous."""
2022-09-06 17:11:28,"Civilian-military relations under 'extreme strain,' former Pentagon leaders say","Former Pentagon leaders warned in an open letter published Tuesday that civilian-military operations are facing ""an exceptionally challenging"" environment."
2022-09-06 17:07:55,"Senate race tightens in key midterm state, inflation and economy trump abortion as most important issue",The SP&amp;R poll found the gap is closing in the heated Pennsylvania Senate race between Fetterman and Oz in the final months before the midterm elections.
2022-09-06 16:34:27,"Pittsburgh Post-Gazette editorial board questions Fetterman's health, ability to serve after stroke",A new editorial published by the Pittsburgh Post-Gazette highlights plausible voters' concerns over John Fetterman's ability to serve in the Senate given his state of health.
2022-09-06 16:32:32,Biden repeats shifting claim of civil rights activism in 1960s,President Biden said Monday that he was actively involved with and marched in the 1960s civil rights movement despite his past comments contradicting the claim.
2022-09-06 16:30:24,World transgender health org poised to give hospitals green light to lower age for youth surgeries,The World Professional Association for Transgender Health is poised to give the green light to children's hospitals nationwide to lower the age requirements for youth surgeries.
2022-09-06 16:24:44,"With Labor Day over, the final sprint underway in battle for control of Congress and state governments","Tuesday marks nine weeks until the 2022 elections, and after a summer where they appeared to lose their momentum heading into November’s midterms, Republicans are ready for a reset"
2022-09-06 18:36:47,Border Patrol chief says agents caught 10 illegal immigrant sex offenders in 3 days: ‘The dangers are real',"Border Patrol Chief Raul Ortiz announced that agents have caught 10 sex offenders, as well as gang members and a murderer coming across the southern border."
2022-09-06 18:32:41,Pentagon announces new round of Minuteman ICBM strikes to show nuclear readiness,The Pentagon said it will launch another unarmed Minuteman III intercontinental ballistic missile test in California Wednesday to test nuclear readiness.
2022-09-06 19:34:49,"Hillary Clinton claims she had 'zero' classified emails on server as she attacks Trump, despite 2018 IG report",Former Secretary of State Hillary Clinton compared previous investigations into her private email server to the ongoing investigation into former President Donald Trump.
