DATE,TITLE,SUMMARY
2022-10-25 13:00:20,CDs Are Back In Style,"For the past 20 years or so, old-fashioned saving has gone out of style. Back in the 1980s and 1990s, you could build a fairly respectable—and guaranteed—return on your retirement portfolio by buying bank certificates of deposit. Since then, of course, we’ve encountered one seemingly endless economic crisis after another—the dot com bust, the 2001 [&#8230;]"
2022-10-24 16:03:56,Silver And Palladium Update: False Hope,The price action in the silver futures has given a false hope to bulls this month. The largest volume support (orange) has offered a solid support for the silver futures price lately. It is located between $17.4 and $18.2. The price has tested it three times already and failed to break it down. Source: TradingView [&#8230;]
2022-10-27 14:14:48,Don't Let This Stock's Reputation Discourage You,"Shares of investing app operator Robinhood Markets, Inc. (HOOD) have declined more than 70% since its blockbuster IPO in July 2021. Moreover, the stock has declined 42.5% year-to-date. Pioneering zero-commission trading, Robinhood's mobile app garnered huge popularity among beginners during the height of the COVID-19 pandemic. The company was at the center of the never-seen-before [&#8230;]"
2022-10-26 13:00:53,Trade Like a Hedge Fund - 1 Stock They're All Buying,"The much-talked-about acquisition saga of Twitter, Inc. (TWTR) is finally drawing to a close. SpaceX founder Elon Musk finally agreed to buy the company for $54.20 a share. In a regulatory filing on October 4, Musk notified TWTR of his intent to go ahead with the initial agreed-upon deal to acquire the company and take [&#8230;]"
2022-10-29 13:00:12,2 Strong Stocks to Add to Your Watchlist in Q4,"Influenced by hotter-than-expected inflation and employment data for September, the Fed will most likely announce another aggressive rate hike in its meeting next week, raising recession odds. Goldman Sachs believes there is a 35% chance of a recession in the next 12 months. However, despite lingering macro headwinds, the stock market witnessed a relief rally [&#8230;]"
2022-10-28 15:06:29,Not All Gold Miners Are Created Equal,"It’s been a challenging two years for investors in the gold space, with the metals making no progress since Q3 2020 and the Gold Miners Index (GDX) suffering a 52% decline from its highs. This violent bear market can be attributed to significant margin compression for most gold producers, with them being hit by inflationary [&#8230;]"
2022-10-30 13:00:56,"The Downside of High-Reward, High-Risk Investing","Over the past number of years, the best investments nearly all came out of the technology sector. We had terms like the FANNG stocks coined, we were told value-investing was dead, and year after year, the stable dividend-paying stocks just slowly trailed behind high-flying technology companies. But, towards the end of November 2021, things began [&#8230;]"
2022-10-31 16:03:18,3 Energy Stocks for the Rest of 2022,"While the U.S. economy grew at a 2.6% annual rate in the third quarter, high inflation, weak third-quarter corporate earnings, and fears of another aggressive rate hike by the Fed are raising the possibility of a recession in the next 12 months. With investors anticipating a broad slowdown, this year could be the worst year [&#8230;]"
2022-11-01 13:00:05,Who Let The DOGE Out?,Last week the top ten cryptocurrencies ranking was reshuffled as Dogecoin (DOGE) shot straight to the eighth place with a market cap just under $18 billion. If we skip stable coins and exchange related coin BNB then this meme coin seized the #4 spot right below the Ripple (XRP). If we look at the seven-day [&#8230;]
2022-11-03 13:00:55,Don't Fall Victim to These 2 EV Stocks,"With increasing climate change concerns, rising costs of fossil fuels due to geo-political turbulence and ever-depleting supplies, and growing inclination toward lower operational and maintenance costs, the global automotive industry is fast transitioning toward e-mobility. Including electric vehicles, charging networks, infrastructure, and energy storage, the global electric mobility ecosystem is projected to grow at 23.7% [&#8230;]"
2022-11-02 17:04:04,One Stock You Could Buy and Hold Forever,"Healthcare is one of the few sectors that enjoy inelastic demand and can easily pass on an increase in cost to consumers. Therefore, healthcare stocks are attracting investor attention amid the current economic uncertainties. However, the persistently high inflation is raising healthcare expenditures, and many Americans still remain uninsured or inadequately covered. This could drive [&#8230;]"
2022-11-04 13:22:37,Powell Starting to Change His Tune,"Federal Reserve Chairman Jerome Powell should have started the November Federal Reserve meeting press conference with one of the more widely used movie quotes, ""there's a storm coming."" Chairman Powell's comments after the Fed meeting were certainly the most hawkish we have heard from him. First, the Federal Reserve Board unanimously voted for the 0.75% [&#8230;]"
2022-11-05 13:00:39,3 Energy Stocks That Could Benefit This Fall,"President Biden seeks to add enough supply to prevent near-term oil price spikes by releasing U.S. strategic petroleum reserves (SPR) of 15 million barrels. However, that might be offset by OPEC+’s two million barrels per day (bpd) output cuts. Oil prices have seen significant volatility this year thanks to the Russia-Ukraine war. However, strong demand [&#8230;]"
2022-11-06 14:00:05,One Stock to Get Excited About Again,"After two quarters of subscriber declines and slowing growth, streaming major Netflix, Inc. (NFLX) bounced back in some fashion as it added more subscribers than analysts estimated in the third quarter. NFLX reported a net gain of 2.41 million subscribers, which was considerably higher than the average 1.1 million additions expected by analysts. Amid rising [&#8230;]"
