DATE,TITLE,SUMMARY
2022-12-06 21:15:00,Nebraska man is sentenced to prison for leaving noose for coworker,Prosecutors said a 63-year-old Black man who worked for Oriental Trading found the noose made out of orange twine sitting on the seat of the equipment in June 2020 
2022-12-06 21:15:00,Threats to protesters in Emmett Till rally prompt cancelation of Christmas parade in Kentucky,"Protesters planned a rally Saturday afternoon to call for justice for Emmett Till in Bowling Green, Kentucky where his accuser, Carolyn Bryant Donham, allegedly lives "
2022-12-06 21:15:00,Mississippi man who burned cross to intimidate Black neighbors pleads guilty to hate crime,"Axel Cox admitted that ""he burned the cross because of the victims’ race and because they were occupying a home next to his,"" the DOJ said "
2022-12-06 21:15:00,'Holi-Drag Storytime' for children canceled because of right-wing protesters,"Organizers in Columbus, Ohio, were concerned about safety as Proud Boys members and other demonstrators, some armed, gathered near the venue, a church "
2022-12-06 21:15:00,Texas man charged with threatening Boston doctor who provides transgender care,"The threat to a doctor affiliated with a Boston LGBTQ education center comes after false information about Boston Children’s Hospital spread online, officials said "
2022-12-06 21:15:00,Taylor Swift fans sue Ticketmaster following fumbled presale,"According to the complaint, fans are suing for damages arising from fraud and price fixing, among other alleged violations "
2022-12-06 21:15:00,Broadway actor Quentin Lee dies from colon cancer at 34,The actor is known for his portrayal of the phantom in the North American tour of The Phantom of the Opera 
2022-12-06 21:15:00,"Woman claiming to be relative of Chris Christie injures 6 deputies after getting kicked off plane, says sheriff's office","Shannon Epstein, 25, was asked to leave the Spirit Airlines flight after asking a family seated near her who she allegedly believed were Latino if they were ""smuggling cocaine,"" according to the Jefferson Parish Sheriff’s Office "
2022-12-06 21:15:00,"As Senate runoff nears, Herschel Walker's ex-girlfriend details abuse","Cheryl Parsa, who had a five-year relationship with the football legend, says he once pressed her against a wall, grabbed her throat, and threw a punch that missed "
2022-12-06 21:15:00,"'Targeted' N.C. power outages could leave more than 100, 000 in the dark for days","Curfew is declared, schools closed as the FBI and state authorities join the investigation into the gun attacks on two energy substations in Moore County "
2022-12-15 16:00:00,First openly transgender woman set to be executed in the U.S. asks for mercy,"Lawyers for Amber McLaughlin, now 49, on Monday asked Missouri Gov. Mike Parson to spare her. McLaughlin was convicted of killing 45-year-old Beverly Guenther in 2003 "
2022-12-15 16:00:00,Father of Texas girl allegedly killed by FedEx driver files lawsuit,"The suit accuses the driver, Tanner Lynn Horner, FedEx, and its subcontractor Big Topspin of negligence "
2022-12-15 16:00:00,"Ex-UC Irvine student threw his mother off a campus building and then jumped to his death, police say","Irvine police identified the mother and son Wednesday as Thao Thai Nguyen, 77, and Andrew Nguyen Doan, 36 "
2022-12-15 16:00:00,Woman found dead after falling overboard from cruise ship off Florida coast,"A 36-year-old woman, who was not identified, was found by the Coast Guard 18 miles from the shore of Port Canaveral "
2022-12-15 16:00:00,Three of the men involved in the plot to kidnap Michigan governor sentenced to prison,"The trial in state court was separate from a prosecution in federal court where two leaders, Adam Fox and Barry Croft Jr., were convicted of a kidnapping conspiracy "
2022-12-15 16:00:00,Quinton Simon’s mother indicted on murder charges weeks after his body was found in a Georgia landfill,"The indictment alleges Leilani Simon, 23, caused her 20-month-old son's death with an unknown object that caused “cruel and excessive physical pain” and that she then hid his body “by discarding him in a dumpster "
2022-12-15 16:00:00,House votes in favor of resolving Puerto Rico’s territorial status,"The Puerto Rico Status Act awaits a bleak fate in the Senate with Congress coming to an end Friday, meaning the process to make it into law will restart next year with a new Congress "
2022-12-15 16:00:00,"Pennsylvania school board member resigns after saying she was against voting for a 'cis, white male' for board president","Jennifer Solot, who has served five years on the school board for the Upper Moreland School District, apologized for her ""poorly chosen words,"" according to a district statement "
