DATE,TITLE,SUMMARY
2022-12-06 15:15:00,The baguette enters the upper crust as it's added to the U.N. cultural heritage list,"Bakery owner Florence Poirier smells a baguette fresh from the oven Thursday as Mylene Poirier stands next to her at a bakery, in Versailles, west of Paris "
2022-12-06 15:15:00,What to know about the West's new efforts to slash Russia's oil revenue,"An oil tanker is moored at the Sheskharis complex, part of Chernomortransneft JSC, a subsidiary of Transneft PJSC, in Novorossiysk, Russia, Oct. 11, one of the largest facilities for oil and petroleum products in southern Russia. The deadline is looming for Western allies to agree on a price cap on Russia oil "
2022-12-06 15:15:00,Prince William deplores his godmother's racial comments,"Britain's Prince William and Kate, Princess of Wales, watch an NBA basketball game between the Boston Celtics and the Miami Heat on Wednesday in Boston "
2022-12-06 15:15:00,"London says no to a big Chinese Embassy, in a blow to Beijing ties","The Royal Mint Court office complex, bought by the Chinese government for 255 million pounds ($311 million) in May 2018, in London, on Friday. China's controversial plan to build a new embassy on the site near the Tower of London was rejected in a Tower Hamlets council meeting on Thursday "
2022-12-06 15:15:00,Putin turns down Biden talks and defends Russian attacks on Ukraine's energy grid,"Russian President Vladimir Putin attends an event via video on Wednesday. The Kremlin is downplaying the prospect of Ukraine peace talks after President Biden said he would speak to Putin if ""he's looking for a way to end the war."" Mikhail Metzel/Sputnik/AFP via Getty Images "
2022-12-06 15:15:00,Discovery of ancient bronze statues in Italy may rewrite Etruscan and Roman history,"Statues at the site of the discovery of two dozen well-preserved bronze statues from an ancient Tuscan thermal spring in San Casciano dei Bagni, Italy on Nov. 3. Italian Ministry of Culture "
2022-12-06 15:15:00,"The war in Ukraine is set to slow this winter, according to U.S. intelligence","A house burns after a Russian attack in Kherson, Ukraine, Saturday, Dec. 3, 2022 "
2022-12-06 15:15:00,Survivors of the Brussels suicide attacks seek closure as the trial starts Monday,"A banner for the victims of the bombings reads ""I am Brussels"" at the Place de la Bourse in the center of Brussels, March 23, 2016. The trial of 10 men accused over the 2016 suicide bombings at Brussels airport and an underground metro station starts in earnest this week "
2022-12-06 15:15:00,Ukrainians say they hid orphaned children from Russian deportation,"Hospital staff take care of orphaned children at the children's regional hospital maternity ward in Kherson, southern Ukraine, Tuesday, Nov. 22, 2022. Throughout the war in Ukraine, Russian authorities have been accused of deporting Ukrainian children to Russia or Russian-held territories to raise them as their own "
2022-12-06 15:15:00,"Russia strikes again at Ukraine's energy system, but damage is limited","Civilians take shelter in Akademmistechko Metro during an air alert on Monday in Kyiv, Ukraine. Russia renewed its missile attacks across Ukraine on Monday. Pete Kiehart for NPR "
