DATE,TITLE,SUMMARY
2022-11-29 15:15:00,"Consider making less food and composting leftovers this Thanksgiving, experts say","A prep cook at MoMo's restaurant in San Francisco drops apple skins into a food-scrap recycling container in 2009. Composting, a process that converts organic materials into nutrient-rich soil, can help reduce the amount of trash dumped into landfills "
2022-12-06 15:15:00,The timeline of events leading up to the Tory Lanez assault trial,Rapper Tory Lanez performs onstage at the 2017 Meadows Music And Arts Festival in New York City 
2022-12-06 15:15:00,"A fan is reportedly buying the 'Goonies' house in Oregon, which was listed for $1.7M",In this undated photo provided by RETO Media is the house featured in the Steven Spielberg film 
2022-12-06 15:15:00,How one artist took on the Sacklers and shook their reputation in the art world,"Photographer Nan Goldin poses after being awarded Commander in the Arts and Letters Order, in Paris, June 27, 2006 "
2022-12-06 15:15:00,The U.S. wants to slash carbon emissions from power plants. Natural gas is in the way,"To close America's remaining coal plants, many industry analysts believe the country needs natural gas to ensure reliable energy supplies until cleaner options like battery storage are widely available "
2022-12-06 15:15:00,REAL ID enforcement is delayed again to 2025,"People wait at the New York State Department of Motor Vehicles office at Atlantic Center in the Brooklyn borough of New York on December 18, 2019. Angela Weiss/AFP via Getty Images "
2022-12-06 15:15:00,What we know about the attack on two North Carolina power substations,"A gunfire attack on two electrical substations in Moore County, N.C., knocked out power to the region, including to stoplights in the town of Southern Pines "
2022-12-06 15:15:00,A new writer tweeted about a low book signing turnout—and famous authors commiserated,Chelsea Banning watched in disbelief as authors like Neil Gaiman and Margaret Atwood told her of their experiences with low turnout at book signing events 
2022-12-06 15:15:00,A congressional report says financial technology companies fueled rampant PPP fraud,"A congressional report found financial technology companies, or fintechs, largely fueled PPP loan fraud. Bluevine, a fintech noted in the report, told NPR it adapted to threats of fraud better than other companies mentioned. SOPA Images/SOPA Images/LightRocket via Gett "
2022-12-06 15:15:00,Some streets closed during the pandemic to allow pedestrians will remain car-free,"Cyclists and pedestrians enjoy Rock Creek Park's Beach Drive in Washington, D.C., on Nov. 26. The road has been closed to motorized vehicles since April 2020, and officials have decided to keep it closed to vehicles indefinitely "
2022-12-16 08:00:00,"In a year marked by inflation, 'buy now, pay later' is the hottest holiday trend","New research tackles the central question about ""buy now, pay later"": Does it encourage people to overspend "
2022-12-16 08:00:00,"From Buzz Iceclear to Clearopathra, snowplow naming gains traction around the country","A PennDOT plow truck clears roads in northeastern Pennsylvania following snowfall of up to two feet on March 14, 2017, in Scranton. Around the country, people are participating in contests to give local snowplows clever names "
2022-12-16 08:00:00,Oregon's LGBTQ community worries that a new law will keep them from obtaining guns,"Mia Rose, a trans person of color and former licensed firearms dealer, holds her custom-built AR-15 rifle in her home in Eugene, Ore., on Dec. 12, 2022. Celeste Noche for NPR "
2022-12-16 08:00:00,Oregon Gov. Kate Brown explains why she commuted all of her state's death sentences,"Oregon Gov. Kate Brown, pictured in San Francisco in October, commuted the sentences of all 17 people on death row on her way out of office "
2022-12-16 08:00:00,Man who threatened Black Lives Matter supporters pleads guilty to hate crime charges,"Counter-protesters carrying Black Lives Matter flags walk past a group of Trump supporters at the Michigan State Capitol building in November 2020 in Lansing, Mich "
2022-12-16 08:00:00,Retail spending dips as holiday sales bite into inflation,"Retail spending dipped in November compared to October, as holiday sales bit into inflation "
2022-12-16 08:00:00,Congress votes to remove a bust of the Dred Scott decision's author from the Capitol,"A marble bust of Chief Justice Roger Taney is displayed in the Old Supreme Court Chamber in the U.S. Capitol on March 9, 2020 "
2022-12-16 08:00:00,5 officers have been charged in the deadly 2019 arrest of a Black man in Louisiana,The commission that regulates California's utilities decided to cut a key incentive for rooftop solar. That move has climate activists worried. Mel Melcon/Los Angeles Times via Getty 
2022-12-16 08:00:00,"California plans to cut incentives for home solar, worrying environmentalists",The commission that regulates California's utilities decided to cut a key incentive for rooftop solar. That move has climate activists worried. Mel Melcon/Los Angeles Times via Getty 
2022-12-16 08:00:00,Step aside Florida and Ohio. Georgia is ready to be a political battleground,"A poll worker hands off a Georgia Voted sticker to a voter on Election Day, Nov. 8, 2022, in Atlanta "
2022-12-26 10:00:00,"In a wintry Adirondack forest, an oasis of holiday light","Kris Ruby and her dog Ezra enjoy the holiday lights displayed at the Wild Center in the Adirondack Mountains in Tupper Lake, NY. Al J Thompson for NPR "
2022-12-26 10:00:00,Migrants warmed by the community as freezing temperatures linger in El Paso,"Unsheltered migrants wait for bed space to open for the evening in the gymnasium at Sacred Heart Church after crossing the Rio Grande into the United States in El Paso, Texas, on Thursday. Jim Urquhart for NPR "
2022-12-26 10:00:00,Kari Lake loses her legal challenge to the results of the Arizona governor's race,A judge has thrown out Republican Kari Lake's challenge of her defeat in the Arizona governor's race to Democrat Katie Hobbs 
2022-12-26 10:00:00,Emmett Till and his mother honored with the Congressional Gold Medal,"This undated portrait shows Emmett Till, who was killed in Mississippi in 1955 "
2022-12-26 10:00:00,"Sikh men can serve in the Marine Corps without shaving their beards, court says","U.S. Army Captain Kamaljeet Singh Kalsi poses in Times Square, New York, in 2010. Kalsi was the first Sikh in the U.S. Army, which allows Sikhs to serve while retaining their turbans and beards required by their faith. Timothy A. Clary/AFP via Getty Images "
2022-12-26 10:00:00,Five people have been arrested after a deadly shooting at Minnesota's Mall of America,"A police car sits parked outside Nordstrom at Mall of America after a shooting Friday, Dec. 23, 2022, in Bloomington, Minn "
2022-12-26 10:00:00,Millions in the U.S. are hunkering down from a freezing and deadly winter storm,"A lone pedestrian in snow shoes makes his way across Colonial Circle as St. John's Grace Episcopal Church rises above the blowing snow amid blizzard conditions in Buffalo, N.Y. on Saturday. Derek Gee/The Buffalo News via AP "
2022-12-26 10:00:00,Monster winter storm across U.S. claims at least 34 lives,"A car sits blanketed in snow sits on a driveway Sunday in Amherst, N.Y "
2022-12-26 10:00:00,Busloads of migrants dropped off near Kamala Harris's home on Christmas Eve,Two busloads of migrants were also sent to U.S. Vice President Kamala Harris's home in September. Saul Loeb/AFP via Getty Images 
