DATE,TITLE,SUMMARY
2022-01-03 15:48:06,Schumer threatens imminent vote on Senate rules change,The majority leader said they would debate changes to the chamber's rules unless Republicans allowed a vote on elections reform.
2022-01-03 09:30:11,'It's only gotten worse': The long shadow of the night that broke the House,"For most Democrats, the biggest affront wasn't even the violence by Donald Trump's supporters. It was the votes more than 140 of their GOP colleagues took afterward."
2022-01-03 09:30:03,Could Jan. 6 happen again?,The Capitol Police has made progress under a new chief. But many on the Hill don't have an easy answer.
2022-01-03 02:13:59,Harry Reid to lie in state in Capitol Rotunda,The former Senate majority leader died last Tuesday.
2022-01-02 18:29:03,Twitter bans personal Greene account for Covid misinformation,"“Twitter is an enemy to America and can’t handle the truth,” Marjorie Taylor Greene said."
2022-01-02 16:41:56,"Members of Congress interacted with Jan. 6 rioters, Rep. Thompson says",But it’s not clear how extensive or significant those interactions were.
2022-01-02 16:06:40,Liz Cheney on Trump: He’s a threat to American democracy,"“He crossed lines no American president has ever crossed before,” she said."
2022-01-02 15:12:31,Capitol Police chief says force remains short-staffed,"“We’re now really about 400 officers short of where we need to be,” J. Thomas Manger said."
2022-01-01 12:00:01,Efforts to Trump-proof presidential certification crash into congressional realities,"As lawmakers weigh how to safeguard the certification of elections from a future Jan. 6 attack, they’re facing one huge constitutional roadblock."
2022-01-03 18:32:46,MTG hit with Facebook suspension after Twitter ban,"“Facebook has joined Twitter in censoring me,” Greene (R-Ga.) wrote on Gettr, a social media platform favored by some right-wing conservatives."
2022-01-03 16:23:45,Capitol Police union douses private security proposal,"“We need to hire more officers — period. The last thing we need are private security contractors who are not trained to our standards,” the chair of the union said in a statement sent to POLITICO."
2022-01-03 15:48:06,Schumer tries to jump-start Dems with rules change threat,The majority leader said they would debate changes to the Senate's rules unless Republicans allow a vote on elections reform.
2022-01-03 09:30:11,‘It’s only gotten worse’: The long shadow of the night that broke the House,"For most Democrats, the biggest affront wasn’t even the violence by Donald Trump’s supporters. It was the votes more than 140 of their GOP colleagues took afterward."
2022-01-04 18:59:36,'I don't think that's a good idea': GOP shudders at Trump Jan. 6 speech,"Republican Sen. Pat Toomey said the event isn’t a “terribly good idea,” but added, “What am I going to do about it?”"
2022-01-04 18:43:47,Manchin on Biden's spending bill: 'No negotiation going on',
2022-01-04 17:59:34,Manchin on Biden's spending bill: 'No negotiation going on',The West Virginia senator thinks Democrats would be better off focusing on climate provisions in their wide-ranging megabill.
2022-01-04 15:46:06,Gallego: Garland 'extremely weak' on Jan. 6 cases,The Arizona Democrat also directed his ire at GOP lawmakers who he accused of trying to shield Jan. 6 rioters.
2022-01-04 01:41:27,Bobby Rush to relinquish 30-year hold on House seat,"The veteran Illinois congressman and former Black Panther leader said, “I’m not retiring … I’m just entering into a new level of my life.”"
2022-01-04 18:59:36,GOP shudders at Trump Jan. 6 speech,"Republican Sen. Pat Toomey said the event isn’t a “terribly good idea,” but added, “What am I going to do about it?”"
2022-01-05 03:16:20,Rep. Brenda Lawrence becomes 25th House Democrat to retire,"The four-term Michigan lawmaker had climbed the ranks, but a new congressional map ditched two majority-minority districts and virtually eliminated her current seat."
2022-01-04 18:59:36,Trump cancels Jan. 6 event amid GOP complaints,"Republican senators said the press conference wasn't a ""good idea"" hours before the former president canceled it."
2022-01-06 20:56:09,Biden lays out the stakes for democracy. Can he sustain the case?,"The president’s speech on Thursday was hailed by fellow Democrats. Now, they want him to keep at it."
2022-01-06 20:48:52,'Hamilton' cast members perform virtually for Jan. 6 anniversary,
2022-01-06 18:58:08,Schumer and Pelosi deliver remarks and hold moment of silence for Jan. 6 anniversary,
2022-01-06 15:27:19,Biden decries Trump’s ‘singular responsibility’ for the Capitol riot,"One year since the violence of Jan. 6, 2021, the sitting president sharpened his rhetoric toward his predecessor — without using Trump’s name."
2022-01-06 12:00:29,How one Congressman’s act of service will be forever memorialized,"One year later, it’s still hard for the congressman to make sense of what happened at the Capitol."
2022-01-06 09:30:47,"Jan. 6, in their own words: Members of Congress look back and forward",Democrats and Republicans alike spoke frankly with POLITICO about how they've dealt with the attack and how it's affected both them personally and the institution of Congress.
2022-01-06 09:30:43,"One year later, congressional staffers reckon with their new normal","The trauma of the violence on Jan. 6, 2021, still reverberates for many of the aides who make Capitol Hill tick."
2022-01-06 00:39:17,How one Congressman’s act of service will be forever memorialized,
2022-01-05 19:48:26,Capitol Police Chief talks to Congress on what’s changed since Jan. 6 a year later,
2022-01-05 16:20:49,McConnell cracks door to Electoral Count Act reform,"“It obviously has some flaws. And it is worth, I think, discussing,” the Senate minority leader said Wednesday."
2022-01-05 15:44:38,January 6 Committee Chair wants to hear directly from Pence,
2022-01-07 18:23:50,Pelosi invites Biden for March 1 State of the Union address,The scheduling of Biden’s State of the Union comes at a fragile time for his administration’s agenda.
2022-01-07 14:18:31,Ted Cruz walks back Jan. 6 'terrorist' remark in heated exchange with Tucker Carlson,
2022-01-07 09:31:56,"Bill Clinton, Oprah and his fellow centrists: Dems go all-out to sway Manchin",Sen. Tim Kaine (D-Va.) likened lobbying his colleague to change the filibuster to his 27-hour drive earlier this week after a snowstorm devastated I-95.
2022-01-07 09:30:08,House Intel’s next top Republican prepares a sharp turn from the Trump years,"Now that ex-Rep. Devin Nunes is gone, lawmakers in both parties are hoping bitter fights can cease as Rep. Mike Turner replaces him."
2022-01-06 09:30:47,‘I was scared. And then I got really angry’: Members of Congress look back at Jan 6,Democrats and Republicans alike spoke frankly with POLITICO about how they've dealt with the attack and how it's affected both them personally and the institution of Congress.
2022-01-09 16:17:05,GOP senator says Trump’s election allegations are unfounded,"“The election was fair, as fair as we have seen,” Mike Rounds said."
2022-01-08 17:41:08,Senate Minority Whip John Thune to run for reelection,The 61-year-old South Dakotan is widely viewed as a potential successor to Senate Minority Leader Mitch McConnell
2022-01-10 02:05:34,Rep. Jim Jordan says he won’t cooperate with Jan. 6 committee’s interview request,"HIs decision follows a similar rejection by Rep. Scott Perry, the only other lawmaker whose testimony the panel has requested so far."
2022-01-11 21:54:23,"Jan. 6 panel subpoenas Trump Jr. advisers, Trump speechwriter","The subpoenas for Andrew Surabian, Arthur Schwartz and Ross Worthington indicate investigators are inching ever closer to the Trump family."
2022-01-11 21:33:49,'What a moron': Fauci argues with GOP senator over financial disclosures,"In response to Roger Marshall’s questioning, the NIAID director and top White House medical adviser said his disclosures had been “public knowledge” for over 30 years."
2022-01-11 21:29:02,Jan. 6 investigators near decisions on how to pursue Mike Pence and GOP lawmakers,Chair Bennie Thompson said Tuesday both matters are high on the committee’s to-do list.
2022-01-11 20:28:29,Senators grill feds over Jan. 6 riot probe,"Democrats challenged prosecutors for not seeking terrorism-related sentences, while Republicans often steered away from the insurrection altogether."
2022-01-11 19:34:27,Fauci calls Sen. Marshall a moron on hot mic after clash over financial disclosures,
2022-01-11 18:22:39,Senators Schumer and Cornyn share same chart to debate changing filibuster rules,
2022-01-11 09:30:42,The fate of the filibuster: Your guide to the changes Dems really want,Eliminating the Senate's 60-vote threshold needed to pass most bills isn't on the table right now. What is up for debate is more complicated.
2022-01-11 00:10:58,Dems' filibuster conundrum: It's not just Manchin and Sinema,Mark Kelly is undecided. Jon Tester likes a talking filibuster but is “not crazy” about making an exception for elections reform. And Jeanne Shaheen is promoting more modest changes.
2022-01-11 00:09:31,Biden administration hits the Hill to lobby Dems against GOP-backed Russia sanctions,But some centrists left the room noncommittal on Sen. Ted Cruz's push to block a gas pipeline that would benefit Moscow.
2022-01-10 19:02:45,McCarthy says he plans to kick 3 Democrats off their committee assignments if Republicans win majority next year,
2022-01-10 09:30:46,Jan. 6 panel ramps up investigation into Trump's state-level pressure,"POLITICO has identified the information the committee has received from key swing states, as lawmakers prepare to take their findings public."
2022-01-12 09:30:23,The shadow race to succeed McConnell is on — and all-John,Thune and Cornyn are best-positioned to become the next Senate GOP leader — but Barrasso is in the mix too.
2022-01-14 09:30:03,What Democrats put in their voting rights megabill — and what got left out,The massive legislative package would make massive changes to how people vote as well as redistricting and campaign finance.
2022-01-14 02:51:33,Dems torpedo Cruz’s bid to sanction Russian pipeline,"A nearly party-line vote scuttled the Texas senator's attempt to punish Putin, but a new bill is waiting in the wings."
2022-01-13 22:34:22,How Biden swung for filibuster reform — and missed with Manchin and Sinema,Senate Majority Leader Chuck Schumer said the chamber would postpone a previously scheduled recess and return Tuesday to begin debating the election and voting legislation.
2022-01-13 22:02:11,Congress launches funding talks ahead of February shutdown cliff,"The Hill's top four spending leaders met amicably for the first time in months, a sign that they could move beyond the funding stalemates."
2022-01-13 18:53:15,"Sinema: Supports widening access to ballot, won’t support filibuster",
2022-01-13 17:45:44,McCarthy blames Pelosi for playing politics with Jan 6 commission,
2022-01-13 17:24:16,"House passes voting legislation, sends bill to Senate",
2022-01-13 15:48:14,McCarthy on why he rejected Jan. 6 committee's request for testimony,
2022-01-13 15:00:48,Cheney says McCarthy ‘has an obligation to come forward’ to Jan 6 committee,
2022-01-13 09:30:36,GOP grabs for the post-Trump upper hand on Moscow,Republicans are seeking a Russia reboot with a high-profile Senate sanctions vote on Thursday. But Democrats have their own harsh alternative.
2022-01-13 09:30:14,Trump is eyeing the White House and wants a more compliant Senate for when he gets there,The former president still is angry that key agenda items got stymied in the chamber. He doesn’t want that to happen again.
2022-01-12 20:51:35,McCarthy rejects Jan. 6 committee request for testimony about talks with Trump,"The House minority leader, who helped scuttle an attempt to establish a bipartisan commission to investigate the insurrection, has spent months thrashing the select committee."
2022-01-12 19:00:44,McConnell bashes Biden's speech on election reform,
2022-01-12 18:36:18,Former Senate majority leader Harry Reid lies in state in US Capitol,
2022-01-12 16:26:40,Schumer reveals endgame for clash over filibuster and voting reform,The majority leader will trigger the battle over changing Senate rules when he moves to end debate on Democrats' election reform bills.
2022-01-16 15:20:46,Clyburn on election reform bills: We're not giving up,"“People of goodwill are going to break their silence and help us win this battle,” he said."
2022-01-18 09:30:17,How a GOP majority in Congress might handle Biden in 2023,"Republicans emboldened about their prospects to retake the House and maybe even the Senate, too, are already gauging their governing relationship with the president."
2022-01-18 09:30:11,Dems stare down another failure to deliver for their base,Party lawmakers are starting to acknowledge the looming election reform defeat their leaders won't publicly concede. What to tell voters is the big question.
2022-01-16 17:31:18,Romney on election reform: I never got a call from the White House,"“He’s got to recognize that when he was elected, people were not looking for him to transform America,” he said of President Joe Biden."
2022-01-20 13:25:58,Vice President responds to blocked voting rights bill,
2022-01-20 13:07:48,Voting rights bill gets blocked in the Senate,
2022-01-20 03:37:04,Why Schumer picked a filibuster fight he couldn't win,"The Democratic leader, who'd used the Senate's 60-vote margin to his advantage in the past, took his time — and peeled off dozens of skeptics."
2022-01-20 02:29:02,McCarthy raises $9.5M at major Washington fundraiser,The House minority leader and his party are aiming to win control of Congress in the fall.
2022-01-20 00:07:47,"‘Our country exposed our own veterans to poison,’ Jon Stewart tells Congress",
2022-01-19 21:51:06,Top donors threaten to cut off funding to Sinema,"The donors said they will support a primary challenge, and demanded that the senator refund their contributions."
2022-01-19 21:17:43,Donor Letter to Sen. Kyrsten Sinema,"A letter from ""Senate donors and concerned Americans"" to Sen. Sinema urges her to support changing the Senate rules in order to pass the Freedom to Vote Act and John Lewis VRA Act."
2022-01-19 19:31:21,"White House to Dems: Tout the $2.4T you got passed, ignore the infighting",The message delivered to the House's jittery majority ahead of the midterms comes as some lawmakers are intent on reviving their stalled party-line spending bill.
2022-01-19 18:30:42,McConnell: Dems consumed by fake panic over election laws,
2022-01-19 18:06:55,Manchin: ‘I’ve never changed my mind on the filibuster’,
2022-01-19 18:05:27,Schumer makes final appeal for filibuster rules change on Senate floor,
2022-01-19 18:03:12,"Thune: Republicans won’t change the filibuster when they’re next in the majority, unless Democrats do now",
2022-01-18 20:11:22,"Manchin: Primary me if you want, I won't go 'nuclear'","Democrats are likely to try to revive the ""talking filibuster"" in a doomed bid to pass election reform. Their two centrists still aren't on board."
2022-01-18 19:25:25,"Langevin won't seek reelection, opening Rhode Island seat",Langevin’s departure is shocking in part because Rhode Island defied most reapportionment projections to keep its second House district after the 2020 Census.
2022-01-18 17:00:16,GOP takes a potent but risky new path: Hitting Biden on Covid,Republicans are betting — despite Donald Trump's past pandemic stumbles — that spiking cases and public exhaustion can help their case against the president.
2022-01-21 17:21:57,Read the never-issued Trump order that would have seized voting machines,"The Jan. 6 select panel has obtained the draft order and a document titled ""Remarks on National Healing."" Both are reported here in detail for the first time."
2022-01-21 09:30:34,'Dangerous precedent': Jan. 6 committee trains its sights on false pro-Trump electors,GOP officials in five states illegitimately claimed to be qualified to declare Donald Trump the winner in 2020. And Trump allies were openly involved.
2022-01-21 09:30:24,Democrats slim down ambitions after back-to-back failures,They'll try to revive their domestic spending bill and they want to keep fighting for election reform. None of that's expected to play out soon.
2022-01-20 19:31:48,"Pelosi on retooled BBB: ‘It may be limited, but it is still significant’",
2022-01-20 19:16:44,McCarthy open to Electoral Count Act reform,
2022-01-20 18:42:41,McCarthy open to Electoral Count Act reform,The House GOP leader joins Mitch McConnell in indicating openness to changing a 135-year-old law leveraged by Donald Trump allies.
2022-01-20 17:05:29,Jan. 6 panel will target Ivanka Trump for questioning,Investigators want to know more about her intervention to try to convince former President Donald Trump to address the Capitol mob during the attack.
2022-01-23 16:04:31,Sanders backs Arizona Democrats' censure of Sinema,"“I think what the Arizona Democrats did was exactly right,” he said."
2022-01-23 15:44:47,GOP senator: Dems need to worry about voting rights in their home states,Iowa’s Joni Ernst pushed back on complaints about newly enacted state laws.
2022-01-22 19:53:14,Arizona Democratic Party censures Sinema over voting rights stance,Top donors have threatened to stop funding the senator if she didn’t reevaluate her opposition to a filibuster carve-out.
2022-01-25 09:30:00,Meet the mild-mannered progressive who’s breaking the filibuster,"More than any other senator, Jeff Merkley has frayed the fabric of the chamber’s vaunted 60-vote threshold. And he doesn’t mind if that’s used against his own party in the future."
2022-01-24 23:46:43,8 senators revive Russia sanctions push as Ukraine invasion fears mount,The group met virtually on Monday to discuss revisions to Democrats' proposal that might win over 10 GOP senators.
2022-01-24 16:14:03,"Capitol Police examines backgrounds, social media feeds of some who meet with lawmakers","The little-known new practice by the department’s intelligence analysts, instituted since the Jan. 6 attack, is highly controversial given the civil liberties concerns it raises."
2022-01-24 09:30:00,Tom Emmer's on a roll. He won't say where to.,"The House GOP campaigns chief who exceeded expectations in 2020 is poised for a bigger 2022 — and a path up the ranks, if he grabs it."
2022-01-27 09:30:00,Schumer gives Senate's newest bipartisan gang breathing room on post-Jan. 6 reform,"The majority leader isn't crushing the 16 lawmakers working to alter the Electoral Count Act, despite saying it was “unacceptably insufficient"" compared to voting reform."
2022-01-26 18:25:18,Supreme Court confirmation fight to make history in 50-50 Senate,"Democrats don't need Republicans' support to confirm Justice Stephen Breyer's successor, but Majority Leader Chuck Schumer still has his work cut out for him."
2022-01-26 15:13:33,Hoyer: State of the Union speech ‘is not a deadline for one thing or another’,
2022-01-25 19:54:18,"Hoyer: Voting rights bill, BBB 'very much alive'",The House majority leader expressed optimism but didn't offer specifics.
2022-01-30 16:37:51,‘I can’t think of a better person’: Graham boosts South Carolina’s Childs for SCOTUS seat,"""There is no affirmative action component if you pick her,"" the GOP senator said."
2022-01-30 14:50:40,Senators spar over Biden’s pledge to pick Black woman for SCOTUS seat,Dick Durbin referenced Ronald Reagan and Donald Trump in defending the president.
2022-01-31 09:31:00,House Democrats pivot to economy in search of next legislative win,"With battleground-district members especially anxious over rising inflation and a snarled supply chain, they're set to push a sweeping manufacturing bill to the floor."
2022-01-31 09:30:00,The Jan. 6 panel's on a hot streak against Trump World. Now what?,"Investigators have won a string of victories in court and in obtaining testimony and records. Now, they have to make those findings tangible to the public."
2022-01-31 09:30:00,The 3 Republicans to watch as Biden picks his SCOTUS nominee,This trio has backed the president's judicial picks so far at a comparable rate to the centrist Democrats who most often backed Donald Trump's picks.
2022-01-30 16:37:51,‘I can’t think of a better person’: Graham boosts South Carolina’s Childs for SCOTUS,"”There is no affirmative action component if you pick her,"" the Republican senator said."
2022-01-31 18:54:24,Manchin: It’s ‘beyond time’ for a Black Woman to serve on SCOTUS,
2022-02-02 16:20:51,Jan. 6 committee member: Trump ‘absolutely’ tampering with witnesses,
2022-02-02 12:42:46,Jan. 6 committee member: Trump ‘absolutely’ tampering with witnesses,The former president has repeatedly suggested that he may pardon the Capitol rioters or other people associated with the insurrection if he wins a second term.
2022-02-02 09:30:00,Why Lindsey Graham is going all-in on Biden SCOTUS pick,"The South Carolina Republican swung from Trump critic to supporter, and now he's swinging from Biden antagonizer to potential ally."
2022-02-02 00:20:21,Luján stroke sends Senate Democrats reeling,"While the 49-year-old New Mexico Democrat is expected to make a full recovery, Democrats lose their working majority in his absence."
2022-02-01 22:49:38,"Senate at odds over race of SCOTUS pick, in 180 seconds",
2022-02-01 20:54:01,McConnell: No pardons for Jan. 6 rioters,
2022-02-01 02:37:59,Sinema’s grassroots donor pool dries up,The Senator smashed personal fundraising records at the end of 2021. But her support among small dollar givers was tiny.
2022-02-01 02:22:17,House accuses Trump attorney John Eastman of stalling on Jan. 6 subpoena,The general counsel said Eastman was seeking to “defeat” the summons by reviewing the earliest records first rather than those from around the Electoral College showdown.
2022-02-01 00:09:40,Senate Dems back off Manchin and Sinema — except Bernie,"With zero margin for error, the party needs the centrist senators' votes for both a Supreme Court confirmation and President Joe Biden’s social spending bill."
2022-02-04 18:00:41,Congressional staffers launch unionization push with Democrats' support,"The move comes one day after Speaker Nancy Pelosi endorsed a union, but the House and Senate would have to approve a right to codify a union by certain workers."
