DATE,TITLE,SUMMARY
2022-11-07 13:12:00,Things A Republican-Held Congress Plans To Do Immediately,
2022-11-07 12:15:00,Study Finds 100% Of Relationships Last Forever,
2022-11-07 12:00:00,Usain Bolt Recalls Discovering Talent For Running Through Corporate Wellness Challenge,
2022-11-07 11:45:00,Centrist Advocates Moderate Approach To Genocide,
2022-11-07 11:30:00,Regular Been Coming To Local Diner Long Enough To Know All The Forks By Name,
2022-11-07 11:15:00,"Miss Argentina, Miss Puerto Rico Reveal They Are Married",
2022-11-07 11:00:00,All Of Man’s Best Clothes Associated With Relationship He Destroyed,
2022-11-07 20:55:00,Raphael Warnock Surges In Polls After Taking Off Glasses,
2022-11-07 20:30:00,Elon Musk Touts Project To Teach Neuralink Monkeys To Commit Sexual Harassment,
2022-11-07 19:09:00,Astros Win First World Series Since Cheating Scandal,
2022-11-07 18:41:00,Bullied Loner Plans Office Shooting,
2022-11-07 18:30:06,Americans Explain Why They Are Not Voting In The Midterms,
2022-11-08 13:09:00,Stressed-Out Woman Treats Herself To Additional $400 Of Credit Card Debt,
2022-11-08 12:30:00,Scientists Discover Fluffy Planet With Density Of A Marshmallow,
2022-11-08 12:15:00,Nursing Home CEO Afraid He’ll End Up In One Of Those Places He Owns,
2022-11-08 12:00:00,Most Brilliant Ways Elon Musk Plans To Make Twitter Profitable,
2022-11-08 11:45:00,Cheeks Of Adorable Pet Hamster Filled With Own Babies,
2022-11-08 11:30:00,Armed Conservative Monitoring Polling Site Disappointed How Few People Vote In Midterms,
2022-11-08 11:15:00,Kidnapper Not About To Wake Up At 5 A.M. To Abduct Jogging Woman,
2022-11-08 11:00:00,Obama Claims He’s Still President After Seeing How Susceptible Voters Are To Conspiracy Theories,
2022-11-08 17:23:06,Republican Voters Given Toll-Free Number To Call If They Witness Legitimate Vote,
2022-11-08 17:09:00,"Elderly Poll Watcher Doing Slow, Confused Job Of Intimidating Voters",
2022-11-08 21:07:00,U.N. Chief Tells Climate Summit: Cooperate Or Perish,
2022-11-09 13:16:00,Scenes From The Midterm Elections,
2022-11-09 13:15:00,Kamala Harris Loses Benefits After Hours Get Cut At Work,
2022-11-09 13:14:00,AI Software Company Patches Bug That Caused App To Treat Black People Equally,
2022-11-09 11:00:00,National Park Service Urging Visitors To Stop Licking Toxic Psychedelic Toads,
2022-11-09 18:37:00,Smiling Fetterman Asks Oz If He’d Mind Slowly Repeating Concession For 5th Time,
2022-11-09 17:37:15,Dumbass Nation Puts Congress In Power Again,
2022-11-09 16:35:00,Victorious Senator Vows To Still Fight For Billionaires Who Didn’t Funnel Dark Money Into Campaign,
2022-11-09 16:20:00,New Legislation Would Prohibit Texting While Stabbing,
2022-11-09 13:22:00,What To Say To Someone Who Is Saving Themselves For Marriage,
2022-11-09 22:20:00,Biggest Winners And Losers From The Midterm Elections,
2022-11-09 20:35:00,Chris Evans Named ‘People’ Magazine’s 2022 Sexiest Man Alive,
2022-11-09 19:40:00,Winklevoss Twins Spend Joyous Afternoon Jerking Each Other Off,
2022-11-09 19:15:00,Beto O’Rourke Asks Advisors If Getting Paralyzed By Tree Would Help 2026 Election Chances,
2022-11-10 11:30:00,Clueless Commuters Walk Past World-Famous Subway Masturbator Without Realizing,
2022-11-10 11:15:00,Tearful U.N. Secretary Holds Up Glacier’s Remains As Dire Climate Warning,
2022-11-10 11:00:00,Moment Of Silence Sponsored By Foot Locker,
2022-11-10 14:54:00,They Said A Rock Could Never Have A Tasty Little Guy Inside: How Oysters Proved Everyone Wrong,
2022-11-10 13:55:00,‘Call Of Duty’ Adds Premium Skin Only Available To Players Who Kill Someone In Real Life,
2022-11-10 13:37:00,Things That Will Get You Permanently Banned From Elon Musk’s Twitter,
2022-11-10 13:29:00,How Should We Reduce Political Polarization?,
2022-11-10 13:25:00,A Real Ship Show,
2022-11-10 13:18:00,I’d Probably Do Fine In Prison Because I Get Along With Everybody,
2022-11-10 12:00:00,Stolen Bitcoin Worth $3 Billion Found In Popcorn Tin,
2022-11-10 11:45:00,Kid Could Afford To Be More Discerning About Which Rocks Are Worth Collecting,
2022-11-10 20:33:00,First Gen Z Member Elected To Congress,
2022-11-10 17:40:00,Onion Sports’ NFL Week 10 Picks,
2022-11-11 12:00:00,Parents At Zoo Shield Children’s Eyes From Gorillas Having Public Execution,
2022-11-11 11:45:00,Study Finds Majority Of Americans Die Within Same Trash Compactor They Were Born Into,
2022-11-11 11:30:00,Twitter Employees React To Getting Laid Off,
2022-11-11 11:15:00,Trophy Shopper Poses With 200 Pounds Of Pre-Packaged Ground Beef,
2022-11-11 11:00:00,Voters Reelect Dead Pennsylvania State Representative,
2022-11-11 21:13:00,The Onion Mourns The Passing Of Gallagher,
2022-11-11 21:00:00,The Onion’s Guide To Renewable Energy,
2022-11-11 20:55:00,Sam Bankman-Fried Sobs After Accidentally Dropping Last Crypto Down Sewer Grate,
2022-11-11 20:03:00,KFC Apologizes For Kristallnacht Chicken And Cheese Promotion,
2022-11-11 18:50:00,Crypto Confidence Soars After CEO Defrauds Customers Just Like Real Bank,
2022-11-11 18:45:00,Raphael Warnock Loses All Faith In God After Being Forced Into Runoff Against Herschel Walker,
2022-11-11 18:24:00,U.S. Pledges To Reduce Reliance On Energy Siphoned From Unconscious Americans Living In Simulation,
2022-11-11 18:22:33,Honor Our Troops By Watching Over This Sleeping Soldier,
2022-11-13 11:00:00,"Week In Review: November 13, 2022",
