DATE,TITLE,SUMMARY
2023-01-09 16:45:00,Ep. 1642 - The Institutional Collapse Of The West,Click here to join the member exclusive portion of my show: https://utm.io/ueSEj
2023-01-10 17:00:00,Ep. 1643 - The Most Hilarious Story Of The Year,Click here to join the member exclusive portion of my show: https://utm.io/ueSEj
2023-01-11 16:45:00,Ep. 1644 - Pete Buttigieg Can’t Make The Planes Fly On Time,Click here to join the member exclusive portion of my show: https://utm.io/ueSEj
2023-01-12 16:45:00,Ep. 1645 - Prince Harry’s Big Tell-All: The Full Breakdown,Click here to join the member exclusive portion of my show: https://utm.io/ueSEj
2023-01-13 16:45:00,Ep. 1646 - Joe Biden’s Garage Is Full Of Classified Documents,Click here to join the member exclusive portion of my show: https://utm.io/ueSEj
2023-01-15 13:00:00,Frank Pavone  | The Ben Shapiro Show Sunday Special Ep. 134,Become a Daily Wire member to access the full conversation with Father Pavone: https://bit.ly/3U3ClhY  
2023-01-16 16:45:00,Ep. 1647 - Joe Biden Left Classified Information Pretty Much Everywhere,Click here to join the member exclusive portion of my show: https://utm.io/ueSEj
2023-01-17 16:45:00,Ep. 1648 - The Battle Over Racial Reparations,Click here to join the member exclusive portion of my show: https://utm.io/ueSEj
2023-01-15 13:00:00,Frank Pavone | The Ben Shapiro Show Sunday Special Ep. 134,Become a Daily Wire member to access the full conversation with Father Pavone: https://bit.ly/3U3ClhY  
2023-01-18 16:45:00,Ep. 1649 - Greta Thunberg Has Been Detained,Click here to join the member exclusive portion of my show: https://utm.io/ueSEj
2023-01-19 16:45:00,"Ep. 1650 - “Global Warming Will Kill Us All, So Give Us Ultimate Power”",Click here to join the member exclusive portion of my show: https://utm.io/ueSEj
2023-01-20 16:45:00,Ep. 1651 - How Steven Crowder Betrayed His Friends,Click here to join the member exclusive portion of my show: https://utm.io/ueSEj
2023-01-23 16:45:00,Ep. 1652 - Yet More Biden Classified Documents Found,Click here to join the member exclusive portion of my show: https://utm.io/ueSEj
2023-01-24 16:45:00,Ep. 1653 - The Results Of Ideal Left-Wing Parenting,Click here to join the member exclusive portion of my show: https://utm.io/ueSEj
2023-01-25 16:45:00,Ep. 1654 - California vs. Florida: The Great Battle,Click here to join the member exclusive portion of my show: https://utm.io/ueSEj
2023-01-26 16:45:00,Ep. 1655 - Facebook Readmits Trump,Click here to join the member exclusive portion of my show: https://utm.io/ueSEj
2023-01-27 16:45:00,"Ep. 1656 - Biden’s Recession Is Coming, And He’s Ready To Blame Republicans",Click here to join the member exclusive portion of my show: https://utm.io/ueSEj
2023-01-30 16:45:00,"Ep. 1657 - When Black Cops Brutalize A Black Man, That’s White Privilege",Click here to join the member exclusive portion of my show: https://utm.io/ueSEj
2023-01-31 16:45:00,Ep. 1658 - Will The Ukraine War Turn Into World War III?,Click here to join the member exclusive portion of my show: https://utm.io/ueSEj
2023-02-01 16:45:00,"Ep. 1659 - Hunter Biden Is An Evil Scumbag, Not A Victim",Click here to join the member exclusive portion of my show: https://utm.io/ueSEj
2023-02-02 16:47:00,"Ep. 1660 - If You’re Black And Cops Kill You, The Vice President Will Speak At Your Funeral",Click here to join the member exclusive portion of my show: https://utm.io/ueSEj
2023-02-03 17:06:21,Ep. 1661 - Coward Biden Lets China Send Spy Balloon Over America,Click here to join the member exclusive portion of my show: https://utm.io/ueSEj
2023-02-05 13:00:00,Ana Kasparian | The Ben Shapiro Show Sunday Special Ep. 135,"Our guest, Ana Kasparian, is a progressive political commentator, media host, and journalist. She is the executive producer and co-host of “The Young Turks,” a progressive internet news show with over 5 million YouTube subscribers. In today’s episode, Ana crosses the aisle for a good-faith discussion about breaking ideological bubbles and finding nuance in complex political issues. "
2023-02-06 16:42:00,Ep. 1662 - Getting Satanic At The Grammys,Click here to join the member exclusive portion of my show: https://utm.io/ueSEj
2023-02-07 16:59:23,Ep. 1663 - ChatGPT Prefers Nuclear Apocalypse To The N-Word,"While the tech community drools over the possibilities of AI technology, we explore the biases written into the programming; Oklahoma trans radicals storm the State Capitol; and Biden preps for the State of the Union as his poll numbers flounder."
2023-02-08 16:45:00,Ep. 1664 - Angry Old Man Screams At Americans,Joe Biden gives an endless State of the Union Address in which he lies repeatedly and yells at Americans about how democracy will be finished unless we spend endless amounts of money…and the media predictably gush. 
2023-02-08 06:04:00,Daily Wire Backstage: State of the Union 2023 Coverage,Only DailyWire+ members can watch the member block portion of the show. Join now: https://bit.ly/3uOaVlp
2023-02-09 16:45:00,Ep. 1665 - Woke Voldemort Comes For Harry Potter,The woke Left goes after Hogwarts Legacy for the supposed transphobia of Harry Potter author JK Rowling; Matt Walsh humiliates a Democratic legislator over child genital mutilation; and former Twitter executives get grilled for censorship by Congressional Republicans.
2023-02-10 16:45:00,Ep. 1666 - Will A Whistleblower Spill The Beans On The Bidens?,A Republican Senator says a whistleblower is spilling the beans on the Bidens; Joe prepares to spend even more money as the “experts” happy talk the economy; and the Church of England endorses same-sex marriage.
2023-02-13 16:45:00,Ep. 1667 - Have The Aliens Arrived?,The American military shoots down three unidentified flying objects in a week – and we examine what the hell they might be; we review the Super Bowl’s cultural highlights and lowlights; and The Washington Post stands up for those most affected by Valentine’s Day – the asexual.
2023-02-14 16:45:00,"Ep. 1668 - Record Numbers Of Teen Girls Are Suicidal. Thanks, Social Justice Warriors!",New data from the CDC shows record levels of depression and suicidal ideation among teenage girls – and it’s no mystery why; the CDC adds the covid vaccine to its childhood vaccine recommendation list; and Pete Buttigieg’s latest transportation disaster is derailing his political future.
2023-02-16 16:45:00,Ep. 1670 - The LGBTQ+-&$# Cancellers Come For The New York Times,Leftist activists launch an assault on The New York Times for its shockingly objective coverage of the trans agenda; Nikki Haley officially launches her 2024 campaign with a speech that slaps both Biden and Trump; and the Congressional Budget Office reports that America’s national debt is headed for disaster.
2023-02-15 17:01:28,"Ep. 1669 - Biden’s America: Massive Inflation, Chinese Spy Balloons, And Exploding Trains",Inflation won’t come down as Joe Biden keeps touting his big spending agenda; we still have no clue why the military keeps shooting down random objects in the sky; and Nikki Haley declares a presidential run.
2023-02-17 16:47:15,"Ep. 1671 - Fetterman Hospitalized Again, Proving How Gross Top Democrats Are",Pennsylvania Senator John Fetterman checks himself into the hospital as some Democrats call for his wife to become the new senator; Joe Biden admits that he’s been shooting down random objects; and Bing’s new AI is creepy and needy.
2023-02-21 16:45:00,"Ep. 1672 - Biden Visits Ukraine, Not Ohio Or The Border","After two weeks of humiliating screw-ups, Joe Biden tries a reset by flying to Ukraine; China threatens intervention in the Ukraine war; and Roald Dahl’s children's books are now being rewritten for woke purposes."
2023-02-22 16:45:00,Ep. 1673 - Biden Embeds Racism Into The Entire Federal Government,Joe Biden issues a transformative executive order designed to embed “equity” in every nook and cranny of American life; a shocking number of social media videos emerge showing children beating the living hell out of each other at school; and Biden garbles his message in Ukraine.
2023-02-23 16:45:00,"Ep. 1674 - Trump’s Brilliant Visit To East Palestine, Ohio",Donald Trump outflanks Joe Biden by visiting East Palestine with supplies; Biden falls down the stairs again; and radical race agitator Angela Davis finds out about her white ancestry.
2023-02-22 16:45:00,"Ep. 1673 - Biden Unleashes His Most Racist, Dangerous Executive Order",Joe Biden issues a transformative executive order designed to embed “equity” in every nook and cranny of American life; a shocking number of social media videos emerge showing children beating the living hell out of each other at school; and Biden garbles his message in Ukraine.
2023-02-24 16:45:00,Ep. 1675 - Pete Buttigieg Is A Train Wreck,"Secretary of Transportation Pete Buttigieg visits East Palestine and proceeds to make a mess of things; the Alex Murdaugh trial gets dramatic with the defendant taking the stand; and we deconstruct Miley Cyrus’ hit song, Flowers."
2023-02-27 16:45:00,Ep. 1676 - The Greatest Cover-Up In History,"The Energy Department and FBI finally admit that covid-19 probably started in a Chinese lab; Joe Biden can’t answer why he won’t go to East Palestine; and the Left proves that racism is fine, so long as it’s against white people."
2023-02-28 16:45:00,Ep. 1677 - Musk Calls The Media Racist – And He’s Right,"After Scott Adams’ racial remarks get his comic booted from newspapers across America, Elon Musk calls the media racist; Dwyane Wade’s son is transitioned against the will of his mother, and the media celebrate; and Joe Biden says you’d better have a childcare plan if you want to manufacture microchips in America."
2023-03-01 16:46:52,Ep. 1678 - Voters Give Radical Chicago Mayor Lori Lightfoot The Boot,"Mayor Lori Lightfoot doesn’t even make it past the first round of voting in Chicago; a St. Louis man shoots a homeless man point blank on the street, and we examine the reasons why; and the Supreme Court considers striking down Joe Biden’s student loan bailout as Democrats whine."
2023-03-02 16:54:54,"Ep. 1679 - This Women’s History Month, All The Best Women Are Men",Hershey’s celebrates Women’s History Month by featuring a dude who says he’s a lady; Lori Lightfoot claims she lost her mayoralty because Chicago is MAGA country; and Greta Thunberg gets herself arrested for the cameras again.
2023-03-03 16:41:23,Ep. 1680 - IHateHersheys.com,"After Hershey’s decides to virtue signal to the radical trans agenda, we launch Jeremy’s Chocolate; John Kerry calls for an energy revolution, but the facts don’t back him up; and John Fetterman is apparently sponsoring legislation from a mental hospital."
2023-03-04 13:00:00,Fine. I'll do it. Introducing Jeremy's Chocolate.,"Yes, it’s real. "
2023-03-05 15:00:00,Exclusive Fireside Chat With Gov. Ron DeSantis,"Ben Shapiro sits down with Gov. Ron DeSantis to discuss the Governors experience being a blue-collared kid that went to Yale and Harvard, his time as senator, and his decision to leave the senate to run for governor. Gov. DeSantis also dives into his reasoning behind handling COVID differently from other governors as well as the Florida Blueprint."
2023-03-06 16:45:00,Ep. 1681 - Chris Rock Leads The Anti-Woke Revolution,Chris Rock goes full anti-woke in his new Netflix special -- and finally comes for his revenge on Will Smith; Jill Biden says she and Joe would never consider a competency test; and Bernie Sanders can’t keep straight the difference between equity and equality.
2023-03-07 16:45:00,Ep. 1682 - Shocking New January 6 Tape Explodes Media Narratives,Tucker Carlson breaks new videotape showing never-before-seen details of January 6 – and those details are shocking; new scandals break surrounding just what Anthony Fauci and CNN did to cover up the Chinese lab leak theory; and an Antifa attack on a police facility in Atlanta implicates employees of the Southern Poverty Law Center.
2023-03-08 17:17:08,Ep. 1683 - Andrew Tate and the Era of Sexual Confusion,"A new tape of Andrew Tate drops in which he explains that he would prefer a well-surgeried transsexual to an ugly woman; after Tucker Carlson drops bombshell new footage of January 6 events, Democratic Senate Majority Leader Chuck Schumer calls for his censorship; and the Fed Chair plans on radically increasing interest rates again."
2023-03-09 16:45:00,Ep. 1684 - The White House vs. Tucker Carlson,The Biden White House goes after Tucker Carlson by name as other media members unleash their rage; Jill Biden celebrates International Women’s Day by giving a medal to a man; and the Justice Department cracks down on the Louisville police department.
2023-03-11 13:00:00,Exodus: Part 2,"Dr. Jordan B. Peterson has captivated millions worldwide with his profound biblical lectures on Genesis. Now, Jordan has gathered a team of formidable scholars, including myself, for an unprecedented, in-depth analysis of Exodus, an academic work to be taken seriously in the modern era."
2023-03-10 16:45:00,Ep. 1685 - Colin Kaepernick Attacks His “Problematic” White Parents,"The world’s least-victimized victim, Colin Kaepernick, turns on the adoptive parents who raised him; Democrats attack journalists Matt Taibbi and Michael Shellenberger for revealing the Twitter Files; and Joe Biden unleashes his nearly $7 trillion budget proposal."
2023-03-12 10:00:00,Piers Morgan | The Ben Shapiro Show Sunday Special Ep. 136,"Piers Morgan is a best-selling author, journalist, television personality, and host of Piers Morgan Uncensored on News UK’s new channel TalkTV. Piers has had a distinguished career in media, and the two of us have become friendly opponents over the last decade, while having mutual appreciation for our ongoing dialogue. "
2023-03-13 16:02:03,Ep. 1686 - Is The Economy About To Melt Down?,Silicon Valley Bank goes belly up as chatter warns about a systemwide banking meltdown; the Oscars shuts out “Top Gun” while rewarding “diversity”; and China continues to get aggressive around the world.
2023-03-14 15:45:00,Ep. 1687 - The Banking Meltdown Continues,"As Joe Biden claims he’s restored order to the markets, bank stocks drop like a stone; the Federal Reserve can’t put the inflation genie back in the bottle without tanking the banks; and Donald Trump launches a new round of absurd attacks on Ron DeSantis."
2023-03-15 15:45:00,Ep. 1688 - Preparing For Financial Armageddon,Moody’s cuts its outlook on the US banking system; the Federal Reserve is stuck between a rock and a hard place; and Joe Biden proposes a gun control edict to distract from looming disaster.
2023-03-16 15:45:00,"Ep. 1689 - $5 Million For Being Black, And Other Terrible Policy Ideas",Credit Suisse draws closer to the edge of collapse as the Saudis pull their funding; San Francisco considers giving $5 million to black adults as race reparations; and wokes go insane over a Charlie Kirk speech while the media declare wokeness is a figment of the imagination.
2023-03-17 15:45:00,Ep. 1690 - The Elites Who Control Our Lives Are F***ing Weird,It’s been three years since “15 Days To Slow The Spread” – and our elites are still failing at their jobs; we meet the head of global markets at Credit Suisse and examine why odd people are suddenly cropping up in all the wrong places; and the Democrats make their move against gas stoves.
2023-03-19 10:00:00,James O’Keefe | The Ben Shapiro Show Sunday Special Ep. 137,Daily Wire members get access to Ben Shapiro's Sunday Special on SATURDAY! Click here to sign up for a membership: https://bit.ly/3kZl51c
2023-03-20 15:45:00,Ep. 1691 - Are They About To Arrest Trump?,Donald Trump tells the world he’ll be arrested on Tuesday and calls for mass protests in the streets; the Biden family’s Chinese payoff racket begins to see the light of day; and the risk of financial meltdown isn’t nearly over yet.
2023-03-21 15:45:00,Ep. 1692 - The Trump Indictment Looms,"As Manhattan DA Alvin Bragg prepares to indict Donald Trump, Trump focuses his fire on…Florida Governor Ron DeSantis; our Very Serious™ White House welcomes the crew of Ted Lasso; and the Federal Reserve ponders whether to choose the frying pan or the fire."
2023-03-22 15:45:00,Ep. 1693 - The Battle Royale Begins: Ron vs. Don,Ron DeSantis gives an interview to Piers Morgan in which he opens up on his criticisms of Donald Trump; a New York grand jury prepares to indict Donald Trump on felony charges of falsification of business records; and Joe Biden gains ground in polls despite his terrible job performance.
2023-03-23 15:45:00,Ep. 1694 - Americans Are Officially Getting Dumber,"A new study shows American IQs dropping for the first time, and we examine the possible reasons; the Federal Reserve increases interest rates again, and Elizabeth Warren calls for Jerome Powell’s firing; and Donald Trump unleashes another frontal attack on Ron DeSantis."
2023-03-24 15:43:59,Ep. 1695 - The Quest To Screw Up The Kids,"Democrats howl as Republicans move to protect children from radical gender and race theory; we examine the tragic story of Jazz Jennings, the Left’s poster child for transgender theory; and TikTok’s CEO gets grilled on the Hill."
2023-03-25 12:00:00,Ben Shapiro Reviews 'John Wick 4' [SPOILERS],Go to https://expressvpn.com/benYT and find out how you can get 3 months of ExpressVPN free!
2023-03-27 12:00:00,"Ep. 1696 - Everything is Racist, Including You",A CNN columnist says using memes of black people is now “digital blackface”; feminist Posie Parker is threatened with physical violence in New Zealand for stating that men cannot be women; and Trump heads to Waco to keep upping the rhetorical ante.
2023-03-28 16:02:02,Ep. 1697 - Trans Mass Shooter Murders Children At Christian School,A mass shooter who identifies as a trans man murders three children and three adults at a Christian school; the media struggle to ignore the facts of the story and focus instead on gun control; and a new Wall Street Journal survey shows that American values are in serious peril.
2023-03-29 15:00:00,"Ep. 1698 - A Trans Person Murders Schoolchildren, And It's Your Fault For Being Anti-Trans",The media fall back on gun control as their preferred narrative for the Nashville shooting as new details and tape emerges; France braces for violence over raising the retirement age by two years; and 38 migrants burn to death at the Mexico-US border.
2023-03-30 13:00:00,Ep. 1699 - How The West Turned Kids Suicidal,"As more and more kids across the West are hospitalized for suicidal ideation, we examine the causes of self-harm – and it’s not our “intolerant society”; AI bigwigs call for a temporary pause; and Joe Biden attacks Israeli Prime Minister Benjamin Netanyahu."
2023-03-31 10:00:00,Ep. 1700 - BREAKING: Trump Indicted,A New York grand jury votes to indict Donald Trump; leftists storm the Tennessee State Capitol to encourage gun control – and the media are curiously silent; and the media continue to blame conservatives for a trans man shooting Christian schoolchildren.
2023-04-02 14:00:00,Ben RIPS Bernie A New Page,Go to https://expressvpn.com/benYT and find out how you can get 3 months of ExpressVPN free!
2023-04-03 16:11:50,Ep. 1701 - Trump's Imminent Arrest,We prepare for the arrest of the former President of the United States; Trump widens his polling lead over Republican candidates in the 2024 primaries; and the Biden administration fully embraces the radical trans agenda despite a mass shooting by a trans person last week.
2023-04-04 14:00:00,Ep. 1702 - Today Is The Day,Donald Trump submits to arraignment in Manhattan while pleading not guilty; the media circus kicks into high gear; and new details emerge on the Nashville Christian school massacre.
2023-04-04 04:15:00,Daily Wire Backstage: The Libs’ New Plan... Indict The Right,Only DailyWire+ members can watch the member block portion of the show. Join now: https://bit.ly/3uOaVlp
2023-04-05 10:00:00,Ep. 1703 - Trump Is Charged -- And Then Fights Back,Donald Trump is charged in a Manhattan court with 34 counts of falsifying business documents; DA Alvin Bragg pretends this is all about principle; and Trump launches a response from Mar-A-Lago.
2023-04-06 15:00:00,Ben & Russell Brand Uncover Shocking Biblical Truths,"In this excerpt from The Search, Ben Shapiro & Russell Brand discuss biblical slavery, spirituality & the ultimate purpose of human life. "
2023-04-07 15:00:00,The Rise and Fall of American News Media,"We are going to discuss the entire history of American journalism. I dive into the origins of journalism in the U.S., discuss the beginnings of the media establishment, and explore how digital media rapidly changed the entire industry. "
