DATE,TITLE,SUMMARY
2023-01-07 00:43:13,"Macy's warns holiday-quarter sales will come in light, citing squeeze on shoppers' wallets",Macy's on Friday said consumers' budgets are under pressure and that it expects the squeeze to continue into this year.
2023-01-07 14:00:01,Why Boeing stopped making the 747 jumbo jet,CNBC looks back at how Boeing's 747 changed aviation and what's next for the company.
2023-01-07 13:00:01,"Tesla breaks into America's bestselling cars list for 2022, but trucks still dominate","Pickup trucks continued to lead America's top-selling vehicles in 2022, but Tesla broke into the top 10 for the first time amid a shakeup among other models."
2023-01-07 12:00:02,Some restaurant workers could see big wage growth in 2023,Industry lobbyists say states like New York and Michigan could pass similar legislation to California's FAST Act.
2023-01-07 14:01:09,Vince McMahon is back at WWE to ensure a smooth sale process. Here's who might want to buy it,"Comcast, Endeavor Group Holdings and Netflix are among the companies that could have interest in acquiring WWE."
2023-01-07 00:46:15,Cramer's lightning round: I'm very concerned about Veru,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
2023-01-07 00:24:18,Jim Cramer says these 5 Nasdaq losers could rebound in 2023,Cramer offered investors a list of Nasdaq stocks he believes could make a comeback this year.
2023-01-07 00:11:57,Cramer’s week ahead: Corporate earnings will set the tone for the market,"“As good as these macro numbers were for the market, they’ll become a sideshow when we actually start getting earnings reports,"" he said."
2023-01-08 12:00:01,"Everyone's elite, but not for long. Airlines make travel perks harder to earn this year",Airlines are scaling back perks for frequent flyers and big spenders as travel roars back.
2023-01-08 13:05:01,How health insurance may have made health care more expensive,
2023-01-09 17:51:52,What's ahead for Bed Bath & Beyond in wake of bankruptcy warning,Bed Bath's turnaround plan called for cost-cutting and improved partnerships with vendors. But its sales have yet to improve.
2023-01-09 18:51:33,Bob Iger tells Disney employees they must return to the office four days a week,Disney CEO Bob Iger told hybrid employees on Monday they must return to corporate offices four days a week starting March 1.
2023-01-09 16:36:48,"Consumer confidence in housing finally rises, thanks to falling home prices","Consumer confidence in the U.S. housing market is improving slightly, as mortgage rates settle and home prices fall."
2023-01-09 15:44:53,SEC fines former McDonald's CEO for misleading investors about his firing,"The SEC filed charges against former McDonald's CEO Steve Easterbrook for misrepresenting why he was fired in November 2019 and charged him a $400,000 fine."
2023-01-09 20:17:08,Used vehicle prices are falling but not enough to offset grossly inflated levels,Cox Automotive expects wholesale used vehicle prices to end the year down 4.3% from December 2022.
2023-01-09 19:59:10,"Rolls-Royce sees record sales in 2022, no slowdown in spending by the wealthy","Rolls-Royce sold a record number of cars in 2022 as demand for its $500,000 vehicles remained strong."
2023-01-09 19:10:53,Biden declares emergency in California as more winter storms advance,"National Weather Service forecasters have warned of a ""relentless parade of cyclones"" over the coming days in central and Northern California."
2023-01-09 17:36:10,"Stocks making the biggest moves midday: Tesla, Nvidia, Lululemon and more",These are the stocks posting the largest moves in midday trading.
2023-01-09 17:07:45,"Jim Cramer's Investing Club meeting Monday: Consumer prices, overvalued tech stocks, oil","The Investing Club holds its ""Morning Meeting"" every weekday at 10:20 a.m. ET."
2023-01-09 14:00:01,Successfully applying for Social Security disability is difficult. Applying as a long Covid patient is even trickier,"Even as long Covid puts millions of Americans out of work, proving the condition may be a high hurdle for Social Security disability benefits."
2023-01-09 17:07:00,"Stocks making the biggest moves premarket: Lululemon, Duck Creek, Mastercard, Uber and more",These are the stocks posting the largest moves  in the Monday premarket
2023-01-09 13:00:02,"How to retire with $2 million if you make $100,000 per year","Retiring with $2 million on an annual salary of $100,000 might seem out of reach, but it's certainly possible. CNBC's Emily Lorsch breaks it all down."
2023-01-09 12:28:13,5 things to know before the stock market opens Monday,Here are the most important news items that investors need to start their trading day.
