DATE,TITLE,SUMMARY
2023-01-01 02:47:38,World population expected to increase to more than 7.9 billion on New Year’s Day; nearly 1% uptick from 2022,"By New Year's Day, the world population is expected to reach 7,942,645,086 people after a .94% increase from January 2022."
2023-01-01 16:54:32,"Taliban: Kabul checkpoint bomb blast kills, wounds several","A bomb near a checkpoint at Kabul's military airport killed and wounded ""several"" on Sunday morning, according to a Taliban official."
2023-01-01 22:56:50,"Brazil's Silva sworn in, pledges to rebuild country, hold outgoing Bolsonaro admin accountable","Brazil's Luiz Inácio Lula da Silva was sworn-in as president, promising to rebuild the country and hold members of his predecessor's administration accountable."
2023-01-02 03:04:48,NATO chief calls on allies to stockpile weapons for Ukraine: Report,"NATO Secretary-General Jens Stoltenberg called on NATO allies to stock up on weapons to supply Ukraine, to fight off attacks from Russia."
2023-01-02 02:36:00,"Mexican border prison attack leaves 14 people dead, more than a dozen injured","An attack on a state prison in the Mexican town of Ciudad Juarez left 10 guards and four inmates killed, the state prosecutor's office said in a statement."
2023-01-02 10:48:53,Crowds gather as Pope Emeritus Benedict XVI's body lies in state at Vatican,Thousands of people waited for hours in a long line to view the body of Pope Emeritus Benedict XVI as his body lies in state at the Vatican in Rome.
2023-01-02 07:00:38,Biblical site where Jesus healed blind man excavated for public view: 'Affirms Scripture',"Amid efforts to cancel Jerusalem's biblical heritage for Christians and Jews, the opening of the Pool of Siloam reaffirms the rich history of the Bible in the capital of Israel."
2023-01-02 06:45:18,At least 4 dead after helicopters collide on the Gold Coast near Sea World in Australia,Two helicopters collided on New Year's Day in Australia near a Sea World theme park. At least four people are dead after one helicopter clipped another.
2023-01-02 14:25:56,Russian drone swarm continues New Year assault on Kyiv,"A swarm of Russian kamikaze drones harassed Kyiv early Monday morning, with air-raid sirens blaring and at least two explosions being heard in the heart of the Ukrainian city."
2023-01-02 14:16:28,Kim Jong Un fires North Korea’s top military official,North Korean dictator Kim Jong Un fired his top military chief during an annual end-of-year meeting of the country's top leadership last week.
