DATE,TITLE,SUMMARY
2023-01-08 18:00:00,North Korea fires 3 missiles amid tensions over drone flights,"A TV screen shows a file image of North Korea's rocket with the test satellite during a news program at the Seoul Railway Station in Seoul, South Korea, on Saturday "
2023-01-08 18:00:00,Chinese manufacturing weakens amid COVID-19 outbreak,"Shoppers walk through a reopened shopping mall after authorities started easing some of the anti-virus controls in Beijing on Dec. 6, 2022. Chinese manufacturing weakened for a third consecutive month in December, in the biggest drop since early 2020, as the country battles a nationwide COVID-19 surge after suddenly easing its anti-epidemic measures "
2023-01-08 18:00:00,"In Afghanistan, coal mining relies on the labor of children",A boy works in a coal mine north of Kabul. Afghanistan's state-run coal industry is going strong in an otherwise shattered economy. Many underage workers are the ones who are extracting the coal 
2023-01-08 18:00:00,A U.N. official met with a Taliban leader over a ban on women working for NGOs,"A Save the Children nutrition counsellor, right, explains to Nelab, 22, how to feed her 11-month-old daughter, Parsto, with therapeutic food, which is used to treat severe acute malnutrition, in Sar-e-Pul province of Afghanistan in September 2022. Save the Children via AP "
2023-01-08 18:00:00,North Korea's Kim orders 'exponential' expansion of nuclear arsenal,"In this photo provided by the North Korean government, North Korean leader Kim Jong Un, center, attends a ceremony of donating 600 mm super-large multiple launch rocket system at a garden of the Workers' Party of Korea headquarters in Pyongyang, North Korea, on Saturday, Dec. 31, 2022. Korean Central News Agency/Korea News Service via AP "
2023-01-08 18:00:00,Rana Ayyub fights for press freedom in India despite harassment and death threats,"Indian journalist Rana Ayyub speaks during the launch of her self published book 'Gujarat Files' in New Delhi in May 2016. On March 29, 2022, Ayyub was prevented from flying to Europe to speak about online violence on female journalists. Hindustan Times via Getty Images "
2023-01-08 18:00:00,People in Tokyo wait in line 3 hours for a taste of these Japanese rice balls,"A lunch at Onigiri Bongo includes mustard green and salmon flake onigiri, miso soup, pickles and green tea "
2023-01-08 18:00:00,Biden's national security adviser is hopeful war over Taiwan can be prevented,"NPR's Steve Inskeep interviews U.S. President Joe Biden's national security adviser Jake Sullivan in Washington, D.C. on Jan. 5, 2023 "
2023-01-19 04:00:00,His poem polarized India. Now comedian Vir Das is telling his side,Vir Das attends the International Emmy Awards in 2021 in New York City 
2023-01-19 04:00:00,China's authorities are quietly rounding up people who protested against COVID rules,"Students hold up placards including blank white sheets of paper on the campus of the Chinese University of Hong Kong, in solidarity with protests held on the mainland over Beijing's COVID-19 restrictions, on Nov. 28. Peter Parks/AFP via Getty Images "
2023-01-19 04:00:00,'It's like gold': Onions now cost more than meat in the Philippines,"A worker rides an overloaded tricycle carrying bags of onions in Manila, Philippines on Sept. 23, 2015 "
2023-01-19 04:00:00,South Korean police seek manslaughter charges over deadly crowd surge,"Rescue workers treat injured people on the street near the scene of a crowd surge in Seoul, South Korea, on Oct. 30, 2022. South Korean police on Friday, Jan. 13, 2023, said they are seeking charges of involuntary manslaughter and negligence against 23 officials "
2023-01-19 04:00:00,China's COVID surge prompts CDC to expand a hunt for new variants among air travelers,"In hopes of getting a better sense of which SARS-CoV-2 variants might be coming into the U.S., the Centers for Disease Control and Prevention recently expanded its voluntary testing of some passengers exiting from international flights at certain airports "
2023-01-19 04:00:00,"A passenger plane with 72 people on board has crashed in Nepal, killing dozens","Locals watch the wreckage of a passenger plane in Pokhara, Nepal, Sunday, Jan.15, 2023. A passenger plane with 72 people on board has crashed near Pokhara International Airport in Nepal, the daily newspaper Kathmandu Post reports. The plane was carrying 68 passengers and four crew members "
2023-01-19 04:00:00,Kabul's mannequins hooded and masked under Taliban rules,"A mannequin's head is covered in a woman dress shop in Kabul, Afghanistan, Monday, Dec. 26, 2022 "
2023-01-19 04:00:00,Here's why China's population dropped for the first time in decades,"A man pulls a child past a Lunar New Year decoration on display at the Qianmen pedestrian shopping street, a popular tourist spot in Beijing, on Tuesday "
2023-01-29 09:00:00,China's economic growth falls to 3% in 2022 but slowly reviving,"A crane lifts a shipping container at a container port in Tianjin, China, Monday, Jan. 16, 2023. China's economic growth fell to 3% last year under pressure from antivirus controls and a real estate slump "
2023-01-29 09:00:00,New Zealand Prime Minister Jacinda Ardern plans to leave office,"New Zealand Prime Minister Jacinda Ardern announced her resignation plans on Wednesday in Napier, New Zealand. It is unclear who would succeed her "
2023-01-29 09:00:00,Nobel winner Maria Ressa and her online news outlet are cleared of tax evasion,"Filipino journalist Maria Ressa, one of the winners of the 2021 Nobel Peace Prize and Rappler CEO, speaks to the media after a court decision at the Court of Tax Appeals in Quezon City, Philippines. The court on Wednesday cleared Ressa and her online news company of tax evasion charges "
2023-01-29 09:00:00,Holiday Traditions in China and Ukraine Offer Comfort During Uncertain Times,"A lantern show in Nanjing, in China's eastern Jiangsu province, ahead of the Lunar New Year of the Rabbit. This year the holiday falls amid a massive COVID surge and an economic slump. STR/AFP via Getty Images "
2023-01-29 09:00:00,"China is celebrating the Lunar New Year, with most COVID rules lifted","A woman poses for a selfie on a bridge decorated with lanterns at a public park in Beijing on the first day of the Lunar New Year holiday, Sunday, Jan. 22, 2023 "
2023-01-29 09:00:00,India's government scrambles to block a film about Modi's role in anti-Muslim riots,"Students watch security personnel guard the main gate of Jamia Millia Islamia university Wednesday in New Delhi, India. A student group said it planned to screen a banned documentary that examines Indian Prime Minister Narendra Modi's role during 2002 anti-Muslim riots, prompting dozens of police equipped with tear gas and riot gear to gather outside campus gates "
2023-01-29 09:00:00,"Opium is surging in Myanmar, a top heroin producer, since its military took over","A member of Pat Jasan, a grassroots organization motivated by their faith to root out the destructive influence of drugs, holds poppies as his group slashes and uproots them from a hillside, in Lung Zar village, northern Kachin State, Myanmar on Feb. 3, 2016 "
2023-02-08 11:00:00,"In India, couples begin their legal battle for same-sex marriage","Indian couple Utkarsh Saxena, left, and Ananya Kotia, chat inside a public park in New Delhi, India, Jan. 18, 2023. The couple, now 15 years into their relationship, is joined by three other couples who have filed a petition to India's Supreme Court that seeks the legalization of same-sex marriage "
2023-02-08 11:00:00,"Chinese balloon punctures Blinken's plans, leaving U.S.-China ties adrift","President Biden stands with Chinese President Xi Jinping before a meeting on the sidelines of the G-20 summit meeting, Nov. 14, 2022, in Bali, Indonesia "
2023-02-08 11:00:00,"Despite billions to get off coal, why is Indonesia still building new coal plants?","World leaders recently announced a $20 billion climate deal to help get Indonesia off coal power. But there are doubts about the deal because — for one thing — the country is planning to build new coal plants, including here in Kalimantan. Adek Berry/AFP via Getty Images "
2023-02-08 11:00:00,"Ex-Pakistan leader Pervez Musharraf, who aided U.S. war in Afghanistan, has died","FILE - Pervez Musharraf addresses the U.N. General Assembly on Nov. 10, 2001, at the United Nations headquarters in New York. An official said Sunday, Feb. 5, 2023, Gen. Pervez Musharraf, Pakistan military ruler who backed US war in Afghanistan after 9/11, has died "
2023-02-08 11:00:00,"More than 1,000 are reported dead from an earthquake that has struck Turkey and Syria","People and emergency teams rescue a person on a stretcher from a collapsed building in Adana, Turkey, Monday, Feb. 6, 2023 "
2023-02-08 11:00:00,China accuses the U.S. of indiscriminate use of force in shooting down of balloon,"Business owner ""Annie"" weights down copies of the Chinese Daily News newspaper showcasing pictures of a suspected Chinese spy balloon, in the Chinatown district of Los Angeles Sunday, Feb. 5, 2023 "
2023-02-08 11:00:00,A landmark subversion trial opens against high-profile Hong Kong democracy activists,"Pro-democracy activist Emily Lau Wai-hing gestures as she arrives at the West Kowloon Magistrates' Courts in Hong Kong, Monday, Feb. 6, 2023 "
2023-02-08 11:00:00,This wasn't the first Chinese balloon over the U.S. Why were the others ignored?,"The suspected Chinese spy balloon drifts to the ocean after being shot down off the coast in Surfside Beach, S.C., on Saturday "
2023-02-08 11:00:00,Here's what we know about what caused the Turkey earthquake,"A man searches for people in the rubble of a destroyed building in Gaziantep, Turkey, on Monday, Feb. 6, 2023 "
2023-02-19 05:00:00,How a Chinese 'spy balloon' prompted the U.S. to scour the skies,"A high altitude balloon floats over Billings, Mont., on Feb. 1. Larry Mayer/The Billings Gazette/via AP "
2023-02-19 05:00:00,One of 12 boys rescued from the Thai cave dies at a British school,"Relatives of Duangphet ""Dom"" Phromthep, one of the boys rescued from the flooded cave in northern Thailand, greet him as he arrives home in the Mae Sai district, Chiang Rai province, northern Thailand, in 2018 "
2023-02-19 05:00:00,How do pandemics begin? There's a new theory — and a new strategy to thwart them,"Relatives of Duangphet ""Dom"" Phromthep, one of the boys rescued from the flooded cave in northern Thailand, greet him as he arrives home in the Mae Sai district, Chiang Rai province, northern Thailand, in 2018 "
2023-02-19 05:00:00,Retirees in China hold rare protests against health insurance reforms,"Demonstrators gather outside Zhongshan Park in Wuhan, China, to protest changes to medical benefits, on Wednesday, in this still image from social media video obtained by Reuters. Social media via Reuters "
