DATE,TITLE,SUMMARY
2024-09-08 19:49:59,"14 killed in a car crash in war-torn Yemen, state media report","Yemen's state-run media say a passenger bus has overturned while driving in a mountainous area in the country's southwest, killing at least 14 people"
2024-09-08 19:49:59,Fuel tanker collision in Nigeria caused an explosion that killed at least 48 people,Nigeria's emergency response agency says a fuel tanker has collided head-on with another truck causing an explosion that killed at least 48 people
2024-09-08 18:54:00,"A fuel tanker collided with a truck in Nigeria causing an explosion that killed at least 48 people, officials say","A fuel tanker collided with a truck in Nigeria causing an explosion that killed at least 48 people, officials say"
2024-09-08 21:26:19,Slide over salsa: K-pop takes socialist Cuba by storm,"In the land of the salsa, more and more youngsters are turning to K-pop"
2024-09-08 21:18:25,Greek opposition leader is ousted by his Syriza party,"Greek opposition leader Stefanos Kasselakis has been ousted by his party&rsquo;s central committee via a motion of no confidence, just a year after his election to the post by party cadres who accused him of being an authoritarian and not fully ideologically..."
2024-09-08 22:46:45,"Israel carries out intense strikes in central Syria, killing 4, state media says","Syrian state media is reporting a series of Israeli strikes have hit multiple areas in central Syria, killing at least four people, wounding 13 and sparking fires"
2024-09-08 23:42:04,President Tebboune and his challengers jointly accuse Algeria’s election authority of discrepancies in reported results,President Tebboune and his challengers jointly accuse Algeria&rsquo;s election authority of discrepancies in reported results
2024-09-08 23:42:29,"President Tebboune, challengers jointly accuse Algeria’s election authority of discrepancies","After both of President Abdelmadjid Tebboune&rsquo;s opponents questioned the results of Algeria&rsquo;s presidential election, the three campaigns have jointly issued a statement accusing the top election official of announcing results that contradicted earlier t..."
2024-09-09 00:46:27,Algeria's president joins opponents in claiming election irregularities after being named the winner,"After being declared the winner of Algeria&rsquo;s election, President Abdelmadjid Tebboune has joined his two challengers in criticizing the country&rsquo;s election authority for announcing results that contradicted earlier turnout figures and local tallies"
2024-09-09 02:38:25,"Japan's economy is growing, but political uncertainty is among the risks","Japan&rsquo;s economy grew at an annual rate of 2.9%, slower than the earlier report for 3.1% growth, in the April-June period, boosted by better wages and spending"
