DATE,TITLE,SUMMARY
2024-01-01 07:35:00,"What Is Rest, Anyway?","Between making time for work, family, friends, exercise, chores, shopping—the list goes on and on—it can feel like a huge accomplishment to just take a few minutes to read a book or watch TV before bed. All that busyness can lead to poor sleep quality when we finally do get to put our head down.
How does our relationship with rest affect our ability to gain real benefits from it? And how can we use our free time to rest in a culture that often moralizes rest as laziness? Alex Soojung-Kim Pang, the author of several books on rest and director of global programs at 4 Day Week Global, explains wh "
2024-01-02 07:32:00,Zika Never Ended,"In 2015, a horror movie came to life. The mosquitoes that swarm almost all tropical climates began infecting people with a strange new virus. In most, Zika caused no symptoms, or a mild rash and fever. But if it happened to infect a pregnant woman, her baby could be born with severe birth defects. Zika dramatically increased the risk of a condition called microcephaly, or a clinically small head. Over the following years, about 4 to 9 percent of infected pregnant women gave birth to babies with permanent brain damage.
Suddenly, pregnant women in America and elsewhere were told not to travel to "
2024-01-02 07:32:00,The Most Fun Way to Learn a Language,"Until a few years ago, I couldn’t speak Spanish without sounding about half a century older—and much more religious—than I am. The language is the first one I learned, but I was taught it primarily by my Dominican grandmother, a woman so pious that she routinely brags about her prayer regimen bruising her knees. Consequently, I wouldn’t say I was going to the grocery store without a compulsory “God willing”—si Dios quiere.
My grandma helped raise me in the Dominican Republic, but I moved to the U.S. as a child, where I mostly spoke English. So I wasn’t aware of how I sounded in Spanish until a "
2024-01-02 07:32:00,The Most Effective Way to Reduce Hate Crimes,"Late this summer, a white man opened fire in a Jacksonville, Florida, Dollar General, killing Angela Michelle Carr, Anolt Joseph “A.J.” Laguerre Jr., and Jerrald De’Shaun Gallion. Police are quite certain the attack was a hate crime. All three victims were Black; the killer reportedly used a swastika-emblazoned handgun and rifle and left hate-filled writings. “He hated Blacks, and I think he hated just about everyone that wasn’t white,” Jacksonville Sheriff T. K. Waters told CNN. “He made that very clear.”
The Jacksonville rampage is just the latest bias-motivated mass murder to make headlines "
2024-01-02 07:32:00,What to Read If You Want to Reinvent Yourself,"A new calendar year frequently conjures up visions of radical self-transformation. This year, we tell ourselves, will be the one where we finally lose 20 pounds, take up gratitude journaling, or read 100 books. New year, new you! But then inertia slowly creeps in, inconveniences arise, and by June our New Year’s resolutions are a distant memory.
Changing oneself is harder than perky how-to guides and self-help books suggest. The genre is so popular because its titles briefly allow us to imagine that reinvention is a matter of performing specific actions, rather than an ongoing battle with our "
2024-01-02 15:31:00,Photos of the New Year: Ringing In 2024 Around the World,"Fireworks, countdowns, and celebrations took place Sunday night across the globe, as people bid farewell to the year 2023 and welcomed 2024. The first sunrise of the year brought some of those same revelers back out to take part in New Year’s Day swims, or to reflect on the past and offer prayers for the year ahead. Gathered below, images of some of the varied ways people ushered in the year 2024 "
2024-01-02 15:31:00,When Did Humans First Start Wearing Clothes?,"The naked human is a vulnerable creature. Lacking the fur of our mammalian ancestors and relatives, we have bare skin that offers little defense against the sun’s brutal rays or wind’s biting chill. So instead, we have had to invent a technology to replace our long-lost fur: “portable thermal protection,” as the archaeologist Ian Gilligan calls it or, more simply, clothing.
Without clothing, humans would never have reached all seven continents. This technological breakthrough allowed our ancestors to live in Siberia during the height of the Ice Age, and to cross the frigid Bering Sea to the Am "
2024-01-02 21:00:00,Claudine Gay’s Resignation Was Overdue,"This is an edition of The Atlantic Daily, a newsletter that guides you through the biggest stories of the day, helps you discover new ideas, and recommends the best in culture. Sign up for it here.
Claudine Gay engaged in academic misconduct. Everything else about her case is irrelevant, including the silly claims of her right-wing opponents.
First, here are three new stories from The Atlantic:

Hamas doesn’t want a cease-fire, Graeme Wood argues.
When did humans first start wearing clothes?
Whatever happened to Zika?

When Truth Comes From Terrible People
Claudine Gay is stepping down as the "
2024-01-02 21:00:00,An Old-Fashioned Scandal Fells a New Harvard President,"For all the focus on recent changes in the political mood on college campuses, the downfall of Harvard President Claudine Gay turns out to be a story about some of the oldest values of academia.
Gay, a political scientist, resigned today, making her the second president of an Ivy League institution to bow out in the past month. University of Pennsylvania President Liz Magill stepped down on December 9, but the cases are not as similar as they might initially seem. Magill’s departure stemmed directly from the shaky December 5 congressional testimony by a panel of college presidents about anti-S "
2024-01-03 15:28:00,"My Father, the Giant","Yesterday afternoon, my dad, Erik Dybkaer Andersen, lay sleeping at home in his hospice bed when a calm settled over his body and he drew his last breath. He was 78. For more than a year, we had known that cancer would take him; only the hour was uncertain. But it is still a shock to find him missing from his bedroom, from his family, from the world. It is too early to measure, much less put into writing, all that he meant to us. For now, I want only to read his life into the record, and to get across his essence, above all as a caretaker of those he loved.
My dad’s mother became pregnant with "
